"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"2012-13 SURVEY 2 DATA FINAL",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
01,ALACHUA,ISS2270,"MULTICULTURAL COMMUNICATIONS A",1
01,ALACHUA,ITA1120,"ELEMENTARY ITALIAN I",3
01,ALACHUA,MACL233,"SURVEY OF CALCULUS LABORATORY",2
01,ALACHUA,MACL311,"CALC. AND ANALYTIC GEOMETRY I",7
01,ALACHUA,MAC1105,"COLLEGE ALGEBRA",79
01,ALACHUA,MAC1114,"PLANE TRIGONOMETRY",14
01,ALACHUA,MAC1140,"PRECALCULUS ALGEBRA",13
01,ALACHUA,MAC1147,PRECALCULUS,1
01,ALACHUA,MAC2233,"CALCULUS FOR BUSINESS & SOCIAL",2
01,ALACHUA,MAC2311,"CALCULUS I",7
01,ALACHUA,MAN2021,"PRINCIPLES OF MANAGEMENT",1
01,ALACHUA,MAT1033,"INTERMEDIATE ALGEBRA",147
01,ALACHUA,MCBL000,"MICROBIOLOGY LAB",1
01,ALACHUA,MCB2000,"MICROBIOLOGY FOR NURSING AND O",1
01,ALACHUA,MGF1106,"FINITE MATHEMATICS",2
01,ALACHUA,MGF1107,"MATHEMATICS FOR LIBERAL ARTS",1
01,ALACHUA,MGF1121,"INTRODUCTION TO LOGIC",1
01,ALACHUA,MMC1000,"SURVEY OF COMMUNICATIONS",1
01,ALACHUA,MMC2100,"WRITING FOR THE MASS MEDIA",1
01,ALACHUA,MUH2019,"HISTORY OF POPULAR MUSIC IN TH",2
01,ALACHUA,MUL1010,"MUSIC APPRECIATION",3
01,ALACHUA,MUN1120,"CONCERT BAND I",2
01,ALACHUA,MUN1340,"CONTEMPORARY ENSEMBLE",1
01,ALACHUA,MUN1710,"JAZZ BAND",2
01,ALACHUA,MUT1001,"FUNDAMENTALS OF MUSIC THEORY",17
01,ALACHUA,MUT1122,"MUSIC THEORY II",1
01,ALACHUA,MUT1272,"FRESHMAN THEORY II LABORATORY",1
01,ALACHUA,MVS1116,"GUITAR SKILLS",8
01,ALACHUA,MVS2126,"GUITAR CLASS",1
01,ALACHUA,MVV1111,"CLASS VOICE",3
01,ALACHUA,PCB2610,"GENERAL GENETICS AND EVOLUTION",1
01,ALACHUA,PGYC401,"PHOTOGRAPHY I",2
01,ALACHUA,PGYC800,"DIGITAL PHOTOGRAPHY FOR DESIGN",7
01,ALACHUA,PHI2010,"INTRODUCTION TO PHILOSOPHY",9
01,ALACHUA,PHI2600,ETHICS,10
01,ALACHUA,PHI2635,"INTRODUCTION TO ETHICS",2
01,ALACHUA,PHYL004,"LAB FOR PHYSICS 2004 AND 2005",3
01,ALACHUA,PHY2004,"APPLIED PHYSICS I",3
01,ALACHUA,POS2041,"AMERICAN GOVERNMENT",60
01,ALACHUA,PSCL121,"GENERAL PHYSICAL SCIENCE LAB",17
01,ALACHUA,PSC2121,"GENERAL PHYSICAL SCIENCE",17
01,ALACHUA,PSY2012,"GENERAL PSYCHOLOGY",61
01,ALACHUA,REA2205,"ADVANCED COLLEGE READING",2
01,ALACHUA,REL2121,"AMERICAN RELIGIOUS HISTORY",4
01,ALACHUA,SLS1101,ORIENTATION,28
01,ALACHUA,SLS1301,"CAREER DEVELOPMENT",14
01,ALACHUA,SLS1601,"EFFECTIVE LIVING IN TODAY'S WO",1
01,ALACHUA,SOP2002,"SOCIAL PSYCHOLOGY",4
01,ALACHUA,SPC2608,"EFFECTIVE SPEAKING",32
01,ALACHUA,SPN1120,"FIRST-YEAR SPANISH I",38
01,ALACHUA,SPN1121,"ELEMENTARY SPANISH II",6
01,ALACHUA,STA2023,"ELEMENTS OF STATISTICS",16
01,ALACHUA,SYG2000,SOCIOLOGY,11
01,ALACHUA,SYG2010,"HONORS SOCIAL PROBLEMS",17
01,ALACHUA,SYG2323,"INTRODUCTION TO CRIMINOLOGY",3
01,ALACHUA,SYG2430,"MARRIAGE AND THE FAMILY",25
01,ALACHUA,THE1000,"INTRODUCTION TO THEATRE(DRAMA)",6
01,ALACHUA,THE2300,"DRAMATIC LITERATURE",1
01,ALACHUA,TPA1200,"INTRO TO PRODUCTION/DESIGN",1
01,ALACHUA,TPA1232,"THEATRE COSTUMING",1
01,ALACHUA,TPA1248,"STAGE MAKEUP",3
01,ALACHUA,TPP1100,"ACTING I",3
01,ALACHUA,TPP2260,"ACTING FOR THE CAMERA 1",3
01,ALACHUA,ZOOC503,"ANIMAL BEHAVIOR & ECOLOGY",2
01,ALACHUA,0100000,"M/J ART/ART APPREC 1",160
01,ALACHUA,0100010,"M/J ART/ART APPREC 2",100
01,ALACHUA,0100020,"M/J ART/ART APPREC 3",82
01,ALACHUA,0100310,"ART APPREC/HIS/CRI",1
01,ALACHUA,0101300,"2-D ART 1",549
01,ALACHUA,0101310,"2-D ART 2",40
01,ALACHUA,0101330,"3-D ART 1",5
01,ALACHUA,0102300,"CERAM/POT 1",102
01,ALACHUA,0102310,"CERAM/POT 2",27
01,ALACHUA,0102320,"CERAM/POT 3 HON",5
01,ALACHUA,0103350,"CPTR IMAGE PROC 1",19
01,ALACHUA,0104320,"DRAW/PAINT 1",62
01,ALACHUA,0104330,"DRAW/PAINT 2",17
01,ALACHUA,0104370,"PAINT 1",69
01,ALACHUA,0106300,"GRAPHIC DESIGN 1",167
01,ALACHUA,0106310,"GRAPHIC DESIGN 2",29
01,ALACHUA,0108310,"CREATIVE PHOTO 1",18
01,ALACHUA,0109310,"PORTF 1",8
01,ALACHUA,0109350,"ADV PL STUDIO/2-D",72
01,ALACHUA,0114840,"ART STUDIO 1-A-IB",13
01,ALACHUA,0114850,"ART STUDIO 2-A-IB",5
01,ALACHUA,0200000,"M/J INTROD CPTRS",9
01,ALACHUA,0200020,"M/J CPTR APPLS 2",14
01,ALACHUA,0200300,"INTROD CPRTS",72
01,ALACHUA,0200310,"CPRT APPLS 1",202
01,ALACHUA,0200320,"ADV PL CPTR SCI A",19
01,ALACHUA,0200330,"CPRT APPLS 2",103
01,ALACHUA,0200340,"APPL CPTR TECH",5
01,ALACHUA,0201300,"CPTR PROG 1",17
01,ALACHUA,0201310,"CPTR PROG 2",4
01,ALACHUA,0300400,"DANCE REPERT 1",9
01,ALACHUA,0300410,"DANCE REPERT 2",2
01,ALACHUA,0400100,"M/J COMPRE THEA",41
01,ALACHUA,0400300,"INTROD DRAMA",57
01,ALACHUA,0400310,"THEATRE 1",275
01,ALACHUA,0400320,"THEATRE 2",35
01,ALACHUA,0400330,"THEATRE 3 HON",28
01,ALACHUA,0400340,"THEATRE 4 HON",6
01,ALACHUA,0400370,"ACTING 1",48
01,ALACHUA,0400380,"ACTING 2",2
01,ALACHUA,0400410,"STAGECRAFT 1",21
01,ALACHUA,0400420,"STAGECRAFT 2",8
01,ALACHUA,0400430,"STAGECRAFT 3",3
01,ALACHUA,0400440,"STAGECRAFT 4",4
01,ALACHUA,0400810,"THEA 1-IB",13
01,ALACHUA,0400820,"THEA 2-IB",4
01,ALACHUA,0500000,"M/J PERS CAR SCH 1",170
01,ALACHUA,0500002,"M/J PERS CAR SCH C/P",14
01,ALACHUA,0500010,"M/J PERS CAR SCH 2",35
01,ALACHUA,0500020,"M/J PERS CAR SCH 3",1
01,ALACHUA,0500300,"EXEC INTERN 1",58
01,ALACHUA,0500310,"EXEC INTERN 2",1
01,ALACHUA,0500370,"VOL PUB SERV",219
01,ALACHUA,0500500,"PERS,CAR,SCH DEV 1",443
01,ALACHUA,0500510,"PERS,CAR,SCH DEV 2",11
01,ALACHUA,0600000,"M/J EXPLOR WHEEL 1",233
01,ALACHUA,0600020,"M/J EXPLOR WHEEL 3",83
01,ALACHUA,0600030,"M/J EXPLOR WHEEL 4",61
01,ALACHUA,0600040,"M/J EXPLOR WHEEL 5",121
01,ALACHUA,0600050,"M/J EXPLOR WHEEL 6",6
01,ALACHUA,0700000,"M/J INTROD FL 1",9
01,ALACHUA,0701020,"M/J FRENCH ADV",37
01,ALACHUA,0701320,"FRENCH 1",107
01,ALACHUA,0701330,"FRENCH 2",97
01,ALACHUA,0701340,"FRENCH 3 HON",21
01,ALACHUA,0701350,"FRENCH 4 HON",1
01,ALACHUA,0701360,"FRENCH 5 HON",1
01,ALACHUA,0701380,"ADV PL FRENCH",38
01,ALACHUA,0701800,"FRENCH 1-FL PRE-IB",36
01,ALACHUA,0701810,"FRENCH 2-FL PRE-IB",38
01,ALACHUA,0701830,"FRENCH 4-B-IB",31
01,ALACHUA,0702320,"GERMAN 1",69
01,ALACHUA,0702330,"GERMAN 2",55
01,ALACHUA,0702340,"GERMAN 3 HON",23
01,ALACHUA,0702350,"GERMAN 4 HON",7
01,ALACHUA,0702360,"GERMAN 5 HON",2
01,ALACHUA,0705320,"ITALIAN 1",33
01,ALACHUA,0705330,"ITALIAN 2",15
01,ALACHUA,0705340,"ITALIAN 3 HON",9
01,ALACHUA,0706300,"LATIN 1",2
01,ALACHUA,0708000,"M/J SPANISH BEG",78
01,ALACHUA,0708010,"M/J SPANISH INTERM",9
01,ALACHUA,0708020,"M/J SPANISH ADV",351
01,ALACHUA,0708340,"SPANISH 1",776
01,ALACHUA,0708350,"SPANISH 2",773
01,ALACHUA,0708360,"SPANISH 3 HON",155
01,ALACHUA,0708370,"SPANISH 4 HON",53
01,ALACHUA,0708380,"SPANISH 5 HON",3
01,ALACHUA,0708400,"ADV PL SPANISH",115
01,ALACHUA,0708530,"AICE SPANISH AL",20
01,ALACHUA,0708800,"SPANISH 1-FL PRE-IB",103
01,ALACHUA,0708810,"SPANISH 2-FL PRE-IB",87
01,ALACHUA,0708830,"SPANISH 4-B-IB",84
01,ALACHUA,0708840,"SPANISH 5-B-IB",3
01,ALACHUA,0712000,"M/J TURK, BEG",3
01,ALACHUA,0712010,"M/J TURK, INTERM",5
01,ALACHUA,0717300,"AMER SIGN LANG 1",62
01,ALACHUA,0717310,"AMER SIGN LANG 2",87
01,ALACHUA,0800300,"HEALTH1-LIF MGMT SKL",25
01,ALACHUA,0800310,"HEALTH 2-PER HEALTH",7
01,ALACHUA,0800370,"PARENTING 1",17
01,ALACHUA,0800380,"PARENTING 2",9
01,ALACHUA,0800390,"HEALTH EXPER PARENTS",6
01,ALACHUA,0900310,"HUM 1 HON",129
01,ALACHUA,1000000,"M/J INTENS LANG ARTS",723
01,ALACHUA,1000010,"M/J INTENS READ (MC)",1516
01,ALACHUA,1000410,"INTENS READ",2104
01,ALACHUA,1001010,"M/J LANG ARTS 1",940
01,ALACHUA,1001020,"M/J LANG ARTS 1, ADV",770
01,ALACHUA,1001040,"M/J LANG ARTS 2",989
01,ALACHUA,1001050,"M/J LANG ARTS 2, ADV",764
01,ALACHUA,1001070,"M/J LANG ARTS 3",1032
01,ALACHUA,1001080,"M/J LANG ARTS 3, ADV",715
01,ALACHUA,1001300,"ENG SKLS 1",36
01,ALACHUA,1001310,"ENG 1",1192
01,ALACHUA,1001320,"ENG HON 1",590
01,ALACHUA,1001330,"ENG SKLS 2",17
01,ALACHUA,1001340,"ENG 2",1039
01,ALACHUA,1001350,"ENG HON 2",665
01,ALACHUA,1001370,"ENG 3",915
01,ALACHUA,1001380,"ENG HON 3",366
01,ALACHUA,1001400,"ENG 4",313
01,ALACHUA,1001405,"ENG 4: FL COLL PREP",521
01,ALACHUA,1001410,"ENG HON 4",216
01,ALACHUA,1001420,"ADV PL ENG COMPO",323
01,ALACHUA,1001430,"ADV PL ENG LIT COMPO",343
01,ALACHUA,1001460,"APPL COMMS 1",32
01,ALACHUA,1001470,"APPL COMMS 2",1
01,ALACHUA,1001550,"AICE ENG LANG AS",109
01,ALACHUA,1001560,"PRE-AICE ENG LANG IG",119
01,ALACHUA,1001800,"ENG 1-FL PRE-IB",140
01,ALACHUA,1001830,"ENG 4-IB",115
01,ALACHUA,1002000,"M/J LANG ARTS 1 ESOL",19
01,ALACHUA,1002010,"M/J LANG ARTS 2 ESOL",16
01,ALACHUA,1002020,"M/J LANG ARTS 3 ESOL",13
01,ALACHUA,1002180,"M/J DE LANG ART ESOL",48
01,ALACHUA,1002300,"ENG 1 THROUGH ESOL",18
01,ALACHUA,1002310,"ENG 2 THROUGH ESOL",12
01,ALACHUA,1002320,"ENG 3 THROUGH ESOL",11
01,ALACHUA,1002380,"DEV LANG ARTS ESOL",73
01,ALACHUA,1002520,"ENG 4 THROUGH ESOL",3
01,ALACHUA,1005370,"AICE ENG LIT 1 AS",80
01,ALACHUA,1005380,"PRE-AICE ENG LIT IG",93
01,ALACHUA,1006000,"M/J JOURN 1",19
01,ALACHUA,1006300,"JOURN 1",68
01,ALACHUA,1006310,"JOURN 2",21
01,ALACHUA,1006320,"JOURN 3 HON",6
01,ALACHUA,1007300,"SPEECH 1",64
01,ALACHUA,1007330,"DEBATE 1",52
01,ALACHUA,1007350,"DEBATE 3 HON",16
01,ALACHUA,1008010,"M/J READ 1",541
01,ALACHUA,1008020,"M/J READ 1 ADV",280
