"Students Absent 21 or More Days by School
2015-16, Final Survey 5",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"District #","District Name","School #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
2,BAKER,12,"BAKER COUNTY SENIOR HIGH SCHOOL",1386,309,"0,22294372294"
2,BAKER,13,"MACCLENNY ELEMENTARY SCHOOL",682,108,"0,15835777126"
2,BAKER,22,"PREK/KINDERGARTEN CENTER",652,115,"0,17638036809"
2,BAKER,31,"J FRANKLYN KELLER INTERMEDIATE SCHOOL",819,113,"0,13797313797"
2,BAKER,32,"BAKER COUNTY MIDDLE SCHOOL",1186,375,"0,31618887015"
2,BAKER,91,"WESTSIDE ELEMENTARY SCHOOL",648,108,"0,16666666666"
3,BAY,61,"BAY HIGH SCHOOL",1418,288,"0,20310296191"
3,BAY,71,"MERRITT BROWN MIDDLE SCHOOL",817,96,"0,11750305997"
3,BAY,81,"HUTCHISON BEACH ELEMENTARY SCHOOL",687,69,"0,10043668122"
3,BAY,91,"CEDAR GROVE ELEMENTARY SCHOOL",573,64,"0,11169284467"
3,BAY,101,"CALLAWAY ELEMENTARY SCHOOL",656,123,"0,1875"
3,BAY,111,"MERRIAM CHERRY STREET ELEMENTARY",475,65,"0,13684210526"
3,BAY,131,"LUCILLE MOORE ELEMENTARY SCHOOL",695,121,"0,17410071942"
3,BAY,141,"EVERITT MIDDLE SCHOOL",785,120,"0,15286624203"
3,BAY,151,"HILAND PARK ELEMENTARY SCHOOL",930,128,"0,1376344086"
3,BAY,161,"JINKS MIDDLE SCHOOL",675,111,"0,16444444444"
3,BAY,171,"LYNN HAVEN ELEMENTARY SCHOOL",848,52,"0,06132075471"
3,BAY,191,"OAKLAND TERRACE SCHOOL FOR THE VISUAL AND PERFORMING ARTS",457,68,"0,1487964989"
3,BAY,201,"SURFSIDE MIDDLE SCHOOL",864,85,"0,09837962962"
3,BAY,211,"PARKER ELEMENTARY SCHOOL",741,70,"0,09446693657"
3,BAY,221,"SOUTHPORT ELEMENTARY SCHOOL",485,64,"0,13195876288"
3,BAY,231,"SPRINGFIELD ELEMENTARY SCHOOL",615,119,"0,19349593495"
3,BAY,241,"ST. ANDREW SCHOOL",164,26,"0,15853658536"
3,BAY,251,"WALLER ELEMENTARY SCHOOL",577,100,"0,1733102253"
3,BAY,262,"WEST BAY ELEMENTARY SCHOOL",392,48,"0,12244897959"
3,BAY,281,"MARGARET K. LEWIS IN MILLVILLE",168,45,"0,26785714285"
3,BAY,291,"OSCAR PATTERSON ELEMENTARY MAGNET",495,84,"0,16969696969"
3,BAY,331,"MOWAT MIDDLE SCHOOL",1111,123,"0,1107110711"
3,BAY,341,"RUTHERFORD HIGH SCHOOL",1185,160,"0,13502109704"
3,BAY,461,"DEER POINT ELEMENTARY SCHOOL",853,85,"0,09964830011"
3,BAY,471,"NORTHSIDE ELEMENTARY SCHOOL",787,69,"0,0876747141"
3,BAY,491,"A. CRAWFORD MOSLEY HIGH SCHOOL",1840,249,"0,13532608695"
3,BAY,501,"TYNDALL ELEMENTARY SCHOOL",865,41,"0,04739884393"
3,BAY,511,"TOMMY SMITH ELEMENTARY SCHOOL",838,93,"0,11097852028"
3,BAY,521,"PATRONIS ELEMENTARY SCHOOL",980,79,"0,08061224489"
3,BAY,531,"NEW HORIZONS LEARNING CENTER",170,99,"0,58235294117"
3,BAY,541,"DEANE BOZEMAN SCHOOL",1323,187,"0,14134542705"
3,BAY,551,"J.R. ARNOLD HIGH SCHOOL",1950,308,"0,15794871794"
3,BAY,571,"BREAKFAST POINT ACADEMY",1266,116,"0,09162717219"
3,BAY,581,"ROSENWALD HIGH SCHOOL",393,199,"0,50636132315"
3,BAY,591,"C C WASHINGTON ACADEMY",149,68,"0,45637583892"
3,BAY,602,"BAY REGIONAL JUVENILE DETENTION CENTER",291,0,0
3,BAY,604,"PANAMA CITY MARINE INSTITUTE",150,77,"0,51333333333"
3,BAY,701,"BAY HAVEN CHARTER ACADEMY",720,2,"0,00277777777"
3,BAY,711,"BAY HAVEN CHARTER MIDDLE SCHOOL",550,3,"0,00545454545"
