"Student Average Daily attendance/Average Daily Membership Report by District
2015-16, Final Survey 5",,,,,,,,,,,
,,,,,,,,,,,
DISTRICT,"DISTRICT NAME","DAYS PRESENT","DAYS ABSENT","TOTAL DAYS","% PRESENT","AVERAGE DAILY ATTENDANCE","AVERAGE DAILY MEMBERSHIP","SUMMER DAYS PRESENT","SUMMER DAYS ABSENT","TOTAL SUMMER DAYS ","% SUMMER DAYS PRESENT"
52,PINELLAS,17295317,1305319,18600636,"0,9298239587",96085,103337,178635,53911,232546,"0,7681705985"
53,POLK,17365817,875232,18241049,"0,95201854893",96477,101339,813,36,849,"0,95759717314"
54,PUTNAM,1823193,187410,2010603,"0,90678915728",10129,11170,7371,495,7866,"0,93707093821"
55,"ST. JOHNS",6544244,316688,6860932,"0,95384183956",36357,38116,25879,2357,28236,"0,91652500354"
56,"ST. LUCIE",6677124,501648,7178772,"0,93012063901",37095,39882,33023,1392,34415,"0,9595525207"
57,"SANTA ROSA",4575399,244163,4819562,"0,94933917231",25419,26775,15846,1896,17742,"0,89313493405"
58,SARASOTA,7239791,356448,7596239,"0,95307572602",40221,42201,41084,3098,44182,"0,92988094699"
59,SEMINOLE,11506670,561008,12067678,"0,9535115206",63926,67043,104947,2298,107245,"0,97857242761"
60,SUMTER,1443447,83904,1527351,"0,94506567252",8019,8485,8848,2180,11028,"0,8023213638"
61,SUWANNEE,969572,85384,1054956,"0,91906392304",5387,5861,7968,0,7968,1
62,TAYLOR,481679,45359,527038,"0,91393599702",2676,2928,2323,314,2637,"0,88092529389"
63,UNION,390163,30330,420493,"0,92787038071",2168,2336,1818,0,1818,1
64,VOLUSIA,10557512,705839,11263351,"0,93733312581",58653,62574,72963,10197,83160,"0,87738095238"
65,WAKULLA,845152,72493,917645,"0,9210010407",4695,5098,5651,744,6395,"0,88365910867"
66,WALTON,1489991,89160,1579151,"0,94353928155",8278,8773,3625,132,3757,"0,96486558424"
67,WASHINGTON,534047,56443,590490,"0,90441328388",2967,3281,2047,192,2239,"0,91424743188"
68,DEAF/BLIND,103486,6243,109729,"0,94310528666",575,610,210,0,210,1
69,"WASH SPECIAL",21401,284,21685,"0,98690338943",119,120,6898,153,7051,"0,97830095021"
71,"FL VIRTUAL",1069938,232755,1302693,"0,8213278186",5944,7237,0,0,0,
72,"FAU LAB SCH",430841,17808,448649,"0,96030750096",2394,2492,4450,0,4450,1
73,"FSU LAB SCH",415051,16376,431427,"0,96204224584",2306,2397,310,0,310,1
74,"FAMU LAB SCH",81800,4066,85866,"0,95264714788",454,477,59,13,72,"0,81944444444"
75,"UF LAB SCH",208921,6973,215894,"0,96770174252",1161,1199,1587,11,1598,"0,99311639549"
