"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"SCHOOL YEAR 2015-16",,,,
"SURVEY 2 DATA AS OF 11/13/2015",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME",ENROLLMENT
01,ALACHUA,FRE2905,"INDEPENDENT STUDY",1
01,ALACHUA,GEA2000,"WORLD REGIONAL GEOGRAPHY",3
01,ALACHUA,GEB1011,"PRINCIPLES OF BUSINESS",14
01,ALACHUA,GEO2420,"INTRODUCTION TO HUMAN GEOGRAPH",2
01,ALACHUA,HSC1000,"ORIENTATION TO THE HEALTH SCIE",7
01,ALACHUA,HSC2531,"MEDICAL TERMINOLOGY",23
01,ALACHUA,HUM2020,"ENCOUNTERING THE HUMANITIES",10
01,ALACHUA,HUM2210,"HUMANITIES: HOMER TO GOTHIC",3
01,ALACHUA,HUM2230,"HUMANITIES II",2
01,ALACHUA,HUM2250,"INTERCULTURAL HUMANITIES: THE",1
01,ALACHUA,HUM2450,"AMERICAN HUMANITIES",1
01,ALACHUA,HUM2461,"LATIN AMERICAN HUMANITIES",1
01,ALACHUA,HUN1201,"NUTRITION AND DIET THERAPY",4
01,ALACHUA,INR2002,"INTERNATIONAL RELATIONS",1
01,ALACHUA,INR2500,"MODEL UNITED NATIONS",1
01,ALACHUA,ISS2270,"MULTICULTURAL COMMUNICATIONS A",3
01,ALACHUA,LIS1002,"ELECTRONIC RESEARCH STRATEGIES",1
01,ALACHUA,LIS2004,"INTRODUCTION TO INTERNET RESEA",1
01,ALACHUA,LIT1000,"INTRODUCTION TO LITERATURE",2
01,ALACHUA,MACL233,"SURVEY OF CALCULUS LABORATORY",2
01,ALACHUA,MACL311,"CALCULUS 1 WITH ANALYTIC GEOME",8
01,ALACHUA,MACL312,"CALCULUS 2 WITH ANALYTIC GEOME",2
01,ALACHUA,MACL313,"CALCULUS 3 WITH ANALYTIC GEOME",2
01,ALACHUA,MAC1105,"COLLEGE ALGEBRA",87
01,ALACHUA,MAC1114,"PLANE TRIGONOMETRY",16
01,ALACHUA,MAC1140,"PRECALCULUS ALGEBRA",22
01,ALACHUA,MAC2233,"CALCULUS FOR BUSINESS & SOCIAL",3
01,ALACHUA,MAC2311,"CALCULUS I",8
01,ALACHUA,MAC2312,"CALCULUS II",2
01,ALACHUA,MAC2313,"CALCULUS III",2
01,ALACHUA,MAT1033,"INTERMEDIATE ALGEBRA",113
01,ALACHUA,MCBL000,"MICROBIOLOGY LABORATORY",1
01,ALACHUA,MCB2000,"MICROBIOLOGY FOR NURSING AND O",1
01,ALACHUA,MGF1106,"MATHEMATICS FOR LIBERAL ARTS I",4
01,ALACHUA,MGF1107,"MATHEMATICS FOR LIBERAL ARTS",2
01,ALACHUA,MUH2019,"AMERICAN POPULAR MUSIC",4
01,ALACHUA,MUH2501,"NONWESTERN MUSIC",4
01,ALACHUA,MUL1010,"INTRODUCTION TO MUSIC",11
01,ALACHUA,MUN1030,"MUSIC ENSEMBLES",2
01,ALACHUA,MUN1340,"CONTEMPORARY ENSEMBLE",3
01,ALACHUA,MUN2011,"MUSIC ENSEMBLES",1
01,ALACHUA,MUT1001,"FUNDAMENTALS OF MUSIC",16
01,ALACHUA,MVK1411,"PIANO I",1
01,ALACHUA,MVP1411,"APPLIED MUSIC-PERCUSSION",1
01,ALACHUA,MVS1116,"GUITAR SKILLS",5
01,ALACHUA,MVV1111,"VOICE CLASS II",3
01,ALACHUA,MVV1211,"APPL VOICE-SECONDARY FRESH VOI",1
01,ALACHUA,OCE1001,"INTRODUCTION TO OCEANOGRAPHY",1
01,ALACHUA,PCB2610,"GENERAL GENETICS AND EVOLUTION",1
01,ALACHUA,PGY1800,"PRINCIPLES OF DIGITAL PHOTOGRA",9
01,ALACHUA,PHI2010,"INTRODUCTION TO PHILOSOPHY",10
01,ALACHUA,PHI2600,ETHICS,8
01,ALACHUA,PHI2635,"BIOMEDICAL ETHICS",1
01,ALACHUA,PHYL004,"APPLIED PHYSICS I LABATORY II",4
01,ALACHUA,PHYL053,"GENERAL PHYSICS I LAB",2
01,ALACHUA,PHY2004,"APPLIED PHYSICS 1",4
01,ALACHUA,PHY2053,"COLLEGE PHYSICS I",2
01,ALACHUA,POR1120,"BEGINNING PROTUGUESE I",1
01,ALACHUA,POS2041,"AMERICAN GOVERNMENT",43
01,ALACHUA,PPE2001,"PERSONALITY THEORIES OF PSYCHO",1
01,ALACHUA,PSCL121,"GENERAL PHYSICAL SCIENCE LAB",13
01,ALACHUA,PSC1341,"PHYSICAL SCIENCE",1
01,ALACHUA,PSC2121,"GENERAL PHYSICAL SCIENCE",13
01,ALACHUA,PSY2012,PSYCHOLOGY,41
01,ALACHUA,REL2000,"INTRODUCTION TO RELIGION",2
01,ALACHUA,REL2121,"AMERICAN RELIGIOUS HISTORY",1
01,ALACHUA,REL2300,"WORLD RELIGIONS",4
01,ALACHUA,REL2315,"RELIGIONS OF SOUTH ASIA",3
01,ALACHUA,SLS1101,"COLLEGE SUCCESS",47
01,ALACHUA,SLS1260,"BASIC LEADERSHIP SKILLS",1
01,ALACHUA,SLS1301,"EDUCATION & CAREER PLANNING",8
01,ALACHUA,SLS1601,"EFFECTIVE LIVING IN TODAY'S WO",1
01,ALACHUA,SOP2002,"SOCIAL PSYCHOLOGY",1
01,ALACHUA,SPC2608,"EFFECTIVE SPEAKING",14
01,ALACHUA,SPN1120,"BEGINNING SPANISH I",20
01,ALACHUA,SPN1121,"BEGINNING SPANISH II",11
01,ALACHUA,SPN1125,"SPANISH 3",2
01,ALACHUA,STA2023,"HONORS STATISTICAL METHODS I",14
01,ALACHUA,SYG2000,"INTRODUCTION TO SOCIOLOGY",4
01,ALACHUA,SYG2010,"SOCIAL PROBLEMS",9
01,ALACHUA,SYG2430,"MARRIAGE AND THE FAMILY",31
01,ALACHUA,THE1000,"INTRODUCTION TO THE THEATER",6
01,ALACHUA,THE2300,"DRAMATIC LITERATURE",1
01,ALACHUA,TPA1200,"INTRODUCTION TO PRODUCTION/DES",3
01,ALACHUA,TPA1220,LIGHTING,2
01,ALACHUA,TPA1232,"THEATRE COSTUMING",1
01,ALACHUA,TPA1248,"STAGE MAKEUP",6
01,ALACHUA,TPP1100,"ACTING I",9
01,ALACHUA,TPP2260,"ACTING FOR THE CAMERA 1",3
01,ALACHUA,ZOOC503,"ANIMAL BEHAVIOR & ECOLOGY",8
