,,,,,,,,,
"Student Average Daily Attendance/Average Daily Membership by School",,,,,,,,,
"2013-14, Survey 5 Data Final",,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  A blank cell indicates no students in ADM.",,,,,,,,,
"DIST #",DISTRICT,"SCHOOL #","SCHOOL NAME","DAYS PRESENT","DAYS ABSENT",TOTAL,"PERCENT PRESENT","AVERAGE DAILY ATTENDANCE ","AVERAGE DAILY MEMBERSHIP"
1,ALACHUA,956,"EXPRESSIONS LEARNING ARTS",15804,664,16468,"0,959679378188001",88,91
1,ALACHUA,957,"ALACHUA LEARNING CENTER,",18679,1097,19776,"0,9445287216828478",104,110
1,ALACHUA,958,"GENESIS PREPARATORY SCHOO",11826,533,12359,"0,9568735334573994",66,69
1,ALACHUA,961,"MICANOPY MIDDLE SCHOOL, I",9599,1425,11024,"0,8707365747460087",53,61
1,ALACHUA,971,"HOGGETOWNE MIDDLE SCHOOL",19413,596,20009,"0,9702134039682143",108,111
1,ALACHUA,981,"HEALTHY LEARNING ACADEMY",14938,717,15655,"0,9541999361226445",83,87
1,ALACHUA,991,"SIATECH GAINESVILLE",18321,5113,23434,"0,7818127507041052",102,130
1,ALACHUA,1003,"MYCROSCHOOL GAINESVILLE",40305,6901,47206,"0,853810956234377",224,262
1,ALACHUA,1010,"ONE ROOM MIDDLE SCHOOL",6798,288,7086,"0,9593564775613886",38,39
1,ALACHUA,1011,"ALACHUA LEARNING CENTER ,",9380,613,9993,"0,9386570599419594",52,56
1,ALACHUA,7001,"ALACHUA VIRTUAL INSTRUCTI"," "," "," "," "," "," "
1,ALACHUA,7004,"ALACHUA ESCHOOL (VIRTUAL",1934,0,1934,1,11,11
1,ALACHUA,7023,"ALACHUA VIRTUAL INSTRUC P",2819,0,2819,1,16,16
1,ALACHUA,9029,"ALACHUA REGIONAL JUVENILE",4846,0,4846,1,27,27
1,ALACHUA,N998,"HOME EDUC PROGRAM STUDENT",*,*,*,*,*,*
1,,N999,"OUT OF STATE/NON-PUBLIC S",*,*,*,*,*,*
2,BAKER,12,"BAKER COUNTY SENIOR HIGH",203780,17097,220877,"0,9225949283990638",1132,1227
2,BAKER,13,"MACCLENNY ELEMENTARY SCHO",106178,7635,113813,"0,9329162749422298",590,632
2,BAKER,22,"PREK/KINDERGARTEN CENTER",101414,10111,111525,"0,9093387132929837",563,620
2,BAKER,31,"J FRANKLYN KELLER INTERME",126562,9578,136140,"0,9296459526957543",703,756
2,BAKER,32,"BAKER COUNTY MIDDLE SCHOO",183197,22363,205560,"0,8912093792566648",1018,1142
2,BAKER,91,"WESTSIDE ELEMENTARY SCHOO",100650,7479,108129,"0,9308326165968427",559,601
3,BAY,61,"BAY HIGH SCHOOL",219240,15264,234504,"0,9349094258520111",1218,1303
3,BAY,71,"MERRITT BROWN MIDDLE SCHO",129646,9668,139314,"0,9306028109163472",720,774
