"COURSE ENROLLMENTS BY DISTRICT",,,,
"2015-16 SURVEY 3  AS OF 03/13/16",,,,
" ",,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME","COURSE ENROLLMENT"
01,ALACHUA,DAA1505,"JAZZ DANCE 2",2
01,ALACHUA,DAA1680,"DANCE REPERTORY I",5
01,ALACHUA,DAA2106,"MODERN DANCE IV",4
01,ALACHUA,DAA2206,"BALLET IV",4
01,ALACHUA,DAA2207,"INTERMEDIATE BALLET I FOR PRE-",1
01,ALACHUA,DAA2682,"DANCE WORKSHOP II",2
01,ALACHUA,DAN1120,"WORLD DANCE",1
01,ALACHUA,DEP2004,"HUMAN GROWTH & DEVELOPMENT",11
01,ALACHUA,DIG1200,"BASIC VIDEO CAMERA",1
01,ALACHUA,ECO1931,"SPECIAL TOPICS IN ECONOMICS-FI",28
01,ALACHUA,ECO2013,MACROECONOMICS,11
01,ALACHUA,ECO2023,"PRINCIPLES OF ECONOMICS, MICRO",22
01,ALACHUA,EDF1005,"INTRODUCTION TO AMERICAN EDUCA",2
01,ALACHUA,EDF2085,"TEACHING DIVERSE POPULATIONS",3
01,ALACHUA,EETL141,"INTRODUCTION TO SEMICONDUCTORS",1
01,ALACHUA,EET1141,"INTRODUCTION TO SEMICONDUCTORS",1
01,ALACHUA,EMSL119,"EMERGENCY MEDICAL TECHNICIAN P",4
01,ALACHUA,EMS1119,"EMERGENCY MEDICAL TECHNICIAN",4
01,ALACHUA,EMS1335,"EMERGENCY VEHICLE OPERATOR COU",4
01,ALACHUA,EMS1411,"EMERGENCY MEDICAL TECHNICIAN (",4
01,ALACHUA,EMS1421,"EMT - FIELD CLINICAL",4
01,ALACHUA,ENC1101,"COMPOSITION I",69
01,ALACHUA,ENC1102,"HONORS ENGLISH COMPOSITION II",115
01,ALACHUA,ENC2210,"TECHNICAL WRITING",17
01,ALACHUA,ENG2102,"MOVIES AS NARRATIVE",4
01,ALACHUA,ENL2022,"BRITISH LITERATURE & CULTURE I",1
01,ALACHUA,ENL2330,"INTRO TO SHAKESPEARE",1
01,ALACHUA,ESC1000,"EARTH SCIENCE",8
01,ALACHUA,EUH2001,"HISTORY OF WESTERN CIV. 1648 T",1
01,ALACHUA,EUH2002,"W. CIVILIZATION: FROM 18TH CEN",1
01,ALACHUA,EVR1001,"INTRODUCTION TO ENVIRONMENTAL",4
01,ALACHUA,FRE1120,"BEGINNING FRENCH I",2
01,ALACHUA,FRE1121,"BEGINNING FRENCH II",11
01,ALACHUA,GEA2000,"WORLD REGIONAL GEOGRAPHY",3
01,ALACHUA,GEB1011,"PRINCIPLES OF BUSINESS",9
01,ALACHUA,GLY2010,"THE DYNAMIC EARTH: INTRO TO PH",1
01,ALACHUA,GRAC150,"PHOTO EDITING AND MANIPULATION",1
01,ALACHUA,GRA2930,"SPECIAL TOPICS: GRAPHIC DESIGN",1
01,ALACHUA,HSC1000,"ORIENTATION TO THE HEALTH SCIE",11
01,ALACHUA,HSC2531,"MEDICAL TERMINOLOGY",21
01,ALACHUA,HUM2020,"ENCOUNTERING THE HUMANITIES",9
01,ALACHUA,HUM2210,"HUMANITIES: HOMER TO GOTHIC",6
01,ALACHUA,HUM2250,"INTERCULTURAL HUMANITIES: THE",3
01,ALACHUA,HUM2410,"ASIAN HUMANITIES",2
01,ALACHUA,HUM2420,"HUMANITIES OF AFRICA",1
01,ALACHUA,HUN1201,"NUTRITION AND DIET THERAPY",1
01,ALACHUA,INR2002,"INTERNATIONAL RELATIONS",3
01,ALACHUA,ISS2270,"MULTICULTURAL COMMUNICATIONS A",1
01,ALACHUA,LIS1000,"INFORMATION LITERACY",1
01,ALACHUA,LIT1000,"INTRODUCTION TO LITERATURE",8
01,ALACHUA,MACL233,"SURVEY OF CALCULUS LABORATORY",3
01,ALACHUA,MACL311,"CALCULUS 1 WITH ANALYTIC GEOME",8
01,ALACHUA,MACL312,"CALCULUS 2 WITH ANALYTIC GEOME",7
01,ALACHUA,MACL313,"CALCULUS 3 WITH ANALYTIC GEOME",1
