"Course Enrollments",,,,
"2013-14 Survey 3 Data Final, as of 8/08/2014",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #",COURSE,ENROLLMENT
01,ALACHUA,ECO2013,MACROECONOMICS,6
01,ALACHUA,ECO2023,"PRINCIPLES OF ECONOMICS, MICRO",33
01,ALACHUA,ECO2710,"INTRODUCTION TO INTERNATIONAL",2
01,ALACHUA,EDF1005,"INTRODUCTION TO AMERICAN EDUCA",3
01,ALACHUA,EDF2085,"TEACHING DIVERSE POPULATIONS",2
01,ALACHUA,EME2040,"INTRODUCTION TO TECHNOLOGY FOR",2
01,ALACHUA,EMSL119,"EMERGENCY MEDICAL TECHNICIAN P",5
01,ALACHUA,EMS1119,"EMERGENCY MEDICAL TECHNICIAN",5
01,ALACHUA,EMS1335,"EMERGENCY VEHICLE OPERATOR COU",5
01,ALACHUA,EMS1411,"EMT HOSPITAL CLINICAL",5
01,ALACHUA,EMS1421,"EMT - FIELD CLINICAL",5
01,ALACHUA,ENC1101,"COMPOSITION I",64
01,ALACHUA,ENC1102,"ENGLISH COMPOSITION II",140
01,ALACHUA,ENC2210,"TECHNICAL COMMUNICATIONS",16
01,ALACHUA,ENC2301,"ADVANCED COMPOSITION",5
01,ALACHUA,ENG2102,"MOVIES AS NARRATIVE",2
01,ALACHUA,ENL2022,"BRITISH LITERATURE & CULTURE I",2
01,ALACHUA,EUH2001,"HISTORY OF WESTERN CIV. 1648 T",2
01,ALACHUA,EVS1001,"INTRODUCTION TO ENVIRONMENTAL",2
01,ALACHUA,FRE1120,"BEGINNING FRENCH I",1
01,ALACHUA,FRE1121,"BEGINNING FRENCH II",5
01,ALACHUA,GEA2000,"WORLD REGIONAL GEOGRAPHY",3
01,ALACHUA,GEB1011,"PRINCIPLES OF BUSINESS",7
01,ALACHUA,GEB2350,"INTRODUCTION  TO INTERNATIONAL",1
01,ALACHUA,GEO2420,"INTRODUCTION TO HUMAN GEOGRAPH",1
01,ALACHUA,HSC1000,"INTRO TO ALLIED HEALTH PROFESS",3
01,ALACHUA,HSC2531,"MEDICAL TERMINOLOGY",16
01,ALACHUA,HUM2210,"THE HUMANITIES",6
01,ALACHUA,HUM2230,"HUMANITIES SURVEY: BYZANTINE T",2
01,ALACHUA,HUM2250,"INTERCULTURAL HUMANITIES III",1
01,ALACHUA,HUM2410,"ASIAN HUMANITIES",1
01,ALACHUA,HUM2420,"HUMANITIES OF AFRICA",1
01,ALACHUA,HUM2450,"AMERICAN HUMANITIES",2
01,ALACHUA,HUN1201,"NUTRITION AND DIET THERAPY",3
01,ALACHUA,INR2002,"INTERNATIONAL RELATIONS",2
01,ALACHUA,ISS2270,"MULTICULTURAL COMMUNICATIONS A",2
01,ALACHUA,MACL233,"SURVEY OF CALCULUS LABORATORY",7
01,ALACHUA,MACL311,"CALC. AND ANALYTIC GEOMETRY I",6
01,ALACHUA,MACL312,"CALCULUS II LAB",3
01,ALACHUA,MACL313,"CALCULUS III LAB",4
01,ALACHUA,MAC1105,"COLLEGE ALGEBRA",105
01,ALACHUA,MAC1114,"PLANE TRIGONOMETRY",14
01,ALACHUA,MAC1140,"PRECALCULUS ALGEBRA",34
01,ALACHUA,MAC1147,"PRECALCULUS ALGEBRA AND TRIGON",3
01,ALACHUA,MAC2233,"CALCULUS FOR BUSINESS & SOCIAL",7
01,ALACHUA,MAC2311,"CALCULUS I",6
01,ALACHUA,MAC2312,"CALCULUS 2 WITH ANALYTIC GEOME",3
01,ALACHUA,MAC2313,"CALCULUS 3 WITH ANALYTIC GEOME",4
01,ALACHUA,MAN2021,"PRINCIPLES OF MANAGEMENT",1
01,ALACHUA,MAT1033,"INTERMEDIATE ALGEBRA",20
01,ALACHUA,MCBL010,"MICROBIOLOGY LAB FOR HEALTH SC",2
01,ALACHUA,MCB2010,"MICROBIOLOGY FOR HEALTH SCIENC",2
01,ALACHUA,MGF1106,"FINITE MATHEMATICS",13
01,ALACHUA,MGF1107,"MATHEMATICS FOR LIBERAL ARTS I",3
01,ALACHUA,MGF1121,"INTRODUCTION TO LOGIC",1
01,ALACHUA,MMC2100,"WRITING FOR THE MASS MEDIA",1
01,ALACHUA,MUH2019,"AMERICAN POPULAR MUSIC",3
01,ALACHUA,MUH2501,"INTRODUCTION TO WORLD MUSIC",1
01,ALACHUA,MUL1010,"INTRODUCTION TO MUSIC",12
01,ALACHUA,MUN2011,"MUSIC ENSEMBLES",4
01,ALACHUA,MUT1001,"FUNDAMENTALS OF MUSIC",14
01,ALACHUA,MUT1121,"MUSIC THEORY I",2
01,ALACHUA,MUT1122,"MUSIC THEORY II",1
01,ALACHUA,MUT1271,"FRESHMAN THEORY LABORATORY",2
01,ALACHUA,MUT1272,"APPLIED THEORY SKILLS 2",1
01,ALACHUA,MVK1111,"PIANO CLASS",2
01,ALACHUA,MVP1111,"PERCUSSION SKILLS-HAND DRUMMIN",2
01,ALACHUA,MVS1116,"CLASS GUITAR",7
01,ALACHUA,MVS2126,"GUITAR CLASS",1
01,ALACHUA,MVV1111,"VOICE CLASS",3
01,ALACHUA,OCE1001,"INTRODUCTION TO OCEANOGRAPHY",4
01,ALACHUA,PCB2610,"GENERAL GENETICS AND EVOLUTION",1
01,ALACHUA,PGYC401,"PHOTOGRAPHY I",1
01,ALACHUA,PGYC800,"DIGITAL PHOTOGRAPHY FOR DESIGN",3
01,ALACHUA,PHI2010,"INTRODUCTION TO PHILOSOPHY",13
01,ALACHUA,PHI2600,ETHICS,16
01,ALACHUA,PHI2635,"HEALTH CARE ETHICS APPLIED",4
01,ALACHUA,PHYL004,"APPLIED PHYSICS I LABATORY II",2
01,ALACHUA,PHYL048,"PHYSICS LABORATORY I",3
01,ALACHUA,PHYL049,"GEN. PHYSICS II AND GEN. PHYSI",1
01,ALACHUA,PHY2004,"APPLIED PHYSICS 1",2
01,ALACHUA,PHY2048,"HONORS GENERAL PHYSICS I",3
01,ALACHUA,PHY2049,"PHYSICS WITH CALCULUS 2",1
01,ALACHUA,POS2041,"AMERICAN GOVERNMENT",34
01,ALACHUA,POS2112,"STATE AND LOCAL GOVERNMENTS AN",1
01,ALACHUA,PPE2001,"PSYCHOLOGY OF PERSONALITY",1
01,ALACHUA,PSCL121,"GENERAL PHYSICAL SCIENCE LAB",18
01,ALACHUA,PSC1341,"PHYSICAL SCIENCE",2
01,ALACHUA,PSC2121,"GENERAL PHYSICAL SCIENCE",18
01,ALACHUA,PSY2012,"GENERAL PSYCHOLOGY",37
01,ALACHUA,REA2205,"ADVANCED COLLEGE READING",6
01,ALACHUA,REL2000,"INTRODUCTION TO RELIGION",6
01,ALACHUA,REL2121,"AMERICAN RELIGIOUS HISTORY",2
01,ALACHUA,REL2300,"HONORS COMPARATIVE RELIGIONS",2
01,ALACHUA,SBM2000,"SMALL BUSINESS MANAGEMENT",1
01,ALACHUA,SLS1101,ORIENTATION,11
01,ALACHUA,SLS1260,"BASIC LEADERSHIP SKILLS",1
01,ALACHUA,SLS1301,"EDUCATION & CAREER PLANNING",7
01,ALACHUA,SLS1601,"EFFECTIVE LIVING IN TODAY'S WO",3
01,ALACHUA,SOP2002,"SOCIAL PSYCHOLOGY",6
01,ALACHUA,SPC2608,"EFFECTIVE SPEAKING",43
01,ALACHUA,SPN1120,"FIRST-YEAR SPANISH I",4
01,ALACHUA,SPN1121,"ELEMENTARY SPANISH II",21
01,ALACHUA,STA2023,"HONORS INTRODUCTORY STATISTICS",19
01,ALACHUA,SYG2000,SOCIOLOGY,8
01,ALACHUA,SYG2010,"HONORS SOCIAL PROBLEMS",6
01,ALACHUA,SYG2323,"INTRODUCTION TO CRIMINOLOGY",2
01,ALACHUA,SYG2430,"MARRIAGE AND THE FAMILY",33
01,ALACHUA,THE1000,"INTRODUCTION TO THEATRE",1
01,ALACHUA,THE2300,"DRAMATIC LITERATURE",2
01,ALACHUA,TPA1200,"INTRO TO PRODUCTION/DESIGN",1
01,ALACHUA,TPA1248,"STAGE MAKEUP",3
01,ALACHUA,TPP1100,"STAGE ACTING",5
01,ALACHUA,TPP1110,"ACTING I",1
01,ALACHUA,TPP2231,"THEATRE ENSEMBLE",1
01,ALACHUA,TPP2260,"ACTING FOR THE CAMERA 1",4
01,ALACHUA,ZOOC503,"ANIMAL BEHAVIOR & ECOLOGY",4
01,ALACHUA,ZOOL010,"GENERAL ZOOLOGY LAB",1
01,ALACHUA,ZOO2010,"GENERAL ZOOLOGY",1
01,ALACHUA,100330,"ART HIST & CRIT 1 H",1
01,ALACHUA,101005,"M/J EXPLORING 2D ART",10
01,ALACHUA,101010,"M/J 2-D STUDIO ART 1",68
01,ALACHUA,101020,"M/J 2-D STUDIO ART 2",195
01,ALACHUA,101026,"M/J 2D STUDIO ART 3",82
01,ALACHUA,101300,"2-D STUDIO ART 1",285
01,ALACHUA,101310,"2-D STUDIO ART 2",223
01,ALACHUA,101320,"2-D STUDIO ART 3 HON",61
01,ALACHUA,101330,"3-D STUDIO ART 1",6
01,ALACHUA,101340,"3-D STUDIO ART 2",2
01,ALACHUA,102300,"CERAM/POT 1",162
01,ALACHUA,102310,"CERAM/POT 2",36
01,ALACHUA,103000,"M/J DIG ART & DES 1",24
01,ALACHUA,104300,"AP ART/DRAW PORT",3
01,ALACHUA,104340,"DRAW 1",85
01,ALACHUA,104350,"DRAW 2",4
01,ALACHUA,104380,"PAINT 2",65
01,ALACHUA,107440,"VISUAL TECH 1",18
01,ALACHUA,107450,"VISUAL TECH 2",6
01,ALACHUA,108310,"CREATIVE PHOTO 1",20
01,ALACHUA,108370,"DIGITAL ART IMG 1",13
01,ALACHUA,108380,"DIGITAL ART IMG 2",6
01,ALACHUA,109310,"PORT DEV: DRAW HON",29
01,ALACHUA,109350,"AP STUDIO/2-D",57
01,ALACHUA,114840,"IB ART STUDIO 1-A/DE",20
01,ALACHUA,114850,"IB ART STUDIO 2-A",10
01,ALACHUA,200320,"AP CPTR SCI A",47
01,ALACHUA,300400,"DANCE REPERT 1",54
01,ALACHUA,300410,"DANCE REPERT 2",26
01,ALACHUA,300420,"DANCE REPERT 3 HON",3
01,ALACHUA,400000,"M/J THEATRE 1",28
01,ALACHUA,400300,"INTROD DRAMA",38
01,ALACHUA,400310,"THEATRE 1",159
01,ALACHUA,400320,"THEATRE 2",62
01,ALACHUA,400330,"THEATRE 3 HON",39
01,ALACHUA,400340,"THEATRE 4 HON",12
01,ALACHUA,400370,"ACTING 1",18
01,ALACHUA,400410,"TECH THEA DES&PROD 1",64
01,ALACHUA,400420,"TECH THEA DES&PROD 2",21
01,ALACHUA,400430,"TECH THEA DES&PROD 3",4
01,ALACHUA,400440,"TECH THEA DES&PROD4H",1
01,ALACHUA,400810,"IB THEATRE 1",9
01,ALACHUA,400820,"IB THEATRE 2",9
01,ALACHUA,500000,"M/J PERS CAR SCH 1",196
01,ALACHUA,500002,"M/J PERS CAR SCH C/P",9
01,ALACHUA,500010,"M/J PERS CAR SCH 2",37
01,ALACHUA,500300,"EXEC INTERN 1",81
01,ALACHUA,500310,"EXEC INTERN 2",9
01,ALACHUA,500370,"VOL PUB SERV",169
01,ALACHUA,500500,"PERS,CAR,SCH DEV 1",307
01,ALACHUA,500510,"PERS,CAR,SCH DEV 2",237
01,ALACHUA,500520,"PERS,CAR,SCH DEV 3",13
01,ALACHUA,500530,"PERS,CAR,SCH DEV 4",8
01,ALACHUA,600000,"M/J EXPLOR WHEEL 1",108
01,ALACHUA,600020,"M/J EXPLOR WHEEL 3",17
01,ALACHUA,600030,"M/J EXPLOR WHEEL 4",81
01,ALACHUA,600050,"M/J EXPLOR WHEEL 6",8
01,ALACHUA,701020,"M/J FRENCH ADV",26
01,ALACHUA,701320,"FRENCH 1",188
01,ALACHUA,701330,"FRENCH 2",89
01,ALACHUA,701340,"FRENCH 3 HON",21
01,ALACHUA,701350,"FRENCH 4 HON",1
01,ALACHUA,701360,"FRENCH 5 HON",5
01,ALACHUA,701380,"AP FRENCH LANG & CU",45
01,ALACHUA,701800,"FL PRE-IB FRENCH 1",34
01,ALACHUA,701810,"FL PRE-IB FRENCH 2",35
01,ALACHUA,701830,"IB FRENCH 4-B",34
01,ALACHUA,701840,"IB FRENCH 5-B",2
01,ALACHUA,702320,"GERMAN 1",70
01,ALACHUA,702330,"GERMAN 2",62
01,ALACHUA,702340,"GERMAN 3 HON",21
01,ALACHUA,702350,"GERMAN 4 HON",12
01,ALACHUA,705320,"ITALIAN 1",30
01,ALACHUA,705330,"ITALIAN 2",23
01,ALACHUA,705340,"ITALIAN 3 HON",4
01,ALACHUA,705350,"ITALIAN 4 HON",3
01,ALACHUA,706300,"LATIN 1",1
01,ALACHUA,706310,"LATIN 2",1
01,ALACHUA,708000,"M/J SPANISH BEG",93
01,ALACHUA,708020,"M/J SPANISH ADV",355
01,ALACHUA,708340,"SPANISH 1",695
01,ALACHUA,708350,"SPANISH 2",781
01,ALACHUA,708360,"SPANISH 3 HON",151
01,ALACHUA,708370,"SPANISH 4 HON",42
01,ALACHUA,708400,"AP SPANISH",109
01,ALACHUA,708410,"AP SPANISH LIT",29
01,ALACHUA,708530,"AICE SPANISH AL",12
01,ALACHUA,708800,"FL PRE-IB SPANISH 1",119
01,ALACHUA,708810,"FL PRE-IB SPANISH 2",94
01,ALACHUA,708830,"IB SPANISH 4-B",76
01,ALACHUA,708840,"IB SPANISH 5-B",1
01,ALACHUA,717300,"AMER SIGN LANG 1",80
01,ALACHUA,717310,"AMER SIGN LANG 2",47
01,ALACHUA,800300,"HEALTH1-LIF MGMT SKL",25
01,ALACHUA,800310,"HEALTH 2-PER HEALTH",17
01,ALACHUA,800370,"PARENTING 1",5
01,ALACHUA,800380,"PARENTING 2",5
01,ALACHUA,800390,"HEALTH EXPER PARENTS",3
01,ALACHUA,900320,"HUM 2 HON",97
01,ALACHUA,1000000,"M/J INTENS LANG ARTS",733
01,ALACHUA,1000010,"M/J INTENS READ (MC)",1332
01,ALACHUA,1000410,"INTENS READ",1740
01,ALACHUA,1001010,"M/J LANG ARTS 1",865
01,ALACHUA,1001020,"M/J LANG ARTS 1, ADV",736
01,ALACHUA,1001040,"M/J LANG ARTS 2",950
01,ALACHUA,1001050,"M/J LANG ARTS 2, ADV",789
01,ALACHUA,1001070,"M/J LANG ARTS 3",1073
01,ALACHUA,1001080,"M/J LANG ARTS 3, ADV",764
01,ALACHUA,1001300,"ENG SKLS 1",22
01,ALACHUA,1001310,"ENG 1",1002
01,ALACHUA,1001320,"ENG HON 1",701
01,ALACHUA,1001330,"ENG SKLS 2",43
01,ALACHUA,1001340,"ENG 2",1025
01,ALACHUA,1001350,"ENG HON 2",660
01,ALACHUA,1001360,"ENG SKLS 3",7
01,ALACHUA,1001370,"ENG 3",823
01,ALACHUA,1001380,"ENG HON 3",332
01,ALACHUA,1001400,"ENG 4",203
01,ALACHUA,1001405,"ENG 4: FL COLL PREP",501
01,ALACHUA,1001410,"ENG HON 4",251
01,ALACHUA,1001420,"AP ENG COMPO",375
01,ALACHUA,1001430,"AP ENG LIT COMPO",322
01,ALACHUA,1001460,"APPL COMMS 1",18
01,ALACHUA,1001470,"APPL COMMS 2",2
01,ALACHUA,1001550,"AICE ENG LANG AS",80
01,ALACHUA,1001560,"PRE-AICE ENG LANG IG",104
01,ALACHUA,1001800,"FL PRE-IB ENG 1",151
01,ALACHUA,1001830,"IB ENGLISH 4",109
01,ALACHUA,1002000,"M/J LANG ARTS 1 ESOL",15
01,ALACHUA,1002010,"M/J LANG ARTS 2 ESOL",20
01,ALACHUA,1002020,"M/J LANG ARTS 3 ESOL",21
01,ALACHUA,1002180,"M/J DE LANG ART ESOL",42
01,ALACHUA,1002300,"ENG 1 THROUGH ESOL",12
01,ALACHUA,1002310,"ENG 2 THROUGH ESOL",10
01,ALACHUA,1002320,"ENG 3 THROUGH ESOL",5
01,ALACHUA,1002380,"DEV LANG ARTS ESOL",60
01,ALACHUA,1002520,"ENG 4 THROUGH ESOL",2
01,ALACHUA,1005365,"LIT IN MEDIA HON",14
01,ALACHUA,1005370,"AICE ENG LIT 1 AS",106
01,ALACHUA,1005380,"PRE-AICE ENG LIT IG",116
01,ALACHUA,1006300,"JOURN 1",48
01,ALACHUA,1006310,"JOURN 2",22
01,ALACHUA,1006320,"JOURN 3",2
01,ALACHUA,1006375,"SOCIAL MEDIA 1",1
01,ALACHUA,1007300,"SPEECH 1",13
01,ALACHUA,1007330,"DEBATE 1",39
01,ALACHUA,1007360,"DEBATE 4 HON",10
01,ALACHUA,1008010,"M/J READ 1",593
01,ALACHUA,1008020,"M/J READ 1 ADV",406
01,ALACHUA,1008040,"M/J READ 2",657
01,ALACHUA,1008050,"M/J READ 2 ADV",432
01,ALACHUA,1008070,"M/J READ 3",761
