"COURSE ENROLLMENTS",,,,
"2012-13 SURVEY 3 DATA FINAL",,,,
,,,,
"Dist #",District,"Course #",Course,Enrollment
1,ALACHUA,ENL2022,"ENGLISH LITERATURE FROM 1800",1
1,ALACHUA,ENL2330,"INTRODUCTION TO SHAKESPEARE",2
1,ALACHUA,ESC1000,"EARTH SCIENCE",3
1,ALACHUA,EUH2000,"HONORS WESTERN CIVILIZATION I",2
1,ALACHUA,EVS1001,"INTRODUCTION TO ENVIRONMENTAL",2
1,ALACHUA,FRE1120,"BEGINNING FRENCH I",1
1,ALACHUA,FRE1121,"BEGINNING FRENCH II",6
1,ALACHUA,GEA2000,"WORLD REGIONAL GEOGRAPHY",5
1,ALACHUA,GEB1011,"PRINCIPLES OF BUSINESS",10
1,ALACHUA,GEOC200,"PHYSICAL GEOGRAPHY",1
1,ALACHUA,GEO2420,"INTRODUCTION TO HUMAN GEOGRAPH",3
1,ALACHUA,GLYL010,"PHYSICAL GEOLOGY LABORATORY",4
1,ALACHUA,GLY2010,"THE DYNAMIC EARTH: INTRO TO PH",5
1,ALACHUA,HSC1000,"INTRODUCTION TO HEALTH CARE",4
1,ALACHUA,HSC2531,"MEDICAL TERMINOLOGY",18
1,ALACHUA,HUM2210,"THE HUMANITIES",1
1,ALACHUA,HUM2230,"HUMANITIES II",2
1,ALACHUA,HUM2250,"INTERCULTURAL HUMANITIES III",2
1,ALACHUA,HUM2410,"ASIAN HUMANITIES",1
1,ALACHUA,HUM2420,"AFRICAN HUMANITIES",1
1,ALACHUA,HUM2450,"AMERICAN HUMANITIES",5
1,ALACHUA,HUM2461,"HONORS LATIN AMERICAN HUMANITI",3
1,ALACHUA,HUN1201,"NUTRITION AND DIET THERAPY",11
1,ALACHUA,ISS2270,"MULTICULTURAL COMMUNICATIONS A",1
1,ALACHUA,ITA1121,"ELEMENTARY ITALIAN II CONCENTR",3
1,ALACHUA,LIS1001,"JUST A CLICK AWAY: FINDING AND",1
1,ALACHUA,LIS1002,"ELECTRIC ACCESS TO INFORMATION",3
1,ALACHUA,MACL233,"SURVEY OF CALCULUS LABORATORY",3
1,ALACHUA,MACL311,"CALC. AND ANALYTIC GEOMETRY I",4
1,ALACHUA,MACL312,"CALCULUS 2 WITH ANALYTIC GEOME",5
