"Student Average Daily Attendance/Average Daily Membership Report by School
2015-16, Final Survey 5",,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,,,,,,,,
DISTRICT,"DISTRICT NAME","School #","School Name","DAYS PRESENT","DAYS ABSENT","TOTAL DAYS","% PRESENT","AVERAGE DAILY ATTENDANCE","AVERAGE DAILY MEMBERSHIP","SUMMER DAYS PRESENT","SUMMER DAYS ABSENT","TOTAL SUMMER DAYS ","% SUMMER DAYS PRESENT"
52,PINELLAS,7073,"EYES-E-NINI-HASSEE CAMP",6169,7,6176,"0,99886658031",34,34,1032,0,1032,1
52,PINELLAS,7081,HOSPITAL/HOMEBOUND,33136,5387,38523,"0,86016146198",184,214,230,10,240,"0,95833333333"
52,PINELLAS,7131,"ACADEMIE DA VINCI CHARTER SCHOOL",41408,1808,43216,"0,95816364309",230,240,0,0,0,
52,PINELLAS,7151,"ATHENIAN ACADEMY",67759,3647,71406,"0,94892586057",376,397,0,0,0,
52,PINELLAS,7171,"PINELLAS PREPARATORY ACADEMY",75799,3235,79034,"0,9590682491",421,439,0,0,0,
52,PINELLAS,7181,"PLATO ACADEMY CLEARWATER",71699,3171,74870,"0,95764658741",398,416,0,0,0,
52,PINELLAS,7191,"ST. PETERSBURG COLLEGIATE HIGH SCHOOL",42689,292,42981,"0,99320630045",237,239,0,0,0,
52,PINELLAS,7201,"ALFRED ADLER ELEMENTARY SCHOOL",11758,791,12549,"0,93696708901",65,70,0,0,0,
52,PINELLAS,7271,"PINELLAS PRIMARY ACADEMY",56043,2246,58289,"0,96146785842",311,324,0,0,0,
52,PINELLAS,7281,"PLATO ACADEMY PALM HARBOR CHARTER SCHOOL",62180,2612,64792,"0,95968638103",345,360,0,0,0,
52,PINELLAS,7291,"PINELLAS ACADEMY OF MATH AND SCIENCE",99457,4014,103471,"0,96120652163",553,575,0,0,0,
52,PINELLAS,7301,"WINDSOR PREPARATORY ACADEMY",94909,5270,100179,"0,94739416444",527,557,0,0,0,
52,PINELLAS,7311,"UNIVERSITY PREPARATORY ACADEMY CHARTER SCHOOL",69842,6255,76097,"0,91780227867",388,423,0,0,0,
52,PINELLAS,7331,"DISCOVERY ACADEMY OF SCIENCE CHARTER SCHOOL",26573,1340,27913,"0,95199369469",148,155,0,0,0,
52,PINELLAS,7341,"FLORIDA VIRTUAL ACADEMY AT PINELLAS CHARTER SCHOOL",22510,2837,25347,"0,88807353927",125,141,0,0,0,
52,PINELLAS,7351,"EAST WINDSOR MIDDLE ACADEMY",31747,1899,33646,"0,9435594127",176,187,0,0,0,
52,PINELLAS,7361,"NEWPOINT PINELLAS ACADEMY",16009,1126,17135,"0,934286548",89,95,0,0,0,
52,PINELLAS,7371,"NEWPOINT CHARTER SCHOOL",13679,1633,15312,"0,89335161964",76,85,0,0,0,
52,PINELLAS,7381,"PLATO ACADEMY LARGO CHARTER SCHOOL",62458,2732,65190,"0,95809173186",347,362,0,0,0,
52,PINELLAS,7481,"PLATO SEMINOLE",62145,2648,64793,"0,95913138764",345,360,0,0,0,
52,PINELLAS,7491,"PINELLAS MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES (MYCROSCHOOL PINELLAS)",27684,16065,43749,"0,63279160666",154,243,0,0,0,
52,PINELLAS,7581,"PLATO ACADEMY CHARTER SCHOOL TARPON SPRINGS",59055,2624,61679,"0,95745715721",328,343,0,0,0,
52,PINELLAS,7681,"PLATO ACADEMY OF ST.PETERSBURG",48369,1963,50332,"0,96099896686",269,280,0,0,0,
52,PINELLAS,7731,"ENTERPRISE CHARTER HIGH SCHOOL",48321,20044,68365,"0,70680903971",268,380,0,0,0,
52,PINELLAS,7781,"PLATO ACADEMY PINELLAS PARK CHARTER SCHOOL",9142,351,9493,"0,96302538712",51,53,0,0,0,
52,PINELLAS,8012,"CHARLES BRITT ACADEMY",5146,2,5148,"0,99961149961",29,29,867,0,867,1
52,PINELLAS,8015,"EWES-ECKERD YOUTH CHALLENGE",10752,368,11120,"0,96690647482",60,62,1810,5,1815,"0,99724517906"
52,PINELLAS,8028,"PACE CENTER FOR GIRLS",7339,2084,9423,"0,77883901093",41,52,1308,251,1559,"0,83899935856"
