"Student Average Daily Attendance/Average Daily Membership Report by School
2015-16, Final Survey 5",,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,,,,,,,,
DISTRICT,"DISTRICT NAME","School #","School Name","DAYS PRESENT","DAYS ABSENT","TOTAL DAYS","% PRESENT","AVERAGE DAILY ATTENDANCE","AVERAGE DAILY MEMBERSHIP","SUMMER DAYS PRESENT","SUMMER DAYS ABSENT","TOTAL SUMMER DAYS ","% SUMMER DAYS PRESENT"
5,BREVARD,1171,"VIERA HIGH SCHOOL",338827,17347,356174,"0,95129627653",1882,1979,1723,0,1723,1
5,BREVARD,2011,"MELBOURNE SENIOR HIGH SCHOOL",380540,17458,397998,"0,95613545796",2114,2211,3405,388,3793,"0,89770630108"
5,BREVARD,2021,"PALM BAY MAGNET SENIOR HIGH SCHOOL",261246,14780,276026,"0,94645431952",1451,1533,3559,7,3566,"0,99803701626"
5,BREVARD,2022,"PALM BAY HIGH ADULT EDUCATION",*,*,*,*,*,*,30,0,30,1
5,BREVARD,2031,"MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL",174495,7806,182301,"0,95718070663",969,1013,397,78,475,"0,83578947368"
5,BREVARD,2041,"MEADOWLANE PRIMARY ELEMENTARY SCHOOL",127596,5934,133530,"0,95556054819",709,742,0,0,0,
5,BREVARD,2042,"W. MELBOURNE ELEMENTARY SCHOOL FOR SCIENCE",94573,3966,98539,"0,95975197637",525,547,0,0,0,
5,BREVARD,2051,"UNIVERSITY PARK ELEMENTARY SCHOOL",101886,7384,109270,"0,93242427015",566,607,734,0,734,1
5,BREVARD,2061,"PORT MALABAR ELEMENTARY SCHOOL",128434,7083,135517,"0,94773349469",714,753,458,62,520,"0,88076923076"
5,BREVARD,2071,"STONE MAGNET MIDDLE SCHOOL",139780,7827,147607,"0,94697405949",777,820,952,175,1127,"0,84472049689"
5,BREVARD,2081,"PALM BAY ELEMENTARY SCHOOL",136138,8746,144884,"0,93963446619",756,805,0,0,0,
5,BREVARD,2111,"LOCKMAR ELEMENTARY SCHOOL",123216,6476,129692,"0,95006631095",685,721,1518,100,1618,"0,93819530284"
5,BREVARD,2121,"JOHN F. TURNER, SENIOR ELEMENTARY  SCHOOL",116421,7239,123660,"0,94146045608",647,687,0,0,0,
5,BREVARD,2122,"SOUTHWEST MIDDLE SCHOOL",150230,8048,158278,"0,94915275654",835,879,427,16,443,"0,96388261851"
5,BREVARD,2131,"COLUMBIA ELEMENTARY SCHOOL",97694,6493,104187,"0,93767936498",543,579,112,40,152,"0,73684210526"
5,BREVARD,2151,"DISCOVERY ELEMENTARY SCHOOL",109551,5759,115310,"0,95005636978",609,641,121,31,152,"0,79605263157"
5,BREVARD,2161,"CHRISTA MCAULIFFE ELEMENTARY SCHOOL",129975,6471,136446,"0,95257464491",722,758,0,0,0,
5,BREVARD,2171,"RIVIERA ELEMENTARY SCHOOL",115066,7230,122296,"0,94088114083",639,679,0,0,0,
5,BREVARD,2191,"JUPITER ELEMENTARY SCHOOL",137763,9283,147046,"0,93687009507",765,817,0,0,0,
5,BREVARD,2211,"BAYSIDE HIGH SCHOOL",283710,16798,300508,"0,94410132176",1576,1669,3365,78,3443,"0,97734533836"
5,BREVARD,2212,"WESTSIDE ELEMENTARY SCHOOL",120430,6436,126866,"0,94926930777",669,705,0,0,0,
5,BREVARD,2221,"SUNRISE ELEMENTARY SCHOOL",141120,8980,150100,"0,94017321785",784,834,641,143,784,"0,81760204081"
5,BREVARD,2311,"HERITAGE HIGH SCHOOL",309377,18959,328336,"0,94225732176",1719,1824,5830,0,5830,1
5,BREVARD,3011,"EAU GALLIE HIGH SCHOOL",284674,15910,300584,"0,9470697043",1582,1670,5494,29,5523,"0,99474923049"
5,BREVARD,3021,"CENTRAL MIDDLE SCHOOL",192204,12285,204489,"0,93992341886",1068,1136,2125,420,2545,"0,83497053045"
5,BREVARD,3031,"LYNDON B. JOHNSON MIDDLE SCHOOL",132291,7348,139639,"0,94737859766",735,776,575,0,575,1
5,BREVARD,3041,"SHERWOOD ELEMENTARY SCHOOL",87659,4468,92127,"0,9515017313",487,512,99,72,171,"0,57894736842"
5,BREVARD,3061,"HARBOR CITY ELEMENTARY SCHOOL",73201,5004,78205,"0,93601432133",407,434,752,100,852,"0,88262910798"
5,BREVARD,3071,"SABAL ELEMENTARY SCHOOL",95529,5393,100922,"0,94656269197",531,561,0,0,0,
5,BREVARD,3091,"CROTON ELEMENTARY SCHOOL",113071,6125,119196,"0,94861404745",628,662,0,0,0,
5,BREVARD,3101,"ROY ALLEN ELEMENTARY SCHOOL",104164,4921,109085,"0,95488838978",579,606,0,0,0,
5,BREVARD,3121,"SUNTREE ELEMENTARY SCHOOL",113205,4982,118187,"0,95784646365",629,657,0,0,0,
5,BREVARD,3131,"LONGLEAF ELEMENTARY SCHOOL",110229,4925,115154,"0,95723118606",612,640,184,25,209,"0,88038277511"
5,BREVARD,3141,"WESTSHORE JUNIOR/SENIOR HIGH SCHOOL",166135,4738,170873,"0,9722718042",923,949,0,0,0,
5,BREVARD,3151,"QUEST ELEMENTARY SCHOOL",147438,6082,153520,"0,96038301198",819,853,0,0,0,
5,BREVARD,4011,"MERRITT ISLAND HIGH SCHOOL",261774,11896,273670,"0,95653158914",1454,1520,2330,7,2337,"0,99700470688"
5,BREVARD,4021,"EDGEWOOD JR/SR HIGH SCHOOL",164594,5323,169917,"0,96867294031",914,944,725,3,728,"0,99587912087"
5,BREVARD,4031,"MILA ELEMENTARY SCHOOL",84677,5092,89769,"0,94327663224",470,499,115,0,115,1
5,BREVARD,4041,"TROPICAL ELEMENTARY SCHOOL",130274,6323,136597,"0,95371055001",724,759,0,0,0,
5,BREVARD,4051,"AUDUBON ELEMENTARY SCHOOL",109444,6075,115519,"0,94741124836",608,642,915,125,1040,"0,8798076923"
5,BREVARD,4071,"ROBERT L. STEVENSON ELEMENTARY SCHOOL",84173,3003,87176,"0,96555244562",468,484,0,0,0,
5,BREVARD,4111,"THOMAS JEFFERSON MIDDLE SCHOOL",105668,5092,110760,"0,95402672444",587,615,977,26,1003,"0,97407776669"
5,BREVARD,4121,"LEWIS CARROLL ELEMENTARY SCHOOL",110869,4304,115173,"0,96263013032",616,640,0,0,0,
5,BREVARD,5011,"COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL",183980,10217,194197,"0,94738847664",1022,1079,785,284,1069,"0,7343311506"
5,BREVARD,5012,"THEODORE ROOSEVELT ELEMENTARY  SCHOOL",64536,3049,67585,"0,95488643929",359,375,163,27,190,"0,85789473684"
5,BREVARD,5021,"FREEDOM 7 ELEMENTARY SCHOOL OF INTERNATIONAL STUDIES",70818,2611,73429,"0,96444184177",393,408,0,0,0,
5,BREVARD,5031,"CAPE VIEW ELEMENTARY SCHOOL",72665,4135,76800,"0,94615885416",404,427,172,94,266,"0,64661654135"
5,BREVARD,6011,"SATELLITE SENIOR HIGH SCHOOL",227595,9500,237095,"0,95993167295",1264,1317,1687,0,1687,1
5,BREVARD,6012,"DELAURA MIDDLE SCHOOL",118489,4921,123410,"0,96012478729",658,686,414,91,505,"0,81980198019"
5,BREVARD,6013,"SPESSARD L. HOLLAND ELEMENTARY SCHOOL",74663,3300,77963,"0,95767222913",415,433,148,42,190,"0,77894736842"
5,BREVARD,6051,"SEA PARK ELEMENTARY SCHOOL",56963,2824,59787,"0,95276565139",316,332,148,23,171,"0,86549707602"
5,BREVARD,6061,"SURFSIDE ELEMENTARY SCHOOL",77141,3697,80838,"0,9542665578",429,449,0,0,0,
5,BREVARD,6071,"OCEAN BREEZE ELEMENTARY SCHOOL",91244,4973,96217,"0,94831474687",507,535,491,68,559,"0,87835420393"
5,BREVARD,6081,"INDIALANTIC ELEMENTARY SCHOOL",127743,7177,134920,"0,94680551437",710,750,0,0,0,
5,BREVARD,6082,"HERBERT C. HOOVER MIDDLE SCHOOL",86845,4228,91073,"0,953575703",482,506,290,19,309,"0,93851132686"
5,BREVARD,6101,"GEMINI ELEMENTARY SCHOOL",82628,4717,87345,"0,94599576392",459,485,152,0,152,1
5,BREVARD,6141,"DR. W.J. CREEL ELEMENTARY SCHOOL",160150,8793,168943,"0,94795285984",890,939,1770,236,2006,"0,88235294117"
5,BREVARD,6501,"PALM BAY ACADEMY CHARTER SCHOOL",105754,5010,110764,"0,95476869741",588,615,608,96,704,"0,86363636363"
5,BREVARD,6506,"CAMPUS CHARTER SCHOOL",22469,1347,23816,"0,94344138394",125,132,0,0,0,
5,BREVARD,6507,"ODYSSEY CHARTER SCHOOL",171564,10775,182339,"0,94090677255",953,1013,727,52,779,"0,93324775353"
5,BREVARD,6508,"SCULPTOR CHARTER SCHOOL",93861,4424,98285,"0,95498804497",521,546,0,0,0,
5,BREVARD,6509,"ROYAL PALM CHARTER SCHOOL",59363,2201,61564,"0,96424858683",330,342,0,0,0,
5,BREVARD,6511,"EDUCATIONAL HORIZONS CHARTER",17874,829,18703,"0,95567556007",99,104,0,0,0,
5,BREVARD,6515,"IMAGINE SCHOOLS AT WEST MELBOURNE",43191,2797,45988,"0,93917978603",240,255,0,0,0,
5,BREVARD,6523,"EMMA JEWEL CHARTER ACADEMY",52215,3643,55858,"0,93478105195",290,310,1171,232,1403,"0,83464005702"
5,BREVARD,6540,"VIERA CHARTER SCHOOL",164876,7366,172242,"0,95723458854",916,957,0,0,0,
5,BREVARD,6541,"ODYSSEY PREPARATORY CHARTER ACADEMY",44535,2179,46714,"0,95335445476",247,260,0,0,0,
5,BREVARD,6543,"PINEAPPLE COVE CLASSICAL ACADEMY",71836,3826,75662,"0,94943300467",399,420,0,0,0,
5,BREVARD,7004,"BREVARD VIRTUAL FRANCHISE",22002,583,22585,"0,9741864069",122,125,0,0,0,
5,BREVARD,9998,"HOME EDUCATION PROGRAM STUDENTS",11261,6,11267,"0,99946747137",63,63,0,0,0,
5,BREVARD,9999,"OUT OF STATE/NON-PUBLIC SCHOOL",31357,74,31431,"0,99764563647",174,175,0,0,0,
6,BROWARD,11,"DEERFIELD BEACH ELEMENTARY SCHOOL",120004,6196,126200,"0,95090332805",667,701,0,0,0,
6,BROWARD,21,"POMPANO BEACH MIDDLE SCHOOL",174779,5293,180072,"0,97060620196",971,1000,0,0,0,
6,BROWARD,31,"OAKLAND PARK ELEMENTARY SCHOOL",109452,7027,116479,"0,93967152877",608,647,0,0,0,
6,BROWARD,41,"NORTH SIDE ELEMENTARY SCHOOL",77113,3683,80796,"0,9544160602",428,449,0,0,0,
6,BROWARD,100,"HOSPITAL HOMEBOUND SERVICES",11154,0,11154,1,62,62,0,0,0,
6,BROWARD,101,"DANIA ELEMENTARY SCHOOL",86252,5933,92185,"0,93564028855",479,512,0,0,0,
6,BROWARD,111,"HOLLYWOOD HILLS ELEMENTARY SCHOOL",125614,5780,131394,"0,95601016789",698,730,0,0,0,
6,BROWARD,121,"HOLLYWOOD CENTRAL ELEMENTARY SCHOOL",78442,5049,83491,"0,93952641602",436,464,0,0,0,
6,BROWARD,131,"HALLANDALE ELEMENTARY SCHOOL",189208,10550,199758,"0,94718609517",1051,1110,18541,616,19157,"0,96784465208"
6,BROWARD,151,"RIVERLAND ELEMENTARY SCHOOL",107127,6541,113668,"0,94245522046",595,631,0,0,0,
6,BROWARD,161,"WEST HOLLYWOOD ELEMENTARY SCHOOL",103624,5910,109534,"0,94604415067",576,609,0,0,0,
6,BROWARD,171,"SOUTH BROWARD HIGH SCHOOL",346937,25442,372379,"0,93167713539",1927,2069,10,0,10,1
6,BROWARD,185,"POMPANO BEACH HIGH SCHOOL",211824,4601,216425,"0,97874090331",1177,1202,0,0,0,
6,BROWARD,191,"WILTON MANORS ELEMENTARY SCHOOL",104403,4861,109264,"0,95551142187",580,607,0,0,0,
6,BROWARD,201,"BENNETT ELEMENTARY SCHOOL",80159,5301,85460,"0,93797098057",445,475,0,0,0,
6,BROWARD,211,"STRANAHAN HIGH SCHOOL",235729,11679,247408,"0,95279457414",1310,1374,13,0,13,1
6,BROWARD,221,"CROISSANT PARK ELEMENTARY SCHOOL",136416,8806,145222,"0,93936180468",758,807,0,0,0,
6,BROWARD,231,"COLBERT ELEMENTARY SCHOOL",113146,6809,119955,"0,94323704722",629,666,0,0,0,
6,BROWARD,241,"MCARTHUR HIGH SCHOOL",372627,20163,392790,"0,94866722676",2070,2182,0,0,0,
6,BROWARD,251,"SUNRISE MIDDLE SCHOOL",215007,7994,223001,"0,96415262711",1194,1239,0,0,0,
6,BROWARD,271,"DILLARD ELEMENTARY SCHOOL",145095,9536,154631,"0,93833060641",806,859,0,0,0,
6,BROWARD,321,"WALKER ELEMENTARY SCHOOL (MAGNET)",109404,6818,116222,"0,9413364079",608,646,0,0,0,
6,BROWARD,331,"COLLINS ELEMENTARY SCHOOL",53574,3490,57064,"0,93884060002",298,317,0,0,0,
6,BROWARD,341,"BETHUNE MARY M ELEMENTARY SCHOOL",113077,6451,119528,"0,94602938223",628,664,0,0,0,
6,BROWARD,343,"ATTUCKS MIDDLE SCHOOL",111991,3892,115883,"0,96641440073",622,644,0,0,0,
6,BROWARD,361,"BLANCHE ELY HIGH SCHOOL",353035,16674,369709,"0,95489966433",1961,2054,925,0,925,1
6,BROWARD,371,"DILLARD  6-12",381819,19651,401470,"0,95105238249",2121,2230,0,0,0,
6,BROWARD,391,"DEERFIELD PARK ELEMENTARY SCHOOL",97484,4962,102446,"0,95156472678",542,569,16233,743,16976,"0,95623232799"
6,BROWARD,403,"HALLANDALE HIGH SCHOOL",231121,11057,242178,"0,9543434994",1284,1345,0,0,0,
6,BROWARD,405,"LANIER-JAMES EDUCATION CENTER",11906,4456,16362,"0,72766165505",66,91,13,0,13,1
6,BROWARD,452,"WHIDDON RODGERS EDUCATION CENTER",182944,55314,238258,"0,76783990464",1016,1324,60,0,60,1
6,BROWARD,461,"OAKRIDGE ELEMENTARY SCHOOL",78706,5620,84326,"0,93335388848",437,468,0,0,0,
6,BROWARD,471,"OLSEN MIDDLE SCHOOL",117973,5322,123295,"0,95683523257",655,685,0,0,0,
6,BROWARD,481,"MCNICOL MIDDLE SCHOOL",144820,2580,147400,"0,98249660786",805,819,0,0,0,
6,BROWARD,491,"HARBORDALE ELEMENTARY SCHOOL",77006,3767,80773,"0,95336312876",428,449,0,0,0,
6,BROWARD,501,"BROWARD ESTATES ELEMENTARY SCHOOL",70774,3668,74442,"0,95072674028",393,414,8463,734,9197,"0,92019136675"
6,BROWARD,511,"WATKINS ELEMENTARY SCHOOL",115273,5832,121105,"0,95184344164",640,673,0,0,0,
6,BROWARD,521,"NORTH ANDREWS GARDENS ELEMENTARY SCHOOL",157608,8216,165824,"0,95045349285",876,921,0,0,0,
6,BROWARD,531,"MIRAMAR ELEMENTARY SCHOOL",128817,6100,134917,"0,9547870172",716,750,9957,212,10169,"0,97915232569"
6,BROWARD,551,"PLANTATION MIDDLE SCHOOL",137681,4511,142192,"0,96827528974",765,790,0,0,0,
6,BROWARD,561,"NORCREST ELEMENTARY SCHOOL",141683,7673,149356,"0,94862610139",787,830,0,0,0,
6,BROWARD,571,"TEDDER ELEMENTARY SCHOOL",119433,6099,125532,"0,9514147787",664,697,0,0,0,
6,BROWARD,581,"MARGATE MIDDLE SCHOOL",217140,6634,223774,"0,97035401789",1206,1243,0,0,0,
6,BROWARD,592,"HALLANDALE ADULT/COMMUNITY CENTER",69618,72366,141984,"0,49032285327",387,789,29,0,29,1
6,BROWARD,601,"SEAGULL SCHOOL",35416,22337,57753,"0,61323221304",197,321,0,0,0,
6,BROWARD,611,"SUNLAND PARK ACADEMY",84671,7410,92081,"0,91952737263",470,512,0,0,0,
6,BROWARD,621,"LARKDALE ELEMENTARY SCHOOL",65520,5122,70642,"0,92749355907",364,392,0,0,0,
6,BROWARD,631,"WESTWOOD HEIGHTS ELEMENTARY SCHOOL",98715,6409,105124,"0,93903390281",548,584,0,0,0,
6,BROWARD,641,"BAYVIEW ELEMENTARY SCHOOL",110087,4725,114812,"0,95884576525",612,638,0,0,0,
6,BROWARD,653,"PINE RIDGE ALTERNATIVE CENTER",12897,1624,14521,"0,88816197231",72,81,0,0,0,
6,BROWARD,691,"STIRLING ELEMENTARY SCHOOL",104283,6122,110405,"0,94454961278",579,613,0,0,0,
6,BROWARD,701,"PARKWAY MIDDLE SCHOOL",246877,18947,265824,"0,92872351631",1372,1477,0,0,0,
6,BROWARD,711,"ORANGE BROOK ELEMENTARY SCHOOL",122599,6562,129161,"0,94919519049",681,718,0,0,0,
6,BROWARD,721,"DRIFTWOOD ELEMENTARY SCHOOL",93991,4452,98443,"0,95477586014",522,547,0,0,0,
6,BROWARD,731,"TROPICAL ELEMENTARY SCHOOL",156903,7380,164283,"0,95507751867",872,913,0,0,0,
6,BROWARD,751,"POMPANO BEACH ELEMENTARY SCHOOL",89708,5599,95307,"0,94125300345",498,529,0,0,0,
6,BROWARD,761,"MEADOWBROOK ELEMENTARY SCHOOL",122643,8435,131078,"0,93564900288",681,728,0,0,0,
6,BROWARD,811,"BROADVIEW ELEMENTARY SCHOOL",161384,9186,170570,"0,94614527759",897,948,0,0,0,
6,BROWARD,831,"LAKE FOREST ELEMENTARY SCHOOL",123467,6852,130319,"0,94742132766",686,724,0,0,0,
6,BROWARD,841,"MCNAB ELEMENTARY SCHOOL",103446,5402,108848,"0,95037115978",575,605,0,0,0,
6,BROWARD,851,"FLORANADA ELEMENTARY SCHOOL",126695,6085,132780,"0,9541723151",704,738,11576,830,12406,"0,9330968886"
6,BROWARD,861,"DRIFTWOOD MIDDLE SCHOOL",246350,11445,257795,"0,95560425919",1369,1432,0,0,0,
6,BROWARD,871,"BRIGHT HORIZONS",23448,3151,26599,"0,88153689988",130,148,2239,108,2347,"0,95398380911"
6,BROWARD,881,"NEW RIVER MIDDLE SCHOOL",247181,12112,259293,"0,95328836489",1373,1441,0,0,0,
6,BROWARD,891,"SANDERS PARK ELEMENTARY SCHOOL",83312,5863,89175,"0,93425287356",463,495,0,0,0,
6,BROWARD,901,"CRESTHAVEN ELEMENTARY SCHOOL",123155,6841,129996,"0,94737530385",684,722,0,0,0,
6,BROWARD,911,"DEERFIELD BEACH MIDDLE SCHOOL",196731,6532,203263,"0,96786429404",1093,1129,0,0,0,
6,BROWARD,921,"STEPHEN FOSTER ELEMENTARY SCHOOL",114018,7437,121455,"0,93876744473",633,675,0,0,0,
6,BROWARD,931,"PETERS ELEMENTARY SCHOOL",103373,6575,109948,"0,94019900316",574,611,0,0,0,
6,BROWARD,941,"PLANTATION ELEMENTARY SCHOOL",90376,5469,95845,"0,94293912045",502,532,0,0,0,
6,BROWARD,951,"FORT LAUDERDALE HIGH SCHOOL",361370,16874,378244,"0,95538858514",2008,2101,13,0,13,1
6,BROWARD,971,"BOULEVARD HEIGHTS ELEMENTARY",125590,7427,133017,"0,94416503153",698,739,0,0,0,
6,BROWARD,991,"WINGATE OAKS CENTER",8495,890,9385,"0,90516782099",47,52,0,0,0,
6,BROWARD,1011,"HENRY D. PERRY MIDDLE SCHOOL",61918,381,62299,"0,99388433201",344,346,0,0,0,
6,BROWARD,1021,"THE QUEST CENTER",21055,2292,23347,"0,90182892877",117,130,1958,112,2070,"0,9458937198"
6,BROWARD,1051,"SHERIDAN TECHNICAL COLLEGE",54099,2687,56786,"0,95268199908",301,315,726,0,726,1
6,BROWARD,1071,"WILLIAM DANDY MIDDLE SCHOOL",154895,3735,158630,"0,97645464287",861,881,0,0,0,
6,BROWARD,1091,"LLOYD ESTATES ELEMENTARY SCHOOL",104584,5345,109929,"0,95137770742",581,611,0,0,0,
6,BROWARD,1131,"PALMVIEW ELEMENTARY SCHOOL",107393,5569,112962,"0,95070023547",597,628,0,0,0,
6,BROWARD,1151,"CORAL SPRINGS HIGH SCHOOL",482151,25131,507282,"0,95045950772",2679,2818,32,0,32,1
6,BROWARD,1161,"MARGATE ELEMENTARY SCHOOL",174898,10246,185144,"0,94465929222",972,1029,0,0,0,
6,BROWARD,1171,"SUNSHINE ELEMENTARY SCHOOL",107715,5234,112949,"0,95366050164",598,627,0,0,0,
6,BROWARD,1191,"NORTH FORK ELEMENTARY SCHOOL",84622,5655,90277,"0,93735946032",470,502,0,0,0,
6,BROWARD,1211,"COOPER CITY ELEMENTARY SCHOOL",128646,5778,134424,"0,95701660417",715,747,0,0,0,
6,BROWARD,1221,"PEMBROKE PINES ELEMENTARY SCHOOL",96640,4230,100870,"0,95806483592",537,560,15485,957,16442,"0,94179540201"
6,BROWARD,1241,"NORTHEAST HIGH SCHOOL",310589,14416,325005,"0,95564375932",1725,1806,76,0,76,1
6,BROWARD,1251,"PLANTATION PARK ELEMENTARY",94345,4632,98977,"0,95320124877",524,550,8807,596,9403,"0,93661597362"
6,BROWARD,1271,"NOVA DWIGHT D. EISENHOWER ELEM",132181,5177,137358,"0,96231016759",734,763,0,0,0,
6,BROWARD,1281,"NOVA HIGH SCHOOL",372973,15283,388256,"0,96063679634",2072,2157,0,0,0,
6,BROWARD,1282,"NOVA BLANCHE FORMAN ELEMENTARY",132040,5167,137207,"0,96234157149",734,762,0,0,0,
6,BROWARD,1291,"WILLIAM T. MCFATTER TECHNICAL COLLEGE",102794,4760,107554,"0,95574316157",571,598,2184,0,2184,1
6,BROWARD,1311,"NOVA MIDDLE SCHOOL",221061,7330,228391,"0,96790591573",1228,1269,0,0,0,
6,BROWARD,1321,"SHERIDAN PARK ELEMENTARY SCHOOL",117124,6037,123161,"0,95098285983",651,684,0,0,0,
6,BROWARD,1381,"LAUDERHILL PAUL TURNER ELEMENTARY SCHOOL",125775,7309,133084,"0,94507979922",699,739,0,0,0,
6,BROWARD,1391,"LAUDERHILL 6-12",127153,4519,131672,"0,96567987119",706,732,0,0,0,
6,BROWARD,1421,"COCONUT CREEK ELEMENTARY SCHOOL",120439,5303,125742,"0,95782634282",669,699,0,0,0,
6,BROWARD,1451,"PLANTATION HIGH SCHOOL",387827,18336,406163,"0,95485556291",2155,2256,14,0,14,1
6,BROWARD,1461,"CASTLE HILL ELEMENTARY SCHOOL",99787,6238,106025,"0,94116481961",554,589,11228,574,11802,"0,95136417556"
6,BROWARD,1611,"DR. MARTIN LUTHER KING MONTESSORI ACADEMY",73146,5441,78587,"0,93076463028",406,437,0,0,0,
6,BROWARD,1621,"VILLAGE ELEMENTARY SCHOOL",140462,7102,147564,"0,95187173023",780,820,0,0,0,
6,BROWARD,1631,"ANNABEL C. PERRY PK-8",145994,6856,152850,"0,95514556754",811,849,0,0,0,
6,BROWARD,1641,"FAIRWAY ELEMENTARY SCHOOL",123998,8593,132591,"0,93519167967",689,737,8153,849,9002,"0,90568762497"
6,BROWARD,1661,"HOLLYWOOD HILLS HIGH SCHOOL",324737,15849,340586,"0,9534654977",1804,1892,0,0,0,
6,BROWARD,1671,"ROBERT C. MARKHAM ELEMENTARY",100146,6222,106368,"0,94150496389",556,591,0,0,0,
6,BROWARD,1681,"COCONUT CREEK HIGH SCHOOL",230348,13416,243764,"0,94496316109",1280,1354,53,0,53,1
6,BROWARD,1701,"LAUDERDALE LAKES MIDDLE SCHOOL",155646,6621,162267,"0,95919687921",865,901,0,0,0,
6,BROWARD,1711,"DEERFIELD BEACH HIGH SCHOOL",412762,19485,432247,"0,95492160732",2293,2401,*,*,*,*
6,BROWARD,1741,"BOYD H. ANDERSON HIGH SCHOOL",295375,16203,311578,"0,94799697026",1641,1731,23,0,23,1
6,BROWARD,1751,"MIRAMAR HIGH SCHOOL",436558,22923,459481,"0,95011110361",2425,2553,123,0,123,1
6,BROWARD,1752,"WHISPERING PINES SCHOOL",31892,4253,36145,"0,88233503942",177,201,2248,140,2388,"0,94137353433"
6,BROWARD,1761,"HOLLYWOOD PARK ELEMENTARY SCHOOL",87564,6287,93851,"0,93301083632",486,521,0,0,0,
6,BROWARD,1762,"POSTSECONDARY ALTERNATIVES FOR SECONDARY STUDENTS-PASS",*,*,*,*,*,*,0,0,0,
6,BROWARD,1781,"CYPRESS ELEMENTARY SCHOOL",140568,8622,149190,"0,94220792278",781,829,11286,336,11622,"0,97108931337"
6,BROWARD,1791,"APOLLO MIDDLE SCHOOL",216609,7185,223794,"0,96789458162",1203,1243,0,0,0,
6,BROWARD,1811,"SHERIDAN HILLS ELEMENTARY SCHOOL",92884,5576,98460,"0,94336786512",516,547,0,0,0,
6,BROWARD,1831,"ORIOLE ELEMENTARY SCHOOL",105598,6667,112265,"0,94061372645",587,624,0,0,0,
6,BROWARD,1841,"MIRROR LAKE ELEMENTARY SCHOOL",105963,6462,112425,"0,94252168112",589,625,0,0,0,
6,BROWARD,1851,"ROYAL PALM ELEMENTARY SCHOOL",146633,8956,155589,"0,94243809009",815,864,0,0,0,
6,BROWARD,1871,"CRYSTAL LAKE COMMUNITY MIDDLE",229799,9149,238948,"0,96171133468",1277,1327,0,0,0,
6,BROWARD,1881,"PINES MIDDLE SCHOOL",192536,7310,199846,"0,96342183481",1070,1110,5695,393,6088,"0,93544678055"
6,BROWARD,1891,"SEMINOLE MIDDLE SCHOOL",202824,8282,211106,"0,96076852386",1127,1173,0,0,0,
6,BROWARD,1901,"PIPER HIGH SCHOOL",410947,20019,430966,"0,95354853979",2283,2394,7437,235,7672,"0,96936913451"
6,BROWARD,1931,"COOPER CITY HIGH SCHOOL",387393,20644,408037,"0,94940654891",2152,2267,0,0,0,
6,BROWARD,1951,"PARK RIDGE ELEMENTARY SCHOOL",87850,5030,92880,"0,94584409991",488,516,0,0,0,
6,BROWARD,1971,"JAMES S. HUNT ELEMENTARY SCHOOL",121828,5614,127442,"0,95594858837",677,708,0,0,0,
6,BROWARD,2001,"BANYAN ELEMENTARY SCHOOL",118451,5906,124357,"0,9525076996",658,691,0,0,0,
6,BROWARD,2011,"CORAL COVE ELEMENTARY SCHOOL",163536,6969,170505,"0,95912729831",909,947,0,0,0,
6,BROWARD,2021,"GLADES MIDDLE SCHOOL",228182,5318,233500,"0,9772248394",1268,1297,0,0,0,
6,BROWARD,2041,"BEACHSIDE MONTESSORI VILLAGE",132589,5276,137865,"0,96173067856",737,766,0,0,0,
6,BROWARD,2052,"WESTPINE MIDDLE SCHOOL",167596,5393,172989,"0,96882460734",931,961,0,0,0,
6,BROWARD,2071,"PASADENA LAKES ELEMENTARY SCHOOL",93465,5190,98655,"0,94739242815",519,548,0,0,0,
6,BROWARD,2121,"JAMES S. RICKARDS MIDDLE SCHOOL",159891,8217,168108,"0,95112070811",888,934,0,0,0,
6,BROWARD,2123,"CYPRESS RUN ALTERNATIVE/ESE",14850,6541,21391,"0,69421719414",83,119,13,0,13,1
6,BROWARD,2221,"ATLANTIC TECHNICAL COLLEGE",112548,3985,116533,"0,96580367792",625,647,2982,0,2982,1
6,BROWARD,2231,"NORTH LAUDERDALE PK-8",118401,7045,125446,"0,94384037753",658,697,8395,555,8950,"0,93798882681"
6,BROWARD,2351,"SOUTH PLANTATION HIGH SCHOOL",395477,21212,416689,"0,94909392856",2197,2315,0,0,0,
6,BROWARD,2511,"ATLANTIC WEST ELEMENTARY SCHOOL",117110,6523,123633,"0,94723900576",651,687,0,0,0,
6,BROWARD,2531,"HORIZON ELEMENTARY SCHOOL",94855,5201,100056,"0,94801910929",527,556,0,0,0,
6,BROWARD,2541,"FLAMINGO ELEMENTARY SCHOOL",115167,5837,121004,"0,95176192522",640,672,0,0,0,
6,BROWARD,2551,"CORAL SPRINGS PK-8",114987,7243,122230,"0,94074286181",639,679,0,0,0,
6,BROWARD,2561,"CORAL SPRINGS MIDDLE SCHOOL",202121,8354,210475,"0,96030882527",1123,1169,0,0,0,
6,BROWARD,2571,"PIONEER MIDDLE SCHOOL",227890,9224,237114,"0,9610988807",1266,1317,0,0,0,
