"Students Absent 21 or More Days by School
2014-15, Final Survey 5 - Revised as of 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
8,CHARLOTTE,42,"CHARLOTTE HARBOR SCHOOL",204,45,"0,22058823529"
8,CHARLOTTE,51,"LEMON BAY HIGH SCHOOL",1345,125,"0,09293680297"
8,CHARLOTTE,62,"BAKER/HEAD START",227,49,"0,21585903083"
8,CHARLOTTE,81,"EAST ELEMENTARY SCHOOL",830,34,"0,04096385542"
8,CHARLOTTE,111,"NEIL ARMSTRONG ELEMENTARY SCHOOL",910,52,"0,05714285714"
8,CHARLOTTE,121,"PUNTA GORDA MIDDLE SCHOOL",1254,50,"0,03987240829"
8,CHARLOTTE,131,"PORT CHARLOTTE MIDDLE SCHOOL",885,71,"0,0802259887"
8,CHARLOTTE,141,"MEADOW PARK ELEMENTARY SCHOOL",828,40,"0,04830917874"
8,CHARLOTTE,151,"PORT CHARLOTTE HIGH SCHOOL",1805,137,"0,075900277"
8,CHARLOTTE,161,"CHARLOTTE TECHNICAL CENTER",632,258,"0,4082278481"
8,CHARLOTTE,181,"L. A. AINGER MIDDLE SCHOOL",839,42,"0,05005959475"
8,CHARLOTTE,191,"VINELAND ELEMENTARY SCHOOL",702,25,"0,03561253561"
8,CHARLOTTE,201,"LIBERTY ELEMENTARY SCHOOL",711,31,"0,04360056258"
8,CHARLOTTE,211,"MURDOCK MIDDLE SCHOOL",917,62,"0,06761177753"
8,CHARLOTTE,231,"MYAKKA RIVER ELEMENTARY SCHOOL",557,19,"0,03411131059"
8,CHARLOTTE,251,"DEEP CREEK ELEMENTARY SCHOOL",783,15,"0,01915708812"
8,CHARLOTTE,282,"AMI KIDS CROSSROADS",48,0,0
8,CHARLOTTE,301,"KINGSWAY ELEMENTARY SCHOOL",703,30,"0,0426742532"
8,CHARLOTTE,502,"FLORIDA SOUTHWESTERN COLLEGIATE HIGH SCHOOL",363,16,"0,04407713498"
8,CHARLOTTE,7004,"CHARLOTTE VIRTUAL FRANCHISE",112,4,"0,03571428571"
9,CITRUS,21,"PLEASANT GROVE ELEMENTARY SCHOOL",828,56,"0,06763285024"
9,CITRUS,25,"FOREST RIDGE ELEMENTARY SCHOOL",823,45,"0,05467800729"
9,CITRUS,31,"CITRUS HIGH SCHOOL",1634,329,"0,20134638922"
9,CITRUS,32,"INVERNESS PRIMARY SCHOOL",747,54,"0,07228915662"
9,CITRUS,35,"CENTRAL RIDGE ELEMENTARY SCHOOL",858,40,"0,04662004662"
9,CITRUS,42,"INVERNESS MIDDLE SCHOOL",1100,112,"0,10181818181"
9,CITRUS,61,"FLORAL CITY ELEMENTARY SCHOOL",389,38,"0,09768637532"
9,CITRUS,71,"HOMOSASSA ELEMENTARY SCHOOL",380,37,"0,09736842105"
9,CITRUS,83,"CRYSTAL RIVER MIDDLE SCHOOL",864,121,"0,14004629629"
9,CITRUS,102,"CRYSTAL RIVER PRIMARY SCHOOL",695,49,"0,07050359712"
9,CITRUS,121,"CRYSTAL RIVER HIGH SCHOOL",1558,296,"0,18998716302"
9,CITRUS,161,"LECANTO PRIMARY SCHOOL",888,63,"0,07094594594"
9,CITRUS,162,"LECANTO MIDDLE SCHOOL",773,79,"0,1021992238"
9,CITRUS,163,"LECANTO HIGH SCHOOL",1701,247,"0,14520870076"
9,CITRUS,171,"HERNANDO ELEMENTARY SCHOOL",790,56,"0,07088607594"
9,CITRUS,181,"CITRUS SPRINGS ELEMENTARY SCHOOL",842,40,"0,04750593824"
9,CITRUS,191,"ROCK CRUSHER ELEMENTARY SCHOOL",692,34,"0,04913294797"
9,CITRUS,201,"CREST SCHOOL",167,57,"0,34131736526"
9,CITRUS,211,"CITRUS SPRINGS MIDDLE SCHOOL",894,87,"0,09731543624"
9,CITRUS,215,"ACADEMY OF ENVIRON. SCIENCES",137,6,"0,04379562043"
9,CITRUS,321,"CITRUS COUNTY RENAISSANCE CENTER",239,95,"0,39748953974"
9,CITRUS,8001,"CYPRESS CREEK ACADEMY",131,0,0
10,CLAY,20,"FLORIDA YOUTH CHALLENGE ACADEMY",152,0,0
10,CLAY,21,"GREEN COVE SPRINGS JUNIOR HIGH SCHOOL",836,92,"0,11004784688"
10,CLAY,71,"CHARLES E. BENNETT ELEMENTARY SCHOOL",956,78,"0,08158995815"
10,CLAY,111,"R. C. BANNERMAN LEARNING CENTER",394,117,"0,29695431472"
10,CLAY,112,"PACE CENTER FOR GIRLS CLAY",11,0,0
10,CLAY,201,"ORANGE PARK ELEMENTARY SCHOOL",512,10,"0,01953125"
10,CLAY,232,"GROVE PARK ELEMENTARY SCHOOL",568,29,"0,05105633802"
10,CLAY,241,"W E CHERRY ELEMENTARY SCHOOL",742,61,"0,08221024258"
10,CLAY,252,"ORANGE PARK HIGH SCHOOL",1732,287,"0,16570438799"
10,CLAY,261,"DOCTORS INLET ELEMENTARY SCHOOL",836,37,"0,0442583732"
10,CLAY,271,"MIDDLEBURG ELEMENTARY SCHOOL",654,46,"0,07033639143"
10,CLAY,301,"KEYSTONE HEIGHTS ELEMENTARY",887,71,"0,08004509582"
10,CLAY,311,"KEYSTONE HEIGHTS JUNIOR/SENIOR HIGH",1305,177,"0,1356321839"
10,CLAY,331,"S BRYAN JENNINGS ELEMENTARY SCHOOL",594,38,"0,06397306397"
10,CLAY,341,"CLAY HIGH SCHOOL",1480,334,"0,22567567567"
10,CLAY,351,"LAKESIDE JUNIOR HIGH SCHOOL",926,50,"0,05399568034"
10,CLAY,352,"LAKESIDE ELEMENTARY SCHOOL",908,31,"0,03414096916"
10,CLAY,361,"ORANGE PARK JUNIOR HIGH SCHOOL",721,78,"0,10818307905"
10,CLAY,371,"WILKINSON JUNIOR HIGH SCHOOL",815,104,"0,12760736196"
