"Students Absent 21 or More Days by School
2014-15, Final Survey 5 - Revised as of 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
12,COLUMBIA,11,"COLUMBIA HIGH SCHOOL",2052,314,"0,15302144249"
12,COLUMBIA,31,"RICHARDSON MIDDLE SCHOOL",624,82,"0,13141025641"
12,COLUMBIA,71,"MELROSE PARK ELEMENTARY SCHOOL",562,43,"0,07651245551"
12,COLUMBIA,81,"EASTSIDE ELEMENTARY SCHOOL",656,47,"0,07164634146"
12,COLUMBIA,91,"FIVE POINTS ELEMENTARY SCHOOL",499,75,"0,1503006012"
12,COLUMBIA,121,"FORT WHITE ELEMENTARY SCHOOL",783,79,"0,10089399744"
12,COLUMBIA,123,"FORT WHITE HIGH SCHOOL",1237,185,"0,1495553759"
12,COLUMBIA,141,"SUMMERS ELEMENTARY SCHOOL",778,59,"0,07583547557"
12,COLUMBIA,161,"NIBLACK ELEMENTARY SCHOOL",330,44,"0,13333333333"
12,COLUMBIA,221,"CHALLENGE LEARNING CENTER",193,82,"0,42487046632"
12,COLUMBIA,241,"LAKE CITY MIDDLE SCHOOL",1162,110,"0,09466437177"
12,COLUMBIA,261,"COLUMBIA CITY ELEMENTARY SCHOOL",676,49,"0,0724852071"
12,COLUMBIA,271,"WESTSIDE ELEMENTARY SCHOOL",856,32,"0,03738317757"
12,COLUMBIA,291,"PINEMOUNT ELEMENTARY SCHOOL",574,33,"0,05749128919"
12,COLUMBIA,400,"SHINING STAR ACADEMY OF THE ARTS",167,3,"0,01796407185"
12,COLUMBIA,402,"BELMONT ACADEMY",385,11,"0,02857142857"
12,COLUMBIA,7001,"COLUMBIA VIRTUAL INSTRUCTION PROGRAM",*,*,*
12,COLUMBIA,7004,"COLUMBIA VIRTUAL FRANCHISE",*,*,*
12,COLUMBIA,7023,"COLUMBIA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)",*,*,*
12,COLUMBIA,8001,"PREK ESE",22,0,0
12,COLUMBIA,8002,"RESIDENTIAL SERVICES",38,0,0
13,DADE,41,"AIR BASE K-8 CENTER FOR INTERNATIONAL EDUCATION",958,23,"0,02400835073"
13,DADE,70,"CORAL REEF MONTESSORI ACADEMY CHARTER",442,24,"0,05429864253"
13,DADE,71,"EUGENIA B. THOMAS K-8 CENTER",1834,74,"0,04034896401"
13,DADE,72,"SUMMERVILLE ADVANTAGE ACADEMY",481,19,"0,0395010395"
13,DADE,73,"MANDARIN LAKES K-8 ACADEMY",1429,211,"0,14765570328"
13,DADE,81,"LENORA BRAYNON SMITH ELEMENTARY",518,54,"0,10424710424"
13,DADE,91,"BOB GRAHAM EDUCATION CENTER",1841,62,"0,03367734926"
13,DADE,92,"NORMAN S. EDELCUP/SUNNY ISLES BEACH K-8",2209,176,"0,07967406066"
13,DADE,100,"MATER ACADEMY",1095,21,"0,01917808219"
13,DADE,101,"ARCOLA LAKE ELEMENTARY SCHOOL",654,90,"0,13761467889"
13,DADE,102,"MIAMI COMMUNITY CHARTER SCHOOL",536,40,"0,07462686567"
13,DADE,111,"MAYA ANGELOU ELEMENTARY SCHOOL",870,117,"0,13448275862"
13,DADE,121,"AUBURNDALE ELEMENTARY SCHOOL",983,138,"0,14038657171"
13,DADE,122,"DR. ROLANDO ESPINOSA K-8 CENTER",1918,99,"0,05161626694"
13,DADE,125,"NORMA BUTLER BOSSARD ELEMENTARY SCHOOL",1305,66,"0,05057471264"
13,DADE,161,"AVOCADO ELEMENTARY SCHOOL",542,70,"0,12915129151"
13,DADE,201,"BANYAN ELEMENTARY SCHOOL",430,40,"0,09302325581"
13,DADE,211,"DR. MANUEL C. BARREIRO ELEMENTARY SCHOOL",845,40,"0,0473372781"
13,DADE,231,"AVENTURA WATERWAYS K-8 CENTER",2211,149,"0,06739032112"
13,DADE,241,"RUTH K. BROAD BAY HARBOR K-8 CENTER",1422,61,"0,0428973277"
13,DADE,251,"ETHEL KOGER BECKHAM ELEMENTARY",865,14,"0,01618497109"
13,DADE,261,"BEL-AIRE ELEMENTARY SCHOOL",500,69,"0,138"
13,DADE,271,"BENT TREE ELEMENTARY SCHOOL",594,27,"0,04545454545"
13,DADE,311,"GOULDS ELEMENTARY SCHOOL",763,87,"0,11402359108"
13,DADE,312,"MATER GARDENS ACADEMY",586,8,"0,01365187713"
13,DADE,321,"BISCAYNE ELEMENTARY SCHOOL",788,80,"0,10152284263"
13,DADE,331,"CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER N",62,37,"0,59677419354"
13,DADE,332,"SOMERSET ACADEMY (SILVER PALMS)",644,19,"0,02950310559"
13,DADE,339,"SOMERSET ACADEMY CHARTER ELEMENTARY SCHOOL (SOUTH HOMESTEAD)",512,33,"0,064453125"
13,DADE,341,"ARCHCREEK ELEMENTARY SCHOOL",610,27,"0,04426229508"
13,DADE,342,"PINECREST ACADEMY (SOUTH CAMPUS)",738,19,"0,02574525745"
13,DADE,351,"CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER SOUTH",132,57,"0,43181818181"
13,DADE,361,"BISCAYNE GARDENS ELEMENTARY",755,84,"0,11125827814"
13,DADE,400,"RENAISSANCE ELEMENTARY CHARTER SCHOOL",941,23,"0,02444208289"
13,DADE,401,"VAN E. BLANTON ELEMENTARY SCHOOL",646,35,"0,05417956656"
13,DADE,410,"ACADEMIR CHARTER SCHOOL WEST",626,9,"0,0143769968"
13,DADE,441,"BLUE LAKES ELEMENTARY SCHOOL",544,69,"0,12683823529"
13,DADE,451,"BOWMAN ASHE/DOOLIN K-8 ACADEMY",1337,86,"0,06432311144"
13,DADE,461,"BRENTWOOD ELEMENTARY SCHOOL",834,45,"0,05395683453"
13,DADE,481,"JAMES H. BRIGHT ELEMENTARY/J.W. JOHNSON ELEMENTARY",833,86,"0,10324129651"
13,DADE,510,"ARCHIMEDEAN ACADEMY",603,20,"0,03316749585"
13,DADE,520,"SOMERSET ACADEMY CHARTER",607,29,"0,04777594728"
13,DADE,521,"BROADMOOR ELEMENTARY SCHOOL",517,66,"0,12765957446"
13,DADE,561,"W. J. BRYAN ELEMENTARY",853,57,"0,06682297772"
13,DADE,600,"PINECREST PREPARATORY ACADEMY",671,7,"0,01043219076"
13,DADE,641,"BUNCHE PARK ELEMENTARY SCHOOL",424,56,"0,13207547169"
13,DADE,651,"CAMPBELL DRIVE K-8 CENTER",1085,188,"0,1732718894"
13,DADE,661,"CARIBBEAN ELEMENTARY SCHOOL",679,72,"0,1060382916"
13,DADE,671,"CALUSA ELEMENTARY SCHOOL",898,33,"0,03674832962"
13,DADE,681,"CAROL CITY ELEMENTARY SCHOOL",627,52,"0,08293460925"
13,DADE,721,"GEORGE W. CARVER ELEMENTARY SCHOOL",496,42,"0,08467741935"
13,DADE,761,"FIENBERG/FISHER K-8 CENTER",968,90,"0,09297520661"
13,DADE,771,"DR. WILLIAM A. CHAPMAN ELEMENTARY SCHOOL",743,125,"0,16823687752"
13,DADE,801,"CITRUS GROVE ELEMENTARY SCHOOL",926,128,"0,13822894168"
13,DADE,831,"CLAUDE PEPPER ELEMENTARY SCHOOL",786,40,"0,05089058524"
13,DADE,841,"COCONUT GROVE ELEMENTARY SCHOOL",499,18,"0,03607214428"
13,DADE,861,"COLONIAL DRIVE ELEMENTARY SCHOOL",352,28,"0,07954545454"
13,DADE,881,"COMSTOCK ELEMENTARY SCHOOL",635,82,"0,12913385826"
13,DADE,921,"NEVA KING COOPER EDUCATIONAL CENTER",114,49,"0,4298245614"
13,DADE,950,"AVENTURA CITY OF EXCELLENCE SCHOOL",1036,41,"0,03957528957"
13,DADE,961,"CORAL GABLES PREPARATORY ACADEMY",742,12,"0,01617250673"
13,DADE,1001,"CORAL PARK ELEMENTARY SCHOOL",1249,65,"0,0520416333"
13,DADE,1010,"THE CHARTER SCHOOL AT WATERSTONE",1015,44,"0,04334975369"
13,DADE,1014,"HIGHLY INQUISITIVE AND VERSATILE EDUCATION (HIVE) PREPARATORY SCHOOL",564,20,"0,0354609929"
13,DADE,1017,"MATER ACADEMY OF INTERNATIONAL STUDIES",571,32,"0,05604203152"
13,DADE,1020,"YOUTH CO-OP CHARTER SCHOOL",886,38,"0,04288939051"
13,DADE,1041,"CORAL REEF ELEMENTARY SCHOOL",914,13,"0,01422319474"
13,DADE,1070,"SOUTH FLORIDA AUTISM CHARTER SCHOOL INC",186,19,"0,10215053763"
13,DADE,1081,"CORAL TERRACE ELEMENTARY SCHOOL",515,39,"0,07572815533"
13,DADE,1121,"CORAL WAY K-8 CENTER",1580,61,"0,03860759493"
13,DADE,1161,"CRESTVIEW ELEMENTARY SCHOOL",487,27,"0,05544147843"
13,DADE,1241,"CUTLER RIDGE ELEMENTARY SCHOOL",763,40,"0,05242463958"
13,DADE,1281,"CYPRESS ELEMENTARY SCHOOL",300,10,"0,03333333333"
13,DADE,1331,"DEVON AIRE K-8 CENTER",1655,62,"0,03746223564"
13,DADE,1361,"FREDERICK R. DOUGLASS ELEMENTARY",422,76,"0,18009478672"
13,DADE,1371,"MARJORY STONEMAN DOUGLAS ELEM",1070,76,"0,07102803738"
13,DADE,1401,"CHARLES R DREW K-8 CENTER",505,37,"0,07326732673"
13,DADE,1441,"PAUL LAURENCE DUNBAR K-8 CENTER",465,36,"0,07741935483"
13,DADE,1481,"JOHN G. DUPUIS ELEMENTARY SCHOOL",727,65,"0,08940852819"
13,DADE,1521,"AMELIA EARHART ELEMENTARY SCHOOL",542,62,"0,11439114391"
13,DADE,1561,"EARLINGTON HEIGHTS ELEMENTARY SCHOOL",603,92,"0,15257048092"
13,DADE,1601,"EDISON PARK K-8 CENTER",566,93,"0,16431095406"
13,DADE,1641,"EMERSON ELEMENTARY SCHOOL",421,21,"0,04988123515"
13,DADE,1681,"LILLIE C. EVANS K-8 CENTER",545,38,"0,06972477064"
13,DADE,1691,"CHRISTINA M. EVE ELEMENTARY SCHOOL",817,21,"0,02570379436"
13,DADE,1721,"EVERGLADES K-8 CENTER",1189,72,"0,0605550883"
13,DADE,1761,"DAVID FAIRCHILD ELEMENTARY SCHOOL",682,34,"0,04985337243"
13,DADE,1801,"FAIRLAWN ELEMENTARY SCHOOL",744,26,"0,03494623655"
13,DADE,1811,"DANTE B. FASCELL ELEMENTARY SCHOOL",574,26,"0,04529616724"
13,DADE,1841,"FLAGAMI ELEMENTARY SCHOOL",506,14,"0,02766798418"
13,DADE,1881,"HENRY M. FLAGLER ELEMENTARY SCHOOL",892,70,"0,07847533632"
13,DADE,1921,"FLAMINGO ELEMENTARY SCHOOL",737,34,"0,0461329715"
13,DADE,2001,"FLORIDA CITY ELEMENTARY SCHOOL",958,120,"0,12526096033"
13,DADE,2003,"BRIDGEPREP ACADEMY SOUTH",467,32,"0,06852248394"
13,DADE,2004,"ISAAC: INTEGRATED SCIENCE AND ASIAN CULTURE ACADEMY",15,0,0
13,DADE,2006,"RICHARD ALLEN LEADERSHIP ACADEMY",69,12,"0,17391304347"
13,DADE,2007,"SOMERSET ACADEMY ELEMENTARY SCHOOL SOUTH MIAMI CAMPUS",459,2,"0,00435729847"
13,DADE,2012,"SOMERSET ARTS ACADEMY",396,22,"0,05555555555"
13,DADE,2013,"BRIDGEPREP ACADEMY OF GREATER MIAMI",424,44,"0,1037735849"
13,DADE,2021,"GLORIA FLOYD ELEMENTARY SCHOOL",698,43,"0,06160458452"
13,DADE,2041,"BENJAMIN FRANKLIN K-8 CENTER",647,39,"0,0602782071"
13,DADE,2060,"THEODORE R. AND THELMA A. GIBSON CHARTER SCHOOL",321,75,"0,23364485981"
13,DADE,2081,"FULFORD ELEMENTARY SCHOOL",597,25,"0,0418760469"
13,DADE,2111,"HIALEAH GARDENS ELEMENTARY SCHOOL",1004,46,"0,04581673306"
13,DADE,2151,"JACK DAVID GORDON ELEMENTARY SCHOOL",1181,58,"0,04911092294"
13,DADE,2161,"GOLDEN GLADES ELEMENTARY SCHOOL",281,37,"0,13167259786"
13,DADE,2181,"JOELLA GOOD ELEMENTARY SCHOOL",1035,44,"0,04251207729"
13,DADE,2191,"SPANISH LAKE ELEMENTARY SCHOOL",1814,113,"0,06229327453"
13,DADE,2241,"GRATIGNY ELEMENTARY SCHOOL",769,44,"0,05721716514"
13,DADE,2261,"GREENGLADE ELEMENTARY SCHOOL",564,39,"0,06914893617"
13,DADE,2281,"GREYNOLDS PARK ELEMENTARY SCHOOL",852,53,"0,06220657276"
13,DADE,2321,"GULFSTREAM ELEMENTARY SCHOOL",799,89,"0,11138923654"
13,DADE,2331,"CHARLES R HADLEY ELEMENTARY SCHOOL",1107,38,"0,03432700993"
13,DADE,2341,"JOE HALL ELEMENTARY SCHOOL",631,37,"0,05863708399"
13,DADE,2351,"ENEIDA M. HARTNER ELEMENTARY SCHOOL",630,68,"0,10793650793"
13,DADE,2361,"HIALEAH ELEMENTARY SCHOOL",758,60,"0,07915567282"
13,DADE,2371,"WEST HIALEAH GARDENS ELEMENTARY SCHOOL",1336,81,"0,06062874251"
13,DADE,2401,"HIBISCUS ELEMENTARY SCHOOL",593,60,"0,10118043844"
13,DADE,2441,"VIRGINIA A BOONE-HIGHLAND OAKS SCHOOL",771,22,"0,02853437094"
13,DADE,2501,"HOLMES ELEMENTARY SCHOOL",677,54,"0,07976366322"
13,DADE,2511,"ZORA NEALE HURSTON ELEMENTARY SCHOOL",852,61,"0,07159624413"
13,DADE,2521,"OLIVER HOOVER ELEMENTARY SCHOOL",840,46,"0,05476190476"
13,DADE,2531,"THENA CROWDER EARLY CHILDHOOD DIAGNOSTIC SPECIAL EDUCATION CENTER",92,36,"0,39130434782"
13,DADE,2541,"HOWARD DRIVE ELEMENTARY SCHOOL",671,26,"0,0387481371"
13,DADE,2581,"MADIE IVES COMMUNITY ELEMENTARY SCHOOL",763,28,"0,0366972477"
13,DADE,2641,"KENDALE ELEMENTARY SCHOOL",585,20,"0,03418803418"
13,DADE,2651,"KENDALE LAKES ELEMENTARY SCHOOL",856,61,"0,07126168224"
13,DADE,2661,"KENSINGTON PARK ELEMENTARY SCHOOL",1326,160,"0,12066365007"
13,DADE,2701,"KENWOOD K-8 CENTER",1129,31,"0,02745792736"
13,DADE,2741,"KEY BISCAYNE K-8 CENTER",1570,41,"0,02611464968"
13,DADE,2781,"KINLOCH PARK ELEMENTARY SCHOOL",833,81,"0,09723889555"
13,DADE,2801,"LAKE STEVENS ELEMENTARY SCHOOL",334,38,"0,11377245508"
13,DADE,2821,"LAKEVIEW ELEMENTARY SCHOOL",517,49,"0,09477756286"
13,DADE,2881,"LEEWOOD K-8 CENTER",846,21,"0,02482269503"
13,DADE,2891,"WILLIAM H. LEHMAN ELEMENTARY SCHOOL",747,26,"0,03480589022"
13,DADE,2901,"LEISURE CITY K-8 CENTER",1203,124,"0,10307564422"
13,DADE,2911,"LINDA LENTIN K-8 CENTER",1034,64,"0,06189555125"
13,DADE,2941,"LAURA C. SAUNDERS ELEMENTARY SCHOOL",843,110,"0,13048635824"
13,DADE,2981,"LIBERTY CITY ELEMENTARY SCHOOL",552,83,"0,15036231884"
13,DADE,3021,"JESSE J. MCCRARY, JR. ELEMENTARY SCHOOL",780,74,"0,09487179487"
13,DADE,3024,"FLORIDA INTERNATIONAL ELEMENTARY ACADEMY",406,0,0
13,DADE,3025,"ADVANTAGE ACADEMY SANTA FE",310,13,"0,04193548387"
13,DADE,3026,"ADVANTAGE ACADEMY OF MATH AND SCIENCE AT SUMMERVILLE",98,10,"0,10204081632"
13,DADE,3027,"ADVANTAGE ACADEMY OF MATH AND SCIENCE AT WATERSTONE",144,11,"0,07638888888"
13,DADE,3029,"DORAL ACADEMY OF TECHNOLOGY",192,4,"0,02083333333"
13,DADE,3030,"DORAL ACADEMY",1161,8,"0,00689061154"
13,DADE,3032,"PALM GLADES PREPARATORY ACADEMY",434,37,"0,08525345622"
13,DADE,3033,"SOMERSET OAKS ACADEMY",340,25,"0,07352941176"
13,DADE,3034,"BRIDGEPREP ACADEMY OF VILLAGE GREEN",191,12,"0,06282722513"
13,DADE,3035,"RAMZ ACADEMY K-5 MIAMI CAMPUS",244,34,"0,13934426229"
13,DADE,3041,"LORAH PARK ELEMENTARY SCHOOL",550,68,"0,12363636363"
13,DADE,3051,"TOUSSAINT L'OUVERTURE ELEMENTARY",529,66,"0,1247637051"
13,DADE,3061,"LUDLAM ELEMENTARY SCHOOL",448,18,"0,04017857142"
13,DADE,3100,"MATER ACADEMY EAST CHARTER",652,39,"0,05981595092"
13,DADE,3101,"FRANK CRAWFORD MARTIN K-8 CENTER",1236,33,"0,02669902912"
13,DADE,3111,"WESLEY MATTHEWS ELEMENTARY SCHOOL",561,16,"0,0285204991"
13,DADE,3141,"MEADOWLANE ELEMENTARY SCHOOL",1018,63,"0,06188605108"
13,DADE,3181,"MELROSE ELEMENTARY SCHOOL",855,142,"0,16608187134"
13,DADE,3191,"ADA MERRITT K-8 CENTER",732,6,"0,00819672131"
13,DADE,3241,"MIAMI GARDENS ELEMENTARY SCHOOL",335,33,"0,09850746268"
13,DADE,3261,"MIAMI HEIGHTS ELEMENTARY SCHOOL",1246,132,"0,10593900481"
13,DADE,3281,"MIAMI LAKES K-8 CENTER",1453,50,"0,03441156228"
13,DADE,3301,"MIAMI PARK ELEMENTARY SCHOOL",415,58,"0,13975903614"
13,DADE,3341,"MIAMI SHORES ELEMENTARY SCHOOL",852,42,"0,04929577464"
13,DADE,3381,"MIAMI SPRINGS ELEMENTARY SCHOOL",519,32,"0,06165703275"
13,DADE,3421,"MARCUS A. MILAM K-8 CENTER",1005,86,"0,0855721393"
13,DADE,3431,"PHYLLIS R. MILLER ELEMENTARY SCHOOL",732,35,"0,04781420765"
13,DADE,3501,"MORNINGSIDE K-8 ACADEMY",606,34,"0,05610561056"
13,DADE,3541,"ROBERT RUSSA MOTON ELEMENTARY SCHOOL",403,64,"0,158808933"
13,DADE,3581,"MYRTLE GROVE K-8 CENTER",727,87,"0,1196698762"
13,DADE,3600,"DOWNTOWN MIAMI CHARTER SCHOOL",703,59,"0,08392603129"
13,DADE,3610,"KEYS GATE CHARTER SCHOOL",2429,293,"0,12062577192"
13,DADE,3621,"COCONUT PALM K-8 ACADEMY",1653,173,"0,10465819721"
13,DADE,3661,"NATURAL BRIDGE ELEMENTARY SCHOOL",790,53,"0,06708860759"
13,DADE,3701,"NORLAND ELEMENTARY SCHOOL",800,53,"0,06625"
13,DADE,3741,"NORTH BEACH ELEMENTARY SCHOOL",1144,48,"0,04195804195"
13,DADE,3781,"BARBARA HAWKINS ELEMENTARY SCHOOL",381,26,"0,06824146981"
13,DADE,3821,"NORTH COUNTY K-8 CENTER",560,43,"0,07678571428"
13,DADE,3861,"NORTH GLADE ELEMENTARY SCHOOL",391,31,"0,07928388746"
13,DADE,3901,"NORTH HIALEAH ELEMENTARY SCHOOL",610,57,"0,09344262295"
13,DADE,3941,"NORTH MIAMI ELEMENTARY SCHOOL",631,26,"0,0412044374"
13,DADE,3981,"NORTH TWIN LAKES ELEMENTARY SCHOOL",591,38,"0,06429780033"
13,DADE,4000,"MIAMI CHILDREN'S MUSEUM CHARTER SCHOOL",318,18,"0,05660377358"
13,DADE,4001,"NORWOOD ELEMENTARY SCHOOL",577,22,"0,03812824956"
13,DADE,4002,"BEACON COLLEGE PREPARATORY",135,14,"0,1037037037"
13,DADE,4012,"SOMERSET ACADEMY AT SILVER PALMS",678,34,"0,05014749262"
13,DADE,4021,"OAK GROVE ELEMENTARY SCHOOL",693,50,"0,07215007215"
13,DADE,4031,"GATEWAY ENVIRONMENTAL K-8 LEARNING CENTER",2205,274,"0,12426303854"
13,DADE,4061,"OJUS ELEMENTARY SCHOOL",1000,50,"0,05"
13,DADE,4070,"EARLY BEGINNINGS ACADEMY CIVIC CENTER",158,61,"0,38607594936"
13,DADE,4071,"AGENORIA S PASCHAL/OLINDA ELEMENTARY SCHOOL",504,54,"0,10714285714"
13,DADE,4081,"PRIMARY LEARNING CENTER",413,3,"0,00726392251"
13,DADE,4091,"OLYMPIA HEIGHTS ELEMENTARY SCHOOL",562,42,"0,07473309608"
13,DADE,4121,"DR. ROBERT B. INGRAM/OPA-LOCKA ELEMENTARY SCHOOL",503,79,"0,15705765407"
13,DADE,4171,"ORCHARD VILLA ELEMENTARY SCHOOL",522,97,"0,18582375478"
13,DADE,4221,"PALMETTO ELEMENTARY SCHOOL",685,20,"0,02919708029"
13,DADE,4241,"PALM LAKES ELEMENTARY SCHOOL",862,51,"0,05916473317"
13,DADE,4261,"PALM SPRINGS ELEMENTARY SCHOOL",750,31,"0,04133333333"
13,DADE,4281,"PALM SPRINGS NORTH ELEMENTARY SCHOOL",1101,43,"0,03905540417"
13,DADE,4301,"PARKVIEW ELEMENTARY SCHOOL",406,36,"0,08866995073"
13,DADE,4341,"PARKWAY ELEMENTARY SCHOOL",437,31,"0,0709382151"
13,DADE,4381,"DR. HENRY E. PERRINE ACADEMY OF THE ARTS",847,41,"0,04840613931"
13,DADE,4391,"IRVING & BEATRICE PESKOE K-8 CENTER",919,96,"0,10446137105"
13,DADE,4401,"KELSEY L. PHARR ELEMENTARY SCHOOL",410,39,"0,09512195121"
13,DADE,4421,"PINECREST ELEMENTARY SCHOOL",1080,20,"0,01851851851"
13,DADE,4441,"PINE LAKE ELEMENTARY SCHOOL",450,30,"0,06666666666"
13,DADE,4461,"PINE VILLA ELEMENTARY SCHOOL",471,89,"0,18895966029"
13,DADE,4491,"HENRY E.S. REEVES ELEMENTARY SCHOOL",879,59,"0,06712172923"
13,DADE,4501,"POINCIANA PARK ELEMENTARY SCHOOL",503,125,"0,24850894632"
13,DADE,4511,"DR. GILBERT L. PORTER ELEMENTARY SCHOOL",879,52,"0,05915813424"
13,DADE,4541,"RAINBOW PARK ELEMENTARY SCHOOL",477,56,"0,11740041928"
13,DADE,4581,"REDLAND ELEMENTARY SCHOOL",940,99,"0,10531914893"
13,DADE,4611,"REDONDO ELEMENTARY SCHOOL",759,73,"0,09617918313"
13,DADE,4634,"PINECREST PALM ACADEMY",18,0,0
13,DADE,4651,"ETHEL F. BECKFORD/RICHMOND ELEMENTARY SCHOOL",313,54,"0,17252396166"
13,DADE,4681,"RIVERSIDE ELEMENTARY COMMUNITY SCHOOL",1626,252,"0,15498154981"
13,DADE,4691,"JANE S. ROBERTS K-8 CENTER",928,56,"0,06034482758"
13,DADE,4721,"ROCKWAY ELEMENTARY SCHOOL",456,17,"0,03728070175"
13,DADE,4741,"ROYAL GREEN ELEMENTARY SCHOOL",611,16,"0,02618657937"
13,DADE,4761,"ROYAL PALM ELEMENTARY SCHOOL",611,32,"0,05237315875"
13,DADE,4801,"GERTRUDE K. EDLEMAN/SABAL PALM ELEMENTARY SCHOOL",794,60,"0,07556675062"
13,DADE,4841,"SANTA CLARA ELEMENTARY SCHOOL",704,52,"0,07386363636"
13,DADE,4881,"SCOTT LAKE ELEMENTARY SCHOOL",568,52,"0,09154929577"
13,DADE,4921,"SEMINOLE ELEMENTARY SCHOOL",659,43,"0,06525037936"
13,DADE,4961,"SHADOWLAWN ELEMENTARY SCHOOL",364,34,"0,0934065934"
13,DADE,5001,"SHENANDOAH ELEMENTARY SCHOOL",1100,92,"0,08363636363"
13,DADE,5003,"SOUTH DADE MIDDLE SCHOOL",1223,167,"0,13654946852"
13,DADE,5005,"DAVID LAWRENCE JR. K-8 CENTER",1829,138,"0,07545106615"
13,DADE,5006,"EVERGLADES PREPARATORY ACADEMY",600,44,"0,07333333333"
13,DADE,5007,"LINCOLN-MARTI CHARTER SCHOOL HIALEAH CAMPUS",438,80,"0,18264840182"
13,DADE,5008,"SOMERSET GABLES ACADEMY",427,9,"0,02107728337"
13,DADE,5010,"OXFORD ACADEMY OF MIAMI",159,5,"0,03144654088"
13,DADE,5020,"BRIDGEPREP ACADEMY INTERAMERICAN CAMPUS",191,13,"0,06806282722"
13,DADE,5021,"BEN SHEPPARD ELEMENTARY SCHOOL",1111,84,"0,07560756075"
13,DADE,5022,"BEN GAMLA CHARTER SCHOOL",256,16,"0,0625"
13,DADE,5025,"LINCOLN-MARTI CHARTER SCHOOL LITTLE HAVANA CAMPUS",868,138,"0,15898617511"
13,DADE,5029,"EXCELSIOR LANGUAGE ACADEMY OF HIALEAH",276,24,"0,08695652173"
13,DADE,5032,"EXCELSIOR CHARTER ACADEMY",293,27,"0,09215017064"
13,DADE,5041,"SILVER BLUFF ELEMENTARY SCHOOL",656,66,"0,10060975609"
13,DADE,5043,"LINCOLN-MARTI SCHOOLS INTERNATIONAL CAMPUS",391,57,"0,14578005115"
13,DADE,5044,"ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL",427,16,"0,03747072599"
13,DADE,5045,"MATER GROVE ACADEMY",188,11,"0,05851063829"
13,DADE,5046,"MATER BRICKELL PREPARATORY ACADEMY",179,10,"0,05586592178"
13,DADE,5047,"MATER ACADEMY MIAMI BEACH",565,29,"0,05132743362"
13,DADE,5048,"PINECREST ACADEMY (NORTH CAMPUS)",446,5,"0,01121076233"
13,DADE,5049,"PINECREST COVE ACADEMY",741,8,"0,01079622132"
13,DADE,5051,"ERNEST R. GRAHAM K-8 ACADEMY",1579,59,"0,03736542115"
13,DADE,5054,"MATER ACADEMY AT MOUNT SINAI",156,3,"0,01923076923"
13,DADE,5061,"DR. CARLOS J. FINLAY ELEMENTARY",592,32,"0,05405405405"
13,DADE,5062,"SOMERSET ACADEMY BAY",249,4,"0,01606425702"
13,DADE,5081,"DR. FREDERICA S. WILSON/SKYWAY ELEMENTARY SCHOOL",462,30,"0,06493506493"
13,DADE,5091,"SOUTH POINTE ELEMENTARY SCHOOL",628,25,"0,03980891719"
13,DADE,5101,"JOHN I. SMITH K-8 CENTER",1790,78,"0,04357541899"
13,DADE,5121,"SNAPPER CREEK ELEMENTARY SCHOOL",557,23,"0,04129263913"
13,DADE,5131,"N DADE CENTER FOR MODERN LANGUAGE",416,8,"0,01923076923"
13,DADE,5141,"HUBERT O. SIBLEY K-8 ACADEMY",923,52,"0,05633802816"
13,DADE,5201,"SOUTH HIALEAH ELEMENTARY SCHOOL",1250,107,"0,0856"
13,DADE,5241,"SOUTH MIAMI K-8 CENTER",922,43,"0,04663774403"
13,DADE,5281,"SOUTH MIAMI HEIGHTS ELEMENTARY",768,50,"0,06510416666"
13,DADE,5321,"SOUTHSIDE ELEMENTARY SCHOOL",925,36,"0,03891891891"
13,DADE,5361,"SPRINGVIEW ELEMENTARY SCHOOL",474,27,"0,05696202531"
13,DADE,5381,"E.W.F. STIRRUP ELEMENTARY SCHOOL",1015,56,"0,05517241379"
13,DADE,5384,"IMATER ACADEMY",596,42,"0,07046979865"
13,DADE,5401,"SUNSET ELEMENTARY SCHOOL",1203,14,"0,01163757273"
13,DADE,5410,"ALPHA CHARTER OF EXCELLENCE",271,33,"0,12177121771"
13,DADE,5421,"SUNSET PARK ELEMENTARY SCHOOL",722,40,"0,05540166204"
13,DADE,5431,"SWEETWATER ELEMENTARY SCHOOL",862,56,"0,06496519721"
13,DADE,5441,"SYLVANIA HEIGHTS ELEMENTARY SCHOOL",519,31,"0,05973025048"
13,DADE,5481,"TREASURE ISLAND ELEMENTARY SCHOOL",724,74,"0,10220994475"
13,DADE,5521,"TROPICAL ELEMENTARY SCHOOL",516,95,"0,18410852713"
13,DADE,5561,"FRANCES S. TUCKER ELEMENTARY SCHOOL",501,46,"0,09181636726"
13,DADE,5601,"TWIN LAKES ELEMENTARY SCHOOL",598,11,"0,01839464882"
