"COURSE ENROLLMENTS BY DISTRICT BY COURSE
 2016-17, SURVEY 2 - PRELIMINARY",,,,
,,,,
"District #","District Name","Course #","Course Name",Enrollment
1,ALACHUA,0717310,"AMER SIGN LANG 2",43
1,ALACHUA,0800300,"HEALTH1-LIF MGMT SKL",37
1,ALACHUA,0800310,"HEALTH 2-PER HEALTH",17
1,ALACHUA,0800370,"PARENTING 1",8
1,ALACHUA,0800380,"PARENTING 2",2
1,ALACHUA,0800390,"HEALTH EXPER PARENTS",6
1,ALACHUA,0900310,"HUM 1 HON",97
1,ALACHUA,1000000,"M/J INTENS LANG ARTS",725
1,ALACHUA,1000010,"M/J INTENS READ (MC)",1079
1,ALACHUA,1000400,"INTENS LANG ARTS",3
1,ALACHUA,1000410,"INTENS READ",454
1,ALACHUA,1001010,"M/J LANG ARTS 1",1124
1,ALACHUA,1001020,"M/J LANG ARTS 1, ADV",721
1,ALACHUA,1001040,"M/J LANG ARTS 2",1060
1,ALACHUA,1001050,"M/J LANG ARTS 2, ADV",713
1,ALACHUA,1001070,"M/J LANG ARTS 3",1081
1,ALACHUA,1001080,"M/J LANG ARTS 3, ADV",641
1,ALACHUA,1001310,"ENG 1",1096
1,ALACHUA,1001320,"ENG HON 1",696
1,ALACHUA,1001340,"ENG 2",892
1,ALACHUA,1001350,"ENG HON 2",832
1,ALACHUA,1001370,"ENG 3",823
1,ALACHUA,1001380,"ENG HON 3",375
1,ALACHUA,1001400,"ENG 4",323
1,ALACHUA,1001405,"ENG 4: FL COLL PREP",342
1,ALACHUA,1001410,"ENG HON 4",368
1,ALACHUA,1001420,"AP ENG COMPO",446
1,ALACHUA,1001430,"AP ENG LIT COMPO",350
1,ALACHUA,1001550,"AICE ENG LANG AS",108
1,ALACHUA,1001560,"PRE-AICE ENG LANG IG",117
1,ALACHUA,1001800,"FL PRE-IB ENG 1",127
1,ALACHUA,1001830,"IB ENGLISH LIT 4",127
1,ALACHUA,1002000,"M/J LANG ARTS 1 ESOL",25
1,ALACHUA,1002010,"M/J LANG ARTS 2 ESOL",14
1,ALACHUA,1002020,"M/J LANG ARTS 3 ESOL",30
1,ALACHUA,1002300,"ENG 1 THROUGH ESOL",20
1,ALACHUA,1002310,"ENG 2 THROUGH ESOL",21
1,ALACHUA,1002320,"ENG 3 THROUGH ESOL",24
1,ALACHUA,1002380,"DEV LANG ARTS ESOL",87
1,ALACHUA,1002520,"ENG 4 THROUGH ESOL",6
1,ALACHUA,1005375,"AICE ENG LIT 2 AL",84
1,ALACHUA,1005380,"PRE-AICE ENG LIT IG",100
1,ALACHUA,1006000,"M/J JOURN 1",25
1,ALACHUA,1006300,"JOURN 1",122
1,ALACHUA,1006310,"JOURN 2",35
1,ALACHUA,1006320,"JOURN 3",8
1,ALACHUA,1006330,"JOURN 4",3
1,ALACHUA,1006375,"SOCIAL MEDIA 1",46
1,ALACHUA,1007330,"DEBATE 1",51
1,ALACHUA,1007340,"DEBATE 2",2
1,ALACHUA,1007350,"DEBATE 3 HON",21
1,ALACHUA,1007360,"DEBATE 4 HON",1
1,ALACHUA,1008010,"M/J READ 1",893
1,ALACHUA,1008020,"M/J READ 1 ADV",360
1,ALACHUA,1008040,"M/J READ 2",855
1,ALACHUA,1008050,"M/J READ 2 ADV",336
1,ALACHUA,1008070,"M/J READ 3",933
1,ALACHUA,1008080,"M/J READ 3 ADV",248
1,ALACHUA,1008300,"READ 1",411
1,ALACHUA,1008310,"READ 2",400
1,ALACHUA,1008320,"READ HON",62
1,ALACHUA,1008330,"READ 3",379
1,ALACHUA,1008350,"READ COLL. SUCCESS",140
1,ALACHUA,1009320,"CREATIVE WRIT 1",18
1,ALACHUA,1009330,"CREATIVE WRIT 2",7
1,ALACHUA,1200310,"ALG 1",1345
1,ALACHUA,1200320,"ALG 1 HON",831
1,ALACHUA,1200330,"ALG 2",626
1,ALACHUA,1200340,"ALG 2 HON",874
1,ALACHUA,1200370,"ALG 1-A",4
1,ALACHUA,1200380,"ALG 1-B",3
1,ALACHUA,1200400,"INTENS MATH",183
1,ALACHUA,1200700,"Math Coll. Readiness",543
1,ALACHUA,1202300,"CALCULUS HON",24
1,ALACHUA,1202310,"AP CALCULUS AB",194
1,ALACHUA,1202320,"AP CALCULUS BC",83
1,ALACHUA,1202340,"PRE-CALCULUS HON",507
1,ALACHUA,1202352,"AICE MATH 1 AS",60
1,ALACHUA,1202375,"IB PRE-CALCULUS",103
1,ALACHUA,1202810,"IB CALCULUS/DESC STA",28
1,ALACHUA,1202830,"IB ADV CALCULUS",70
1,ALACHUA,1204000,"M/J INTENS MATH (MC)",117
1,ALACHUA,1205010,"M/J GRADE 6 MATH",1144
1,ALACHUA,1205020,"M/J GRADE 6 MATH ADV",843
1,ALACHUA,1205040,"M/J GRADE 7 MATH",1040
1,ALACHUA,1205050,"M/J GRADE 7 MATH ADV",946
1,ALACHUA,1205070,"M/J GRADE 8 PRE-ALG",1013
1,ALACHUA,1206300,"INF GEO",177
1,ALACHUA,1206310,GEO,955
1,ALACHUA,1206320,"GEO HON",839
1,ALACHUA,1207300,"LIB ARTS MATH 1",822
1,ALACHUA,1207310,"LIB ARTS MATH 2",17
1,ALACHUA,1209800,"IB MATH STUDIES",18
1,ALACHUA,1209830,"IB MATH HL 1",10
1,ALACHUA,1210300,"PROB, STAT W/APPLS H",219
1,ALACHUA,1210310,"IB STAT/INT DIFF CAL",1
1,ALACHUA,1210320,"AP STAT",173
1,ALACHUA,1300330,"AP MUS THEORY",23
1,ALACHUA,1300340,"MUSIC WORLD",52
1,ALACHUA,1300800,"FL PRE-IB MUSIC 1",22
1,ALACHUA,1300810,"FL PRE-IB MUSIC 2",26
1,ALACHUA,1300818,"IB MUSIC 2",20
1,ALACHUA,1300820,"IB MUSIC 3",8
1,ALACHUA,1301030,"M/J KEYBD 1",41
1,ALACHUA,1301320,"GUITAR 1",65
1,ALACHUA,1301330,"GUITAR 2",5
1,ALACHUA,1301340,"GUITAR 3",1
1,ALACHUA,1301360,"KEYBD 1",88
1,ALACHUA,1301370,"KEYBD 2",18
1,ALACHUA,1301380,"KEYBD 3",1
1,ALACHUA,1302000,"M/J BAND 1",445
1,ALACHUA,1302010,"M/J BAND 2",313
1,ALACHUA,1302020,"M/J BAND 3",301
1,ALACHUA,1302040,"M/J ORCH 1",49
1,ALACHUA,1302110,"M/J INSTRU ENS 1",28
1,ALACHUA,1302300,"BAND 1",95
1,ALACHUA,1302310,"BAND 2",55
1,ALACHUA,1302320,"BAND 3",40
1,ALACHUA,1302330,"BAND 4",8
1,ALACHUA,1302340,"BAND 5 HON",42
1,ALACHUA,1302350,"BAND 6 HON",32
1,ALACHUA,1302360,"ORCH 1",7
1,ALACHUA,1302370,"ORCH 2",3
1,ALACHUA,1302380,"ORCH 3",2
1,ALACHUA,1302400,"ORCH 5 HON",1
1,ALACHUA,1302410,"ORCH 6 HON",3
1,ALACHUA,1302460,"INSTRU ENS 1",17
1,ALACHUA,1302470,"INSTRU ENS 2",19
1,ALACHUA,1302480,"INSTRU ENS 3",14
1,ALACHUA,1302490,"INSTRU ENS 4 HON",9
1,ALACHUA,1302500,"JAZZ ENS 1",11
1,ALACHUA,1302510,"JAZZ ENS 2",9
1,ALACHUA,1302520,"JAZZ ENS 3",1
1,ALACHUA,1303000,"M/J CHORUS 1",247
1,ALACHUA,1303010,"M/J CHORUS 2",103
1,ALACHUA,1303020,"M/J CHORUS 3",29
1,ALACHUA,1303300,"CHORUS 1",58
1,ALACHUA,1303310,"CHORUS 2",17
1,ALACHUA,1303320,"CHORUS 3",8
1,ALACHUA,1303440,"VOCAL ENS 1",16
1,ALACHUA,1303450,"VOCAL ENS 2",22
1,ALACHUA,1303460,"VOCAL ENS 3",1
1,ALACHUA,1303470,"VOCAL ENS 4 HON",1
1,ALACHUA,1305300,"EURHY 1",20
1,ALACHUA,1305310,"EURHY 2",6
1,ALACHUA,1305320,"EURHY 3",6
1,ALACHUA,1400000,"M/J PEER COUN 1",28
1,ALACHUA,1400300,"PEER COUN 1",72
1,ALACHUA,1400320,"PEER COUN 3",13
1,ALACHUA,1500000,"M/J ADAP PE IEP/504",6
1,ALACHUA,1501300,"PERS FIT",109
1,ALACHUA,1501310,"FIT LIFST DESIGN",4
1,ALACHUA,1501320,"FIT ISSUES FOR ADOL",35
1,ALACHUA,1501340,"WEIGHT TRAIN 1",303
1,ALACHUA,1501350,"WEIGHT TRAIN 2",64
1,ALACHUA,1501360,"WEIGHT TRAIN 3",28
1,ALACHUA,1501390,"COMPRE FIT",38
1,ALACHUA,1502410,"INDIV/DUAL SPRTS 1",11
1,ALACHUA,1502480,"OUTDOOR ED",97
1,ALACHUA,1503310,BASKETBALL,137
1,ALACHUA,1503315,"BASKETBALL 2",9
1,ALACHUA,1503320,SOCCER,9
1,ALACHUA,1503350,"TEAM SPRTS 1",253
1,ALACHUA,1503360,"TEAM SPRTS 2",53
1,ALACHUA,1505500,"VOLLEYBALL 1",52
1,ALACHUA,1505510,"VOLLEYBALL 2",7
1,ALACHUA,1505520,"VOLLEYBALL 3",3
1,ALACHUA,1506320,"HOPE-PE V",510
1,ALACHUA,1508000,"M/J FITNESS GRADE 6",797
1,ALACHUA,1508200,"M/J TEAM SPORTS GRD7",26
1,ALACHUA,1508400,"M/J EXTRME SPRTS GD8",627
1,ALACHUA,1508500,"M/J IND/DUAL SPT GD8",19
1,ALACHUA,1508600,"M/J COMPRE GRDE 6/7",100
1,ALACHUA,1508700,"M/J COMPRE GDE 7/8",825
1,ALACHUA,1700000,"M/J RESEARCH 1",279
1,ALACHUA,1700010,"M/J RESEARCH 2",267
1,ALACHUA,1700020,"M/J RESEARCH 3",75
1,ALACHUA,1700100,"M/J CRIT THINK",580
1,ALACHUA,1700300,"RESEARCH 1",82
1,ALACHUA,1700310,"RESEARCH 2",23
1,ALACHUA,1700320,"RESEARCH 3",1
1,ALACHUA,1700364,"AICE GLBL PERSP 1 AS",84
1,ALACHUA,1700370,"CRIT THINK ST SKLS",148
1,ALACHUA,1700374,"AICE THINK SKLS 2 AL",69
1,ALACHUA,1700380,"CAR RESA&DECI MAK",28
1,ALACHUA,1800300,"AF AERO SCI 1",63
1,ALACHUA,1800310,"AF AERO SCI 2",26
1,ALACHUA,1800320,"AF AERO SCI 3",18
1,ALACHUA,1800330,"AF AEROSCI 4 LEADDEV",12
1,ALACHUA,1802300,"NAVAL SCI 1",81
1,ALACHUA,1802310,"NAVAL SCI 2",48
1,ALACHUA,1802320,"NAVAL SCI 3",43
1,ALACHUA,1802330,"NAVAL SCI 4",26
1,ALACHUA,1803300,"MC LEAD ED 1",6
1,ALACHUA,1803310,"MC LEAD ED 2",3
1,ALACHUA,1900300,"DRIVER ED CLASS",81
1,ALACHUA,1900310,"DRIVER ED CLASS/LAB",245
1,ALACHUA,2000010,"M/J LIF SCI",1208
1,ALACHUA,2000020,"M/J LIF SCI ADV",748
1,ALACHUA,2000310,"BIO 1",952
1,ALACHUA,2000320,"BIO 1 HON",776
1,ALACHUA,2000322,"PRE-AICE BIO IG",117
1,ALACHUA,2000323,"AICE BIO 2 AL",32
1,ALACHUA,2000340,"AP BIO",152
1,ALACHUA,2000350,"ANAT PHYSIO",375
1,ALACHUA,2000360,"ANAT PHYSIO HON",440
1,ALACHUA,2000800,"FL PRE-IB BIO 1",129
1,ALACHUA,2000810,"IB BIOLOGY 2",62
1,ALACHUA,2000820,"IB BIOLOGY 3",87
1,ALACHUA,2001010,"M/J ERTH/SPA SCI",1401
1,ALACHUA,2001020,"M/J ERTH/SPA SCI ADV",694
1,ALACHUA,2001310,"ERTH/SPA SCI",96
1,ALACHUA,2001320,"ERTH/SPA SCI HON",112
1,ALACHUA,2001340,"ENV SCI",284
1,ALACHUA,2001370,"IB ENV SYS & SOC 1",39
1,ALACHUA,2001380,"AP ENV SCI",260
1,ALACHUA,2001381,"AICE ENV MGMNT AS",55
1,ALACHUA,2002040,"M/J COMPRE SCI 1",106
1,ALACHUA,2002070,"M/J COMPRE SCI 2",82
1,ALACHUA,2002080,"M/J COMPRE SCI 2 ADV",1
1,ALACHUA,2002100,"M/J COMPRE SCI 3",41
1,ALACHUA,2002110,"M/J COMPRE SCI 3 ADV",2
1,ALACHUA,2002350,"EXP SCI 2 HON",24
1,ALACHUA,2002400,"INTEG SCI 1",90
1,ALACHUA,2002420,"INTEG SCI 2",39
1,ALACHUA,2002440,"INTEG SCI 3",25
1,ALACHUA,2002480,"FORC SCI 1",16
1,ALACHUA,2002500,"MARINE SCI 1",39
1,ALACHUA,2002510,"MARINE SCI 1 HON",5
1,ALACHUA,2003010,"M/J PHY SCI",1203
1,ALACHUA,2003020,"M/J PHY SCI ADV",685
1,ALACHUA,2003310,"PHY SCI",600
1,ALACHUA,2003320,"PHY SCI HON",326
1,ALACHUA,2003340,"CHEM 1",317
1,ALACHUA,2003350,"CHEM 1 HON",531
1,ALACHUA,2003370,"AP CHEM",115
1,ALACHUA,2003372,"PRE-AICE CHEM IG",101
1,ALACHUA,2003373,"AICE CHEM 2 AL",52
1,ALACHUA,2003380,"PHYS 1",56
1,ALACHUA,2003390,"PHYS 1 HON",80
1,ALACHUA,2003421,"AP PHYSICS 1",117
1,ALACHUA,2003422,"AP PHYSICS 2",11
1,ALACHUA,2003430,"AP PHYSICS C: ME",25
1,ALACHUA,2003431,"AICE PHYSICS 1 AS",21
1,ALACHUA,2003432,"PRE-AICE PHYSICS IG",26
1,ALACHUA,2003433,"AICE PHYSICS 2 AL",12
1,ALACHUA,2003800,"FL PRE-IB CHEM 1",138
1,ALACHUA,2003810,"IB CHEMISTRY 2",98
1,ALACHUA,2003820,"IB CHEMISTRY 3",20
1,ALACHUA,2003845,"IB PHYSICS 2",53
1,ALACHUA,2003850,"IB PHYSICS 3",19
1,ALACHUA,2100010,"M/J US HIST",48
1,ALACHUA,2100015,"M/J US HIST&CAR PLAN",1315
1,ALACHUA,2100020,"M/J US HIST ADV",2
1,ALACHUA,2100025,"M/J US HIS ADV & C/P",536
1,ALACHUA,2100310,"US HIST",895
1,ALACHUA,2100320,"US HIST HON",339
1,ALACHUA,2100330,"AP U.S. HIST",479
1,ALACHUA,2100340,"AFRICAN-AMER HIST",1
1,ALACHUA,2100500,"AICE U.S. HIST 1 AS",108
1,ALACHUA,2102321,"AICE ECON 1 AS",44
1,ALACHUA,2102335,"ECON FIN LIT",280
1,ALACHUA,2102345,"ECON FIN LIT HON",69
1,ALACHUA,2102360,"AP MICROECON",58
1,ALACHUA,2102370,"AP MACROECON",66
1,ALACHUA,2103400,"AP HUMAN GEOG",251
1,ALACHUA,2104000,"M/J SS",18
1,ALACHUA,2104330,"VOL SCH/COMMU SERV",17
1,ALACHUA,2106010,"M/J CIVICS",1405
1,ALACHUA,2106020,"M/J CIVICS ADV",682
1,ALACHUA,2106310,"US GOVT",501
1,ALACHUA,2106320,"US GOVT HON",216
1,ALACHUA,2106370,"COMPRE LAW STUDIES",31
1,ALACHUA,2106420,"AP US GOVT/POL",230
