"Students Absent 21 or More Days by School
2013-14, Final Survey 5 - Revised 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
13,DADE,271,"BENT TREE ELEMENTARY SCHOOL",611,30,"0,04909983633"
13,DADE,311,"GOULDS ELEMENTARY SCHOOL",751,77,"0,10252996005"
13,DADE,312,"MATER GARDENS ACADEMY",577,3,"0,00519930675"
13,DADE,321,"BISCAYNE ELEMENTARY SCHOOL",766,84,"0,10966057441"
13,DADE,331,"CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER N",70,31,"0,44285714285"
13,DADE,332,"SOMERSET ACADEMY (SILVER PALMS)",680,32,"0,04705882352"
13,DADE,339,"SOMERSET ACADEMY CHARTER ELEMENTARY SCHOOL (SOUTH HOMESTEAD)",468,26,"0,05555555555"
13,DADE,341,"ARCHCREEK ELEMENTARY SCHOOL",682,14,"0,02052785923"
13,DADE,342,"PINECREST ACADEMY (SOUTH CAMPUS)",758,15,"0,0197889182"
13,DADE,351,"CHAPMAN PARTNERSHIP EARLY CHILDHOOD CENTER SOUTH",114,48,"0,42105263157"
13,DADE,361,"BISCAYNE GARDENS ELEMENTARY",780,82,"0,10512820512"
13,DADE,400,"RENAISSANCE ELEMENTARY CHARTER SCHOOL",933,23,"0,0246516613"
13,DADE,401,"VAN E. BLANTON ELEMENTARY SCHOOL",619,22,"0,03554119547"
13,DADE,410,"ACADEMIR CHARTER SCHOOL WEST",631,9,"0,01426307448"
13,DADE,441,"BLUE LAKES ELEMENTARY SCHOOL",559,58,"0,1037567084"
13,DADE,451,"BOWMAN ASHE/DOOLIN K-8 ACADEMY",1446,107,"0,07399723374"
13,DADE,461,"BRENTWOOD ELEMENTARY SCHOOL",867,48,"0,05536332179"
13,DADE,481,"JAMES H. BRIGHT ELEMENTARY/J.W. JOHNSON ELEMENTARY",842,78,"0,09263657957"
13,DADE,510,"ARCHIMEDEAN ACADEMY",594,26,"0,04377104377"
13,DADE,520,"SOMERSET ACADEMY CHARTER",585,19,"0,03247863247"
13,DADE,521,"BROADMOOR ELEMENTARY SCHOOL",510,74,"0,14509803921"
13,DADE,561,"W. J. BRYAN ELEMENTARY",821,43,"0,05237515225"
13,DADE,600,"PINECREST PREPARATORY ACADEMY",656,9,"0,01371951219"
13,DADE,641,"BUNCHE PARK ELEMENTARY SCHOOL",388,47,"0,12113402061"
13,DADE,651,"CAMPBELL DRIVE K-8 CENTER",1078,142,"0,13172541743"
13,DADE,661,"CARIBBEAN ELEMENTARY SCHOOL",740,74,"0,1"
13,DADE,671,"CALUSA ELEMENTARY SCHOOL",934,16,"0,01713062098"
13,DADE,681,"CAROL CITY ELEMENTARY SCHOOL",700,79,"0,11285714285"
13,DADE,721,"GEORGE W. CARVER ELEMENTARY SCHOOL",540,37,"0,06851851851"
13,DADE,761,"FIENBERG/FISHER K-8 CENTER",965,81,"0,08393782383"
13,DADE,771,"DR. WILLIAM A. CHAPMAN ELEMENTARY SCHOOL",615,91,"0,14796747967"
13,DADE,801,"CITRUS GROVE ELEMENTARY SCHOOL",961,100,"0,10405827263"
13,DADE,831,"CLAUDE PEPPER ELEMENTARY SCHOOL",777,41,"0,05276705276"
13,DADE,841,"COCONUT GROVE ELEMENTARY SCHOOL",487,15,"0,03080082135"
13,DADE,861,"COLONIAL DRIVE ELEMENTARY SCHOOL",325,25,"0,07692307692"
13,DADE,881,"COMSTOCK ELEMENTARY SCHOOL",652,57,"0,08742331288"
13,DADE,921,"NEVA KING COOPER EDUCATIONAL CENTER",116,51,"0,43965517241"
13,DADE,950,"AVENTURA CITY OF EXCELLENCE SCHOOL",1015,34,"0,03349753694"
13,DADE,961,"CORAL GABLES PREPARATORY ACADEMY",775,15,"0,0193548387"
13,DADE,1001,"CORAL PARK ELEMENTARY SCHOOL",1208,32,"0,02649006622"
13,DADE,1010,"THE CHARTER SCHOOL AT WATERSTONE",1049,42,"0,04003813155"
13,DADE,1014,"HIGHLY INQUISITIVE & VERSATILE (HIVE) PREPARATORY SCHOOL",459,20,"0,04357298474"
13,DADE,1017,"MATER ACADEMY OF INTERNATIONAL STUDIES",574,28,"0,0487804878"
13,DADE,1020,"YOUTH CO-OP CHARTER SCHOOL",769,42,"0,05461638491"
13,DADE,1041,"CORAL REEF ELEMENTARY SCHOOL",868,7,"0,00806451612"
13,DADE,1070,"SOUTH FLORIDA AUTISM CHARTER SCHOOL INC",173,13,"0,07514450867"
13,DADE,1081,"CORAL TERRACE ELEMENTARY SCHOOL",529,22,"0,0415879017"
13,DADE,1121,"CORAL WAY K-8 CENTER",1570,88,"0,05605095541"
13,DADE,1161,"CRESTVIEW ELEMENTARY SCHOOL",510,16,"0,03137254901"
13,DADE,1241,"CUTLER RIDGE ELEMENTARY SCHOOL",823,52,"0,06318347509"
13,DADE,1281,"CYPRESS ELEMENTARY SCHOOL",317,17,"0,05362776025"
13,DADE,1331,"DEVON AIRE K-8 CENTER",1579,51,"0,03229892336"
13,DADE,1361,"FREDERICK R. DOUGLASS ELEMENTARY",369,54,"0,14634146341"
13,DADE,1371,"MARJORY STONEMAN DOUGLAS ELEM",1042,58,"0,05566218809"
13,DADE,1401,"CHARLES R DREW K-8 CENTER",465,29,"0,06236559139"
13,DADE,1441,"PAUL LAURENCE DUNBAR K-8 CENTER",461,38,"0,08242950108"
13,DADE,1481,"JOHN G. DUPUIS ELEMENTARY SCHOOL",767,65,"0,08474576271"
13,DADE,1521,"AMELIA EARHART ELEMENTARY SCHOOL",551,65,"0,11796733212"
13,DADE,1561,"EARLINGTON HEIGHTS ELEMENTARY SCHOOL",599,77,"0,12854757929"
13,DADE,1601,"EDISON PARK K-8 CENTER",568,63,"0,11091549295"
13,DADE,1641,"EMERSON ELEMENTARY SCHOOL",406,15,"0,0369458128"
13,DADE,1681,"LILLIE C. EVANS K-8 CENTER",577,44,"0,07625649913"
13,DADE,1691,"CHRISTINA M. EVE ELEMENTARY SCHOOL",722,11,"0,01523545706"
13,DADE,1721,"EVERGLADES K-8 CENTER",1231,65,"0,05280259951"
13,DADE,1761,"DAVID FAIRCHILD ELEMENTARY SCHOOL",710,24,"0,0338028169"
13,DADE,1801,"FAIRLAWN ELEMENTARY SCHOOL",751,28,"0,03728362183"
13,DADE,1811,"DANTE B. FASCELL ELEMENTARY SCHOOL",574,22,"0,03832752613"
13,DADE,1841,"FLAGAMI ELEMENTARY SCHOOL",508,24,"0,04724409448"
13,DADE,1881,"HENRY M. FLAGLER ELEMENTARY SCHOOL",897,57,"0,0635451505"
13,DADE,1921,"FLAMINGO ELEMENTARY SCHOOL",788,39,"0,04949238578"
13,DADE,2001,"FLORIDA CITY ELEMENTARY SCHOOL",973,126,"0,12949640287"
13,DADE,2003,"BRIDGEPREP ACADEMY SOUTH",365,17,"0,04657534246"
13,DADE,2004,"ISAAC: INTEGRATED SCIENCE AND ASIAN CULTURE ACADEMY",26,0,0
13,DADE,2006,"RICHARD ALLEN LEADERSHIP ACADEMY",73,10,"0,13698630136"
13,DADE,2007,"SOMERSET ACADEMY ELEMENTARY SCHOOL SOUTH MIAMI CAMPUS",487,3,"0,00616016427"
13,DADE,2012,"SOMERSET ARTS ACADEMY",332,10,"0,03012048192"
13,DADE,2013,"BRIDGEPREP ACADEMY OF GREATER MIAMI",326,18,"0,05521472392"
13,DADE,2021,"GLORIA FLOYD ELEMENTARY SCHOOL",708,52,"0,07344632768"
13,DADE,2041,"BENJAMIN FRANKLIN K-8 CENTER",637,34,"0,05337519623"
13,DADE,2060,"THEODORE R. AND THELMA A. GIBSON CHARTER SCHOOL",277,50,"0,18050541516"
13,DADE,2081,"FULFORD ELEMENTARY SCHOOL",649,28,"0,04314329738"
13,DADE,2111,"HIALEAH GARDENS ELEMENTARY SCHOOL",987,45,"0,04559270516"
13,DADE,2151,"JACK DAVID GORDON ELEMENTARY SCHOOL",1173,50,"0,04262574595"
13,DADE,2161,"GOLDEN GLADES ELEMENTARY SCHOOL",325,36,"0,11076923076"
13,DADE,2181,"JOELLA GOOD ELEMENTARY SCHOOL",1033,42,"0,04065827686"
13,DADE,2191,"SPANISH LAKE ELEMENTARY SCHOOL",1854,90,"0,04854368932"
13,DADE,2241,"GRATIGNY ELEMENTARY SCHOOL",777,45,"0,05791505791"
13,DADE,2261,"GREENGLADE ELEMENTARY SCHOOL",547,36,"0,06581352833"
13,DADE,2281,"GREYNOLDS PARK ELEMENTARY SCHOOL",851,72,"0,08460634547"
13,DADE,2321,"GULFSTREAM ELEMENTARY SCHOOL",821,112,"0,13641900121"
13,DADE,2331,"CHARLES R HADLEY ELEMENTARY SCHOOL",1117,49,"0,04386750223"
13,DADE,2341,"JOE HALL ELEMENTARY SCHOOL",633,39,"0,0616113744"
13,DADE,2351,"ENEIDA M. HARTNER ELEMENTARY SCHOOL",646,68,"0,10526315789"
13,DADE,2361,"HIALEAH ELEMENTARY SCHOOL",784,54,"0,06887755102"
13,DADE,2371,"WEST HIALEAH GARDENS ELEMENTARY SCHOOL",1334,71,"0,0532233883"
13,DADE,2401,"HIBISCUS ELEMENTARY SCHOOL",605,41,"0,06776859504"
13,DADE,2441,"VIRGINIA A BOONE-HIGHLAND OAKS SCHOOL",795,30,"0,03773584905"
13,DADE,2501,"HOLMES ELEMENTARY SCHOOL",701,54,"0,07703281027"
13,DADE,2511,"ZORA NEALE HURSTON ELEMENTARY SCHOOL",889,62,"0,06974128233"
13,DADE,2521,"OLIVER HOOVER ELEMENTARY SCHOOL",871,53,"0,06084959816"
13,DADE,2531,"THENA CROWDER EARLY CHILDHOOD DIAGNOSTIC SPECIAL EDUCATION CENTER",90,15,"0,16666666666"
13,DADE,2541,"HOWARD DRIVE ELEMENTARY SCHOOL",697,31,"0,04447632711"
13,DADE,2581,"MADIE IVES COMMUNITY ELEMENTARY SCHOOL",804,33,"0,04104477611"
13,DADE,2641,"KENDALE ELEMENTARY SCHOOL",517,15,"0,02901353965"
13,DADE,2651,"KENDALE LAKES ELEMENTARY SCHOOL",814,46,"0,05651105651"
13,DADE,2661,"KENSINGTON PARK ELEMENTARY SCHOOL",1317,138,"0,10478359908"
13,DADE,2701,"KENWOOD K-8 CENTER",1144,34,"0,02972027972"
13,DADE,2741,"KEY BISCAYNE K-8 CENTER",1520,33,"0,02171052631"
13,DADE,2781,"KINLOCH PARK ELEMENTARY SCHOOL",872,85,"0,09747706422"
13,DADE,2801,"LAKE STEVENS ELEMENTARY SCHOOL",344,32,"0,09302325581"
13,DADE,2821,"LAKEVIEW ELEMENTARY SCHOOL",514,33,"0,06420233463"
13,DADE,2881,"LEEWOOD K-8 CENTER",855,15,"0,01754385964"
13,DADE,2891,"WILLIAM H. LEHMAN ELEMENTARY SCHOOL",740,18,"0,02432432432"
13,DADE,2901,"LEISURE CITY K-8 CENTER",1206,114,"0,09452736318"
13,DADE,2911,"LINDA LENTIN K-8 CENTER",1098,55,"0,05009107468"
13,DADE,2941,"LAURA C. SAUNDERS ELEMENTARY SCHOOL",875,83,"0,09485714285"
13,DADE,2981,"LIBERTY CITY ELEMENTARY SCHOOL",551,68,"0,12341197822"
13,DADE,3021,"JESSE J. MCCRARY, JR. ELEMENTARY SCHOOL",810,67,"0,08271604938"
13,DADE,3024,"FLORIDA INTERNATIONAL ELEMENTARY ACADEMY",492,46,"0,09349593495"
13,DADE,3025,"ADVANTAGE ACADEMY SANTA FE",310,8,"0,02580645161"
13,DADE,3026,"ADVANTAGE ACADEMY OF MATH AND SCIENCE AT SUMMERVILLE",115,11,"0,09565217391"
13,DADE,3027,"ADVANTAGE ACADEMY OF MATH AND SCIENCE AT WATERSTONE",150,7,"0,04666666666"
13,DADE,3029,"DORAL ACADEMY OF TECHNOLOGY",195,1,"0,00512820512"
13,DADE,3030,"DORAL ACADEMY",1158,11,"0,00949913644"
13,DADE,3032,"PALM GLADES PREPARATORY ACADEMY",451,45,"0,0997782705"
13,DADE,3033,"SOMERSET OAKS ACADEMY",74,8,"0,1081081081"
13,DADE,3034,"BRIDGEPREP ACADEMY OF VILLAGE GREEN",204,15,"0,07352941176"
13,DADE,3035,"RAMZ ACADEMY K-5 MIAMI CAMPUS",202,28,"0,13861386138"
13,DADE,3041,"LORAH PARK ELEMENTARY SCHOOL",518,30,"0,05791505791"
13,DADE,3051,"TOUSSAINT L'OUVERTURE ELEMENTARY",560,35,"0,0625"
13,DADE,3061,"LUDLAM ELEMENTARY SCHOOL",459,25,"0,05446623093"
13,DADE,3100,"MATER ACADEMY EAST CHARTER",677,25,"0,03692762186"
13,DADE,3101,"FRANK CRAWFORD MARTIN K-8 CENTER",1201,15,"0,012489592"
13,DADE,3111,"WESLEY MATTHEWS ELEMENTARY SCHOOL",585,18,"0,03076923076"
13,DADE,3141,"MEADOWLANE ELEMENTARY SCHOOL",1093,75,"0,06861848124"
13,DADE,3181,"MELROSE ELEMENTARY SCHOOL",868,104,"0,1198156682"
13,DADE,3191,"ADA MERRITT K-8 CENTER",707,7,"0,00990099009"
13,DADE,3241,"MIAMI GARDENS ELEMENTARY SCHOOL",293,24,"0,08191126279"
13,DADE,3261,"MIAMI HEIGHTS ELEMENTARY SCHOOL",1332,98,"0,07357357357"
13,DADE,3281,"MIAMI LAKES K-8 CENTER",1477,58,"0,03926878808"
13,DADE,3301,"MIAMI PARK ELEMENTARY SCHOOL",445,51,"0,11460674157"
13,DADE,3341,"MIAMI SHORES ELEMENTARY SCHOOL",865,39,"0,0450867052"
13,DADE,3381,"MIAMI SPRINGS ELEMENTARY SCHOOL",601,36,"0,05990016638"
13,DADE,3421,"MARCUS A. MILAM K-8 CENTER",1088,84,"0,07720588235"
13,DADE,3431,"PHYLLIS R. MILLER ELEMENTARY SCHOOL",750,29,"0,03866666666"
13,DADE,3501,"MORNINGSIDE K-8 ACADEMY",565,38,"0,06725663716"
13,DADE,3541,"ROBERT RUSSA MOTON ELEMENTARY SCHOOL",419,40,"0,09546539379"
13,DADE,3581,"MYRTLE GROVE K-8 CENTER",575,45,"0,07826086956"
13,DADE,3600,"DOWNTOWN MIAMI CHARTER SCHOOL",689,52,"0,07547169811"
13,DADE,3610,"KEYS GATE CHARTER SCHOOL",2303,248,"0,10768562744"
13,DADE,3621,"COCONUT PALM K-8 ACADEMY",1555,128,"0,08231511254"
13,DADE,3661,"NATURAL BRIDGE ELEMENTARY SCHOOL",747,33,"0,04417670682"
13,DADE,3701,"NORLAND ELEMENTARY SCHOOL",768,42,"0,0546875"
13,DADE,3741,"NORTH BEACH ELEMENTARY SCHOOL",1105,70,"0,06334841628"
13,DADE,3781,"BARBARA HAWKINS ELEMENTARY SCHOOL",407,24,"0,05896805896"
13,DADE,3821,"NORTH COUNTY K-8 CENTER",559,50,"0,08944543828"
13,DADE,3861,"NORTH GLADE ELEMENTARY SCHOOL",432,19,"0,04398148148"
13,DADE,3901,"NORTH HIALEAH ELEMENTARY SCHOOL",656,71,"0,10823170731"
13,DADE,3941,"NORTH MIAMI ELEMENTARY SCHOOL",655,26,"0,03969465648"
13,DADE,3981,"NORTH TWIN LAKES ELEMENTARY SCHOOL",637,30,"0,04709576138"
13,DADE,4000,"MIAMI CHILDREN'S MUSEUM CHARTER SCHOOL",328,23,"0,07012195121"
13,DADE,4001,"NORWOOD ELEMENTARY SCHOOL",565,31,"0,05486725663"
13,DADE,4012,"SOMERSET ACADEMY AT SILVER PALMS",713,33,"0,04628330995"
13,DADE,4021,"OAK GROVE ELEMENTARY SCHOOL",715,28,"0,03916083916"
13,DADE,4031,"GATEWAY ENVIRONMENTAL K-8 LEARNING CENTER",2095,192,"0,09164677804"
13,DADE,4061,"OJUS ELEMENTARY SCHOOL",1026,43,"0,04191033138"
13,DADE,4070,"EARLY BEGINNINGS ACADEMY CIVIC CENTER",149,50,"0,33557046979"
13,DADE,4071,"AGENORIA S PASCHAL/OLINDA ELEMENTARY SCHOOL",487,33,"0,06776180698"
13,DADE,4081,"PRIMARY LEARNING CENTER",327,4,"0,0122324159"
13,DADE,4091,"OLYMPIA HEIGHTS ELEMENTARY SCHOOL",586,42,"0,07167235494"
13,DADE,4121,"DR. ROBERT B. INGRAM/OPA-LOCKA ELEMENTARY SCHOOL",564,65,"0,11524822695"
13,DADE,4171,"ORCHARD VILLA ELEMENTARY SCHOOL",560,91,"0,1625"
13,DADE,4221,"PALMETTO ELEMENTARY SCHOOL",672,17,"0,02529761904"
13,DADE,4241,"PALM LAKES ELEMENTARY SCHOOL",882,47,"0,05328798185"
13,DADE,4261,"PALM SPRINGS ELEMENTARY SCHOOL",791,25,"0,03160556257"
13,DADE,4281,"PALM SPRINGS NORTH ELEMENTARY SCHOOL",1102,38,"0,03448275862"
13,DADE,4301,"PARKVIEW ELEMENTARY SCHOOL",471,28,"0,05944798301"
13,DADE,4341,"PARKWAY ELEMENTARY SCHOOL",501,38,"0,07584830339"
13,DADE,4381,"DR. HENRY E. PERRINE ACADEMY OF THE ARTS",859,42,"0,04889406286"
13,DADE,4391,"IRVING & BEATRICE PESKOE K-8 CENTER",871,57,"0,06544202066"
13,DADE,4401,"KELSEY L. PHARR ELEMENTARY SCHOOL",390,57,"0,14615384615"
13,DADE,4421,"PINECREST ELEMENTARY SCHOOL",1097,22,"0,02005469462"
13,DADE,4441,"PINE LAKE ELEMENTARY SCHOOL",486,36,"0,07407407407"
13,DADE,4461,"PINE VILLA ELEMENTARY SCHOOL",494,107,"0,21659919028"
13,DADE,4491,"HENRY E.S. REEVES ELEMENTARY SCHOOL",889,68,"0,07649043869"
13,DADE,4501,"POINCIANA PARK ELEMENTARY SCHOOL",519,113,"0,21772639691"
13,DADE,4511,"DR. GILBERT L. PORTER ELEMENTARY SCHOOL",857,43,"0,05017502917"
13,DADE,4541,"RAINBOW PARK ELEMENTARY SCHOOL",459,29,"0,06318082788"
13,DADE,4581,"REDLAND ELEMENTARY SCHOOL",968,80,"0,08264462809"
13,DADE,4611,"REDONDO ELEMENTARY SCHOOL",807,76,"0,09417596034"
13,DADE,4634,"PINECREST PALM ACADEMY",18,0,0
13,DADE,4651,"ETHEL F. BECKFORD/RICHMOND ELEMENTARY SCHOOL",347,34,"0,09798270893"
13,DADE,4681,"RIVERSIDE ELEMENTARY COMMUNITY SCHOOL",1440,118,"0,08194444444"
13,DADE,4691,"JANE S. ROBERTS K-8 CENTER",959,51,"0,05318039624"
13,DADE,4721,"ROCKWAY ELEMENTARY SCHOOL",478,17,"0,03556485355"
13,DADE,4741,"ROYAL GREEN ELEMENTARY SCHOOL",607,18,"0,02965403624"
13,DADE,4761,"ROYAL PALM ELEMENTARY SCHOOL",605,27,"0,04462809917"
13,DADE,4801,"GERTRUDE K. EDLEMAN/SABAL PALM ELEMENTARY SCHOOL",770,58,"0,07532467532"
13,DADE,4841,"SANTA CLARA ELEMENTARY SCHOOL",701,56,"0,07988587731"
13,DADE,4881,"SCOTT LAKE ELEMENTARY SCHOOL",607,46,"0,07578253706"
13,DADE,4921,"SEMINOLE ELEMENTARY SCHOOL",638,41,"0,06426332288"
13,DADE,4961,"SHADOWLAWN ELEMENTARY SCHOOL",367,28,"0,07629427792"
13,DADE,5001,"SHENANDOAH ELEMENTARY SCHOOL",1094,72,"0,06581352833"
13,DADE,5003,"SOUTH DADE MIDDLE SCHOOL",1344,174,"0,12946428571"
13,DADE,5005,"DAVID LAWRENCE JR. K-8 CENTER",1867,142,"0,07605784681"
13,DADE,5006,"EVERGLADES PREPARATORY ACADEMY",682,39,"0,05718475073"
13,DADE,5007,"LINCOLN-MARTI CHARTER SCHOOLS HIALEAH CAMPUS",504,65,"0,12896825396"
13,DADE,5008,"SOMERSET GABLES ACADEMY",304,6,"0,0197368421"
13,DADE,5010,"OXFORD ACADEMY OF MIAMI",257,8,"0,03112840466"
13,DADE,5020,"BRIDGEPREP ACADEMY INTERAMERICAN CAMPUS",207,13,"0,06280193236"
13,DADE,5021,"BEN SHEPPARD ELEMENTARY SCHOOL",1133,72,"0,06354810238"
13,DADE,5022,"BEN GAMLA CHARTER SCHOOL",253,21,"0,08300395256"
13,DADE,5025,"LINCOLN-MARTI CHARTER SCHOOL LITTLE HAVANA CAMPUS",861,130,"0,15098722415"
13,DADE,5029,"EXCELSIOR LANGUAGE ACADEMY OF HIALEAH",143,10,"0,06993006993"
13,DADE,5032,"EXCELSIOR CHARTER ACADEMY",266,28,"0,10526315789"
13,DADE,5041,"SILVER BLUFF ELEMENTARY SCHOOL",627,58,"0,09250398724"
13,DADE,5043,"LINCOLN-MARTI SCHOOLS INTERNATIONAL CAMPUS",427,50,"0,11709601873"
13,DADE,5044,"ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL",380,13,"0,03421052631"
13,DADE,5045,"MATER GROVE ACADEMY",137,5,"0,03649635036"
13,DADE,5046,"MATER BRICKELL PREPARATORY ACADEMY",177,6,"0,03389830508"
13,DADE,5047,"MATER ACADEMY MIAMI BEACH",578,18,"0,03114186851"
13,DADE,5048,"PINECREST ACADEMY (NORTH CAMPUS)",438,1,"0,00228310502"
13,DADE,5049,"PINECREST COVE ACADEMY",716,8,"0,01117318435"
13,DADE,5051,"ERNEST R. GRAHAM K-8 CENTER",1610,47,"0,02919254658"
13,DADE,5054,"MATER ACADEMY AT MOUNT SINAI",122,2,"0,01639344262"
13,DADE,5061,"DR. CARLOS J. FINLAY ELEMENTARY",554,30,"0,05415162454"
13,DADE,5062,"SOMERSET ACADEMY BAY",226,2,"0,00884955752"
13,DADE,5081,"SKYWAY ELEMENTARY SCHOOL",414,24,"0,05797101449"
13,DADE,5091,"SOUTH POINTE ELEMENTARY SCHOOL",636,17,"0,02672955974"
13,DADE,5101,"JOHN I. SMITH K-8 CENTER",1550,49,"0,03161290322"
13,DADE,5121,"SNAPPER CREEK ELEMENTARY SCHOOL",548,26,"0,04744525547"
13,DADE,5131,"N DADE CENTER FOR MODERN LANGUAGE",417,5,"0,01199040767"
13,DADE,5141,"HUBERT O. SIBLEY K-8 CENTER",989,54,"0,05460060667"
13,DADE,5201,"SOUTH HIALEAH ELEMENTARY SCHOOL",1294,68,"0,05255023183"
13,DADE,5241,"SOUTH MIAMI K-8 CENTER",912,35,"0,03837719298"
13,DADE,5281,"SOUTH MIAMI HEIGHTS ELEMENTARY",733,48,"0,06548431105"
13,DADE,5321,"SOUTHSIDE ELEMENTARY SCHOOL",928,63,"0,06788793103"
13,DADE,5361,"SPRINGVIEW ELEMENTARY SCHOOL",498,13,"0,02610441767"
13,DADE,5381,"E.W.F. STIRRUP ELEMENTARY SCHOOL",954,57,"0,05974842767"
13,DADE,5384,"IMATER ACADEMY",405,15,"0,03703703703"
13,DADE,5401,"SUNSET ELEMENTARY SCHOOL",1137,18,"0,01583113456"
13,DADE,5410,"ALPHA CHARTER OF EXCELLENCE",251,26,"0,10358565737"
13,DADE,5421,"SUNSET PARK ELEMENTARY SCHOOL",739,32,"0,04330175913"
13,DADE,5431,"SWEETWATER ELEMENTARY SCHOOL",922,42,"0,04555314533"
13,DADE,5441,"SYLVANIA HEIGHTS ELEMENTARY SCHOOL",575,23,"0,04"
13,DADE,5481,"TREASURE ISLAND ELEMENTARY SCHOOL",768,90,"0,1171875"
13,DADE,5521,"TROPICAL ELEMENTARY SCHOOL",533,74,"0,13883677298"
13,DADE,5561,"FRANCES S. TUCKER ELEMENTARY SCHOOL",493,46,"0,09330628803"
13,DADE,5601,"TWIN LAKES ELEMENTARY SCHOOL",628,9,"0,01433121019"
13,DADE,5641,"VILLAGE GREEN ELEMENTARY SCHOOL",407,15,"0,03685503685"
13,DADE,5671,"VINELAND K-8 CENTER",939,23,"0,0244941427"
13,DADE,5711,"MAE M. WALTERS ELEMENTARY SCHOOL",749,30,"0,04005340453"
13,DADE,5791,"WEST HOMESTEAD ELEMENTARY SCHOOL",876,118,"0,13470319634"
13,DADE,5831,"HENRY S. WEST LABORATORY SCHOOL",286,5,"0,01748251748"
13,DADE,5861,"DR. HENRY W. MACK/WEST LITTLE RIVER K-8 CENTER",559,59,"0,10554561717"
13,DADE,5901,"CARRIE P. MEEK/WESTVIEW K-8 CENTER",729,58,"0,07956104252"
13,DADE,5931,"PHYLLIS WHEATLEY ELEMENTARY SCHOOL",366,50,"0,13661202185"
13,DADE,5951,"WHISPERING PINES ELEMENTARY SCHOOL",703,30,"0,0426742532"
13,DADE,5961,"WINSTON PARK K-8 CENTER",1403,51,"0,03635067712"
13,DADE,5971,"NATHAN B. YOUNG ELEMENTARY SCHOOL",468,71,"0,1517094017"
13,DADE,5981,"DR. EDWARD L. WHIGHAM ELEMENTARY SCHOOL",968,72,"0,07438016528"
13,DADE,5991,"CHARLES DAVID WYCHE, JR ELEMENTARY SCHOOL",792,56,"0,0707070707"
13,DADE,6001,"HERBERT A. AMMONS MIDDLE SCHOOL",1219,10,"0,00820344544"
13,DADE,6003,"PINECREST ACADEMY MIDDLE SCHOOL (NORTH CAMPUS)",22,1,"0,04545454545"
13,DADE,6004,"SOMERSET ACADEMY CHARTER MIDDLE SCHOOL",238,14,"0,05882352941"
13,DADE,6005,"RAMZ ACADEMY 6-8 MIDDLE, MIAMI CAMPUS",142,23,"0,16197183098"
13,DADE,6006,"ARCHIMEDEAN MIDDLE CONSERVATORY",337,8,"0,0237388724"
13,DADE,6008,"LAWRENCE ACADEMY",96,17,"0,17708333333"
13,DADE,6009,"MATER EAST ACADEMY MIDDLE SCHOOL",381,39,"0,10236220472"
13,DADE,6010,"FLORIDA INT'L ACADEMY CHARTER",342,17,"0,04970760233"
13,DADE,6011,"ALLAPATTAH MIDDLE SCHOOL",587,137,"0,23339011925"
13,DADE,6012,"MATER ACADEMY CHARTER MIDDLE",1392,54,"0,03879310344"
13,DADE,6013,"SOMERSET ACADEMY CHARTER MIDDLE SCHOOL (SOUTH HOMESTEAD)",196,15,"0,07653061224"
13,DADE,6014,"IMATER ACADEMY MIDDLE SCHOOL",576,23,"0,03993055555"
13,DADE,6015,"SPORTS LEADERSHIP AND MANAGEMENT (SLAM) CHARTER MIDDLE SCHOOL",484,34,"0,07024793388"
13,DADE,6020,"ASPIRA RAUL ARNALDO MARTINEZ CHARTER SCHOOL",613,16,"0,02610114192"
13,DADE,6021,"ARVIDA MIDDLE SCHOOL",1386,40,"0,02886002886"
13,DADE,6022,"PINECREST ACADEMY CHARTER MIDDLE SCHOOL",619,19,"0,03069466882"
13,DADE,6023,"ANDOVER MIDDLE SCHOOL",1006,79,"0,07852882703"
13,DADE,6028,"RENAISSANCE MIDDLE CHARTER SCHOOL",470,34,"0,07234042553"
13,DADE,6030,"DORAL ACADEMY CHARTER MIDDLE SCHOOL",1423,33,"0,02319044272"
13,DADE,6031,"BROWNSVILLE MIDDLE SCHOOL",897,190,"0,21181716833"
13,DADE,6033,"MATER ACADEMY LAKES MIDDLE SCHOOL",814,17,"0,02088452088"
13,DADE,6040,"DOCTORS CHARTER SCHOOL OF MIAMI SHORES",590,19,"0,03220338983"
13,DADE,6041,"PAUL W. BELL MIDDLE SCHOOL",551,47,"0,08529945553"
13,DADE,6042,"MATER GARDENS ACADEMY MIDDLE SCHOOL",239,1,"0,00418410041"
13,DADE,6043,"SOMERSET ACADEMY CHARTER MIDDLE SCHOOL (COUNTRY PALMS)",31,1,"0,03225806451"
13,DADE,6045,"INTERNATIONAL STUDIES CHARTER MIDDLE SCHOOL",306,0,0
13,DADE,6047,"MATER ACADEMY MIDDLE SCHOOL OF INTERNATIONAL STUDIES",152,10,"0,06578947368"
13,DADE,6048,"MIAMI COMMUNITY CHARTER MIDDLE SCHOOL",330,23,"0,06969696969"
