"Students Absent 21 or More Days by School
2013-14, Final Survey 5 - Revised 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
1,ALACHUA,1011,"ALACHUA LEARNING CENTER , INC. MIDDLE",60,8,"0,13333333333"
1,ALACHUA,7004,"ALACHUA ESCHOOL (VIRTUAL FRANCHISE)",16,0,0
1,ALACHUA,7023,"ALACHUA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED)",32,0,0
1,ALACHUA,9029,"ALACHUA REGIONAL JUVENILE DETENTION CENTER",343,0,0
2,BAKER,12,"BAKER COUNTY SENIOR HIGH SCHOOL",1281,226,"0,17642466822"
2,BAKER,13,"MACCLENNY ELEMENTARY SCHOOL",686,80,"0,1166180758"
2,BAKER,22,"PREK/KINDERGARTEN CENTER",763,163,"0,21363040629"
2,BAKER,31,"J FRANKLYN KELLER INTERMEDIATE SCHOOL",796,116,"0,14572864321"
2,BAKER,32,"BAKER COUNTY MIDDLE SCHOOL",1202,403,"0,33527454242"
2,BAKER,91,"WESTSIDE ELEMENTARY SCHOOL",640,111,"0,1734375"
3,BAY,61,"BAY HIGH SCHOOL",1463,169,"0,11551606288"
3,BAY,71,"MERRITT BROWN MIDDLE SCHOOL",883,124,"0,14043035107"
3,BAY,81,"HUTCHISON BEACH ELEMENTARY SCHOOL",844,122,"0,14454976303"
3,BAY,91,"CEDAR GROVE ELEMENTARY SCHOOL",606,91,"0,1501650165"
3,BAY,101,"CALLAWAY ELEMENTARY SCHOOL",650,132,"0,20307692307"
3,BAY,111,"MERRIAM CHERRY STREET ELEMENTARY",510,84,"0,16470588235"
3,BAY,131,"LUCILLE MOORE ELEMENTARY SCHOOL",660,87,"0,13181818181"
3,BAY,141,"EVERITT MIDDLE SCHOOL",914,115,"0,12582056892"
3,BAY,151,"HILAND PARK ELEMENTARY SCHOOL",952,102,"0,10714285714"
3,BAY,161,"JINKS MIDDLE SCHOOL",690,138,"0,2"
3,BAY,171,"LYNN HAVEN ELEMENTARY SCHOOL",836,80,"0,0956937799"
3,BAY,191,"OAKLAND TERRACE SCHOOL FOR THE VISUAL AND PERFORMING ARTS",433,66,"0,15242494226"
3,BAY,201,"SURFSIDE MIDDLE SCHOOL",804,106,"0,13184079601"
3,BAY,211,"PARKER ELEMENTARY SCHOOL",745,121,"0,16241610738"
3,BAY,221,"SOUTHPORT ELEMENTARY SCHOOL",483,49,"0,10144927536"
3,BAY,231,"SPRINGFIELD ELEMENTARY SCHOOL",618,106,"0,17152103559"
3,BAY,241,"ST. ANDREW SCHOOL",172,34,"0,1976744186"
3,BAY,251,"WALLER ELEMENTARY SCHOOL",599,98,"0,16360601001"
3,BAY,281,"MARGARET K. LEWIS IN MILLVILLE",109,41,"0,37614678899"
3,BAY,291,"OSCAR PATTERSON ELEMENTARY MAGNET",551,78,"0,14156079854"
3,BAY,331,"MOWAT MIDDLE SCHOOL",1108,126,"0,11371841155"
3,BAY,341,"RUTHERFORD HIGH SCHOOL",1346,145,"0,10772659732"
3,BAY,461,"DEER POINT ELEMENTARY SCHOOL",721,71,"0,09847434119"
3,BAY,471,"NORTHSIDE ELEMENTARY SCHOOL",784,70,"0,08928571428"
3,BAY,491,"A. CRAWFORD MOSLEY HIGH SCHOOL",1777,202,"0,11367473269"
3,BAY,501,"TYNDALL ELEMENTARY SCHOOL",987,48,"0,04863221884"
3,BAY,511,"TOMMY SMITH ELEMENTARY SCHOOL",815,108,"0,13251533742"
3,BAY,521,"PATRONIS ELEMENTARY SCHOOL",865,78,"0,0901734104"
3,BAY,531,"NEW HORIZONS LEARNING CENTER",172,77,"0,4476744186"
3,BAY,541,"DEANE BOZEMAN SCHOOL",1316,175,"0,1329787234"
3,BAY,551,"J.R. ARNOLD HIGH SCHOOL",1711,247,"0,14436002337"
3,BAY,571,"BREAKFAST POINT ACADEMY",1641,160,"0,09750152346"
3,BAY,581,"ROSENWALD HIGH SCHOOL",373,234,"0,6273458445"
3,BAY,591,"C C WASHINGTON ACADEMY",143,74,"0,51748251748"
3,BAY,602,"BAY REGIONAL JUVENILE DETENTION CENTER",251,0,0
3,BAY,604,"PANAMA CITY MARINE INSTITUTE",171,24,"0,14035087719"
3,BAY,701,"BAY HAVEN CHARTER ACADEMY",699,30,"0,04291845493"
3,BAY,711,"BAY HAVEN CHARTER MIDDLE SCHOOL",530,12,"0,02264150943"
3,BAY,731,"NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL",334,8,"0,0239520958"
3,BAY,741,"NORTH BAY HAVEN CAREER ACADEMY",564,32,"0,05673758865"
3,BAY,751,"NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL",484,15,"0,03099173553"
3,BAY,771,"NEWPOINT BAY CHARTER HIGH SCHOOL",120,13,"0,10833333333"
3,BAY,781,"CHAUTAUQUA CHARTER SCHOOL",52,23,"0,4423076923"
3,BAY,791,"NEWPOINT MIDDLE SCHOOL",208,16,"0,07692307692"
3,BAY,2701,"RISING LEADERS ACADEMY",105,5,"0,04761904761"
3,BAY,2711,"UNIVERSITY ACADEMY (SABL, INC.)",178,3,"0,01685393258"
3,BAY,7001,"BAY VIRTUAL INSTRUCTION PROGRAM",39,0,0
3,BAY,7004,"BAY VIRTUAL FRANCHISE",118,0,0
3,BAY,7006,"BAY VIRTUAL INSTRUCTION (COURSE OFFERINGS)",20,0,0
3,BAY,9002,"EXCEPTIONAL STUDENT EDUCATION",28,0,0
4,BRADFORD,21,"BRADFORD HIGH SCHOOL",905,209,"0,23093922651"
4,BRADFORD,51,"STARKE ELEMENTARY SCHOOL",605,38,"0,06280991735"
4,BRADFORD,81,"SOUTHSIDE ELEMENTARY SCHOOL",675,112,"0,16592592592"
4,BRADFORD,121,"RAINBOW CENTER",92,12,"0,1304347826"
4,BRADFORD,131,"LAWTEY ELEMENTARY SCHOOL",266,27,"0,10150375939"
4,BRADFORD,161,"BROOKER ELEMENTARY SCHOOL",150,20,"0,13333333333"
4,BRADFORD,171,"BRADFORD-UNION TECHNICAL CENTER",14,8,"0,57142857142"
4,BRADFORD,172,"BRADFORD MIDDLE SCHOOL",785,126,"0,16050955414"
4,BRADFORD,181,"HAMPTON ELEMENTARY SCHOOL",203,11,"0,05418719211"
4,BRADFORD,201,"BRADFORD INTERVENTION CENTER",27,8,"0,29629629629"
4,BRADFORD,7004,"BRADFORD VIRTUAL FRANCHISE",*,*,*
5,BREVARD,11,"TITUSVILLE HIGH SCHOOL",1405,117,"0,08327402135"
5,BREVARD,51,"OAK PARK ELEMENTARY SCHOOL",952,81,"0,08508403361"
5,BREVARD,52,"JAMES MADISON MIDDLE SCHOOL",568,42,"0,07394366197"
5,BREVARD,61,"APOLLO ELEMENTARY SCHOOL",949,55,"0,05795574288"
5,BREVARD,72,"RIVERVIEW SCHOOL",129,37,"0,28682170542"
5,BREVARD,73,"SOUTH AREA HEAD START",48,13,"0,27083333333"
5,BREVARD,89,"FIELDSTON PREPARATORY SCHOOL",85,22,"0,25882352941"
5,BREVARD,91,"COQUINA ELEMENTARY SCHOOL",688,47,"0,06831395348"
5,BREVARD,101,"MIMS ELEMENTARY SCHOOL",694,62,"0,08933717579"
5,BREVARD,141,"ANDREW JACKSON MIDDLE SCHOOL",597,61,"0,10217755443"
5,BREVARD,151,"IMPERIAL ESTATES ELEMENTARY SCHOOL",764,40,"0,05235602094"
5,BREVARD,161,"ASTRONAUT HIGH SCHOOL",1221,64,"0,05241605241"
5,BREVARD,181,"PINEWOOD ELEMENTARY SCHOOL",473,34,"0,07188160676"
5,BREVARD,191,"CHALLENGER 7 ELEMENTARY SCHOOL",547,26,"0,04753199268"
5,BREVARD,201,"ATLANTIS ELEMENTARY SCHOOL",649,25,"0,03852080123"
5,BREVARD,301,"ENTERPRISE ELEMENTARY SCHOOL",620,22,"0,03548387096"
5,BREVARD,302,"SPACE COAST JUNIOR/SENIOR HIGH SCHOOL",1605,96,"0,05981308411"
5,BREVARD,1002,"CENTER FOR DRUG FREE LIVING",69,0,0
5,BREVARD,1011,"ROCKLEDGE SENIOR HIGH SCHOOL",1451,76,"0,05237767057"
5,BREVARD,1014,"BREVARD COUNTY JAIL COMPLEX",28,0,0
5,BREVARD,1017,"NORTH/CENTRAL AREA ALTERNATIVE LEARNING CENTER",223,25,"0,11210762331"
5,BREVARD,1018,"SOUTH AREA ALTERNATIVE LEARNING CENTER",200,28,"0,14"
5,BREVARD,1020,"OUTWARD BOUND",81,0,0
5,BREVARD,1021,"ESE INFANTS AND TODDLERS",443,0,0
5,BREVARD,1025,"BREVARD COUNTY JUVENILE DETENTION CENTER",337,0,0
5,BREVARD,1026,"FRANCES WALKER HALFWAY HOUSE",50,0,0
5,BREVARD,1027,"MELBOURNE CENTER FOR PERSONAL GROWTH",62,0,0
5,BREVARD,1028,"DEVEREUX HOSPITAL",95,0,0
5,BREVARD,1029,"RIVERDALE COUNTRY DAY SCHOOL",151,53,"0,35099337748"
5,BREVARD,1032,"HORACE MANN ACADEMY",180,57,"0,31666666666"
5,BREVARD,1041,"CAMBRIDGE ELEMENTARY MAGNET SCHOOL",722,35,"0,04847645429"
5,BREVARD,1051,"ENDEAVOUR ELEMENTARY MAGNET",1010,74,"0,07326732673"
5,BREVARD,1071,"GOLFVIEW ELEMENTARY MAGNET SCH",759,19,"0,02503293807"
5,BREVARD,1073,"PROJECT SEARCH",21,0,0
5,BREVARD,1081,"RONALD MCNAIR MAGNET MIDDLE",532,25,"0,0469924812"
5,BREVARD,1091,"FAIRGLEN ELEMENTARY SCHOOL",852,75,"0,08802816901"
5,BREVARD,1101,"JOHN F. KENNEDY MIDDLE SCHOOL",686,26,"0,03790087463"
5,BREVARD,1121,"COCOA HIGH SCHOOL",1724,174,"0,10092807424"
5,BREVARD,1131,"SATURN ELEMENTARY SCHOOL",885,68,"0,07683615819"
5,BREVARD,1141,"HANS CHRISTIAN ANDERSEN ELEMENTARY",821,40,"0,04872107186"
5,BREVARD,1151,"RALPH M WILLIAMS JUNIOR ELEMENTARY",595,14,"0,02352941176"
5,BREVARD,1161,"MANATEE ELEMENTARY",906,12,"0,01324503311"
5,BREVARD,1171,"VIERA HIGH SCHOOL",2064,99,"0,04796511627"
5,BREVARD,2011,"MELBOURNE SENIOR HIGH SCHOOL",2129,129,"0,06059182714"
5,BREVARD,2021,"PALM BAY MAGNET SENIOR HIGH SCHOOL",1713,126,"0,07355516637"
5,BREVARD,2031,"MEADOWLANE INTERMEDIATE ELEMENTARY SCHOOL",976,44,"0,04508196721"
5,BREVARD,2041,"MEADOWLANE PRIMARY ELEMENTARY SCHOOL",848,41,"0,0483490566"
5,BREVARD,2042,"W. MELBOURNE ELEMENTARY SCHOOL FOR SCIENCE",561,8,"0,01426024955"
5,BREVARD,2051,"UNIVERSITY PARK ELEMENTARY SCHOOL",848,71,"0,08372641509"
5,BREVARD,2061,"PORT MALABAR ELEMENTARY SCHOOL",883,42,"0,04756511891"
5,BREVARD,2071,"STONE MAGNET MIDDLE SCHOOL",911,82,"0,09001097694"
5,BREVARD,2081,"PALM BAY ELEMENTARY SCHOOL",983,74,"0,07527975584"
5,BREVARD,2111,"LOCKMAR ELEMENTARY SCHOOL",838,51,"0,06085918854"
