"COURSE ENROLLMENTS BY DISTRICT BY COURSE",,,,
"SCHOOL YEAR 2014-15",,,,
"SURVEY 2 DATA AS OF 12/20/2014",,,,
,,,,
"DIST #","DISTRICT NAME","COURSE #","COURSE NAME",ENROLLMENT
01,ALACHUA,HUM2230,"HUMANITIES II",3
01,ALACHUA,HUM2250,"STUDIES IN HUMANITIES: THE ROM",2
01,ALACHUA,HUM2410,"INTRODUCTION TO ASIAN HUMANITI",1
01,ALACHUA,HUM2420,"AFRICAN HUMANITIES",3
01,ALACHUA,HUM2450,"AMERICAN HUMANITIES",5
01,ALACHUA,HUM2461,"HONORS LATIN AMERICAN HUMANITI",1
01,ALACHUA,HUN1201,"NUTRITION AND DIET THERAPY",2
01,ALACHUA,INR2002,"INTERNATIONAL RELATIONS",1
01,ALACHUA,ISS2270,"MULTICULTURAL COMMUNICATIONS A",2
01,ALACHUA,MACL233,"ELEMENTARY CALCULUS LABORATORY",1
01,ALACHUA,MACL311,"CALCULUS 1 WITH ANALYTIC GEOME",6
01,ALACHUA,MACL312,"CALCULUS 2 WITH ANALYTIC GEOME",1
01,ALACHUA,MAC1105,"COLLEGE ALGEBRA",83
01,ALACHUA,MAC1114,"PLANE TRIGONOMETRY",18
01,ALACHUA,MAC1140,"PRECALCULUS ALGEBRA",18
01,ALACHUA,MAC1147,"PRECALCULUS ALGEBRA AND TRIGON",2
01,ALACHUA,MAC2233,"CALCULUS FOR BUSINESS & SOCIAL",1
01,ALACHUA,MAC2311,"CALCULUS I",6
01,ALACHUA,MAC2312,"CALCULUS II",1
01,ALACHUA,MAN2021,"PRINCIPLES OF MANAGEMENT",2
01,ALACHUA,MAP2302,"ORDINARY DIFFERENTIAL EQUATION",1
01,ALACHUA,MAT1033,"INTERMEDIATE ALGEBRA",135
01,ALACHUA,MGF1106,"TOPICS IN FINITE MATHEMATICS",2
01,ALACHUA,MUH2019,"AMERICAN POPULAR MUSIC",9
01,ALACHUA,MUH2501,"INTRODUCTION TO WORLD MUSIC",2
01,ALACHUA,MUL1010,"INTRODUCTION TO MUSIC",11
01,ALACHUA,MUN1340,"CONTEMPORARY ENSEMBLE",1
01,ALACHUA,MUN1710,"JAZZ BAND",1
01,ALACHUA,MUN2011,"MUSIC ENSEMBLES",3
01,ALACHUA,MUT1001,"FUNDAMENTALS OF MUSIC",20
01,ALACHUA,MUT1121,"MUSIC THEORY I",3
01,ALACHUA,MUT1122,"MUSIC THEORY II",1
01,ALACHUA,MUT1271,"FRESHMAN THEORY LABORATORY",3
01,ALACHUA,MUT1272,"APPLIED THEORY SKILLS 2",1
01,ALACHUA,MVK1111,"PIANO CLASS",1
01,ALACHUA,MVS1116,"CLASS GUITAR-MUSIC THERAPY",7
01,ALACHUA,MVV1111,VOICE-CLASS,1
01,ALACHUA,OCE1001,"INTRODUCTION TO OCEANOGRAPHY",2
01,ALACHUA,PCB2610,"GENERAL GENETICS AND EVOLUTION",1
01,ALACHUA,PGYC800,"DIGITAL PHOTOGRAPHY",3
01,ALACHUA,PHI1100,"ELEMENTARY LOGIC",1
01,ALACHUA,PHI2010,"INTRODUCTION TO PHILOSOPHY",5
01,ALACHUA,PHI2600,ETHICS,13
01,ALACHUA,PHI2635,"BIOMEDICAL ETHICS",5
01,ALACHUA,PHYL004,"LAB FOR PHYSICS 2004 AND 2005",3
01,ALACHUA,PHYL049,"GENERAL PHYSICS LAB II",1
01,ALACHUA,PHY2004,"APPLIED PHYSICS I",3
01,ALACHUA,PHY2049,"PHYSICS WITH CALCULUS 2",1
01,ALACHUA,POS2041,"AMERICAN GOVERNMENT",67
01,ALACHUA,PPE2001,"PSYCHOLOGY OF PERSONALITY",1
01,ALACHUA,PRNC380,"MEDICAL-SURGICAL NURSING I",1
01,ALACHUA,PSCL121,"PHYSICAL SCIENCE LABORATORY",14
01,ALACHUA,PSC1341,"PHYSICAL SCIENCE",1
01,ALACHUA,PSC2121,"GENERAL PHYSICAL SCIENCE",14
01,ALACHUA,PSY2012,"GENERAL PSYCHOLOGY",48
01,ALACHUA,REL2000,"INTRODUCTION TO RELIGION",2
01,ALACHUA,REL2121,"AMERICAN RELIGIOUS HISTORY",6
01,ALACHUA,REL2300,"WORLD RELIGIONS",4
01,ALACHUA,REL2315,"RELIGION IN ASIA",1
01,ALACHUA,SLS1101,ORIENTATION,44
01,ALACHUA,SLS1301,"EDUCATION & CAREER PLANNING",9
01,ALACHUA,SLS1601,"EFFECTIVE LIVING IN TODAY'S WO",2
01,ALACHUA,SOP2002,"SOCIAL PSYCHOLOGY",2
01,ALACHUA,SPC2608,"EFFECTIVE SPEAKING",41
01,ALACHUA,SPN1120,"HONORS ELEMENTARY SPANISH I",27
01,ALACHUA,SPN1121,"ELEMENTARY SPANISH II",5
01,ALACHUA,SPN1125,"SPANISH 3",2
01,ALACHUA,STA2023,"HONORS STATISTICAL METHODS I",19
01,ALACHUA,SYG2000,"INTRODUCTION TO SOCIOLOGY",2
01,ALACHUA,SYG2010,"SOCIAL PROBLEMS",15
01,ALACHUA,SYG2430,"MARRIAGE AND THE FAMILY",25
01,ALACHUA,THE1000,"INTRODUCTION TO THE THEATER",1
01,ALACHUA,TPA1200,"INTRO TO PRODUCTION/DESIGN",2
01,ALACHUA,TPA1248,"STAGE MAKEUP",3
01,ALACHUA,TPP1100,"STAGE ACTING",6
01,ALACHUA,TPP2260,"ACTING FOR THE CAMERA 1",1
01,ALACHUA,ZOOC503,"ANIMAL BEHAVIOR & ECOLOGY",8
01,ALACHUA,101010,"M/J 2-D STUDIO ART 1",180
01,ALACHUA,101020,"M/J 2-D STUDIO ART 2",122
01,ALACHUA,101026,"M/J 2D STUDIO ART 3",134
01,ALACHUA,101300,"2-D STUDIO ART 1",481
01,ALACHUA,101310,"2-D STUDIO ART 2",71
01,ALACHUA,101320,"2-D STUDIO ART 3 HON",26
01,ALACHUA,101330,"3-D STUDIO ART 1",9
01,ALACHUA,102300,"CERAM/POT 1",199
01,ALACHUA,102310,"CERAM/POT 2",33
01,ALACHUA,102320,"CERAM/POT 3 HON",3
01,ALACHUA,104300,"AP ART/DRAW PORT",9
01,ALACHUA,104340,"DRAW 1",122
01,ALACHUA,104360,"DRAW 3 HON",24
01,ALACHUA,104370,"PAINT 1",69
01,ALACHUA,107440,"VISUAL TECH 1",10
01,ALACHUA,108310,"CREATIVE PHOTO 1",26
01,ALACHUA,108370,"DIGITAL ART IMG 1",3
01,ALACHUA,108380,"DIGITAL ART IMG 2",7
01,ALACHUA,109310,"PORT DEV: DRAW HON",29
01,ALACHUA,109320,"PORT DEV: 2D DES HON",4
01,ALACHUA,109350,"AP STUDIO/2-D",71
01,ALACHUA,114840,"IB ART STUDIO 1-A/DE",13
01,ALACHUA,114850,"IB ART STUDIO 2-A",10
01,ALACHUA,200320,"AP CPTR SCI A",52
01,ALACHUA,300310,"DANCE TECNQS 1",26
01,ALACHUA,300320,"DANCE TECHNQS 2",7
01,ALACHUA,300330,"DANCE TECHNQS 3 HON",4
01,ALACHUA,300334,"DANCE TECHNQS 4 HON",1
01,ALACHUA,300380,"DANCE CHOR PERF 1",17
01,ALACHUA,400300,"INTROD DRAMA",18
01,ALACHUA,400310,"THEATRE 1",183
01,ALACHUA,400320,"THEATRE 2",9
01,ALACHUA,400330,"THEATRE 3 HON",50
01,ALACHUA,400340,"THEATRE 4 HON",13
01,ALACHUA,400370,"ACTING 1",100
01,ALACHUA,400380,"ACTING 2",5
01,ALACHUA,400410,"TECH THEA DES&PROD 1",29
01,ALACHUA,400420,"TECH THEA DES&PROD 2",14
01,ALACHUA,400430,"TECH THEA DES&PROD 3",2
01,ALACHUA,400440,"TECH THEA DES&PROD4H",6
01,ALACHUA,400510,"THEA DIR & ST MAN 2H",19
01,ALACHUA,400660,"THEA CIN & FILM PROD",2
01,ALACHUA,400810,"IB THEATRE 1",6
01,ALACHUA,400820,"IB THEATRE 2",7
01,ALACHUA,500000,"M/J PERS CAR SCH 1",303
01,ALACHUA,500002,"M/J PERS CAR SCH C/P",3
01,ALACHUA,500010,"M/J PERS CAR SCH 2",48
01,ALACHUA,500020,"M/J PERS CAR SCH 3",15
01,ALACHUA,500300,"EXEC INTERN 1",239
01,ALACHUA,500310,"EXEC INTERN 2",12
01,ALACHUA,500320,"EXEC INTERN 3",10
01,ALACHUA,500370,"VOL PUB SERV",34
01,ALACHUA,500500,"PERS,CAR,SCH DEV 1",239
