"Students Absent 21 or More Days by School
2012-13, Final Survey 5 - Revised 4/24/17",,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,
"Dist #","District Name","Schl #","School Name",Enrollments,"Absent 21 Days or Over","% Absent 21 or More Days"
10,CLAY,351,"LAKESIDE JUNIOR HIGH SCHOOL",921,66,"0,07166123778"
10,CLAY,352,"LAKESIDE ELEMENTARY SCHOOL",909,32,"0,03520352035"
10,CLAY,361,"ORANGE PARK JUNIOR HIGH SCHOOL",835,90,"0,10778443113"
10,CLAY,371,"WILKINSON JUNIOR HIGH SCHOOL",828,104,"0,12560386473"
10,CLAY,381,"MONTCLAIR ELEMENTARY SCHOOL",565,36,"0,06371681415"
10,CLAY,391,"MIDDLEBURG HIGH SCHOOL",1832,277,"0,15120087336"
10,CLAY,401,"RIDGEVIEW ELEMENTARY SCHOOL",631,56,"0,08874801901"
10,CLAY,411,"CLAY HILL ELEMENTARY SCHOOL",526,44,"0,08365019011"
10,CLAY,431,"RIDGEVIEW HIGH SCHOOL",1694,270,"0,15938606847"
10,CLAY,451,"LAKE ASBURY ELEMENTARY SCHOOL",889,32,"0,03599550056"
10,CLAY,471,"ROBERT M. PATERSON ELEMENTARY",1007,31,"0,03078450844"
10,CLAY,481,"LAKE ASBURY JUNIOR HIGH SCHOOL",1142,91,"0,07968476357"
10,CLAY,491,"J.L. WILKINSON ELEMENTARY SCHOOL",887,57,"0,0642615558"
10,CLAY,501,"TYNES ELEMENTARY SCHOOL",902,46,"0,0509977827"
10,CLAY,511,"MCRAE ELEMENTARY SCHOOL",550,60,"0,10909090909"
10,CLAY,521,"FLEMING ISLAND ELEMENTARY SCHOOL",888,33,"0,03716216216"
10,CLAY,531,"THUNDERBOLT ELEMENTARY SCHOOL",1112,16,"0,0143884892"
10,CLAY,541,"RIDEOUT ELEMENTARY SCHOOL",616,35,"0,05681818181"
10,CLAY,551,"FLEMING ISLAND HIGH SCHOOL",2111,215,"0,10184746565"
10,CLAY,571,"SWIMMING PEN CREEK ELEMENTARY SCHOOL",499,27,"0,05410821643"
10,CLAY,591,"ARGYLE ELEMENTARY SCHOOL",665,13,"0,01954887218"
10,CLAY,601,"COPPERGATE ELEMENTARY SCHOOL",726,20,"0,02754820936"
10,CLAY,611,"OAKLEAF JUNIOR HIGH",1474,46,"0,03120759837"
10,CLAY,621,"OAKLEAF VILLAGE ELEMENTARY SCHOOL",1039,31,"0,02983638113"
10,CLAY,631,"SHADOWLAWN ELEMENTARY SCHOOL",777,47,"0,06048906048"
