"STUDENT AVERAGE DAILY ATTENDANCE/AVERAGE DAILY MEMBERSHIP REPORT BY SCHOOL",,,,,,,,,
"2014-15 SURVEY 5 FINAL AS OF 02/29/2016",,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).  A blank cell indicates no students in ADM.",,,,,,,,,
,,,,,,,,,
"DISTRICT NUMBER","DISTRICT NAME","SCHOOL NUMBER","SCHOOL NAME","DAYS PRESENT","DAYS ABSENT",TOTAL,"PERCENT PRESENT","AVERAGE DAILY ATTENDANCE ","AVERAGE DAILY MEMBERSHIP"
50,"PALM BEACH",4040,"FLORIDA VIRTUAL ACADEMY A",21516,2280,23796,"0,9041855774079677",120,132
50,"PALM BEACH",4041,"SOMERSET ACADEMY BOCA MID",6887,430,7317,"0,94123274566079",38,41
50,"PALM BEACH",4050,"RENAISSANCE CHARTER SCHOO",79129,677,79806,"0,991516928551738",440,443
50,"PALM BEACH",4051,"RENAISSANCE CHARTER SCHOO",87556,4906,92462,"0,9469403646903592",486,514
50,"PALM BEACH",4061,"FRANKLIN ACADEMY CHARTER",26860,1754,28614,"0,9387013350108339",149,159
50,"PALM BEACH",4070,"TRANSITIONS ELEMENTARY CH",5211,320,5531,"0,942144277707467",29,31
50,"PALM BEACH",4072,"EAGLE ARTS ACADEMY",103917,5379,109296,"0,9507850241545893",577,607
50,"PALM BEACH",7001,"PALM BEACH VIRTUAL INSTRU",9170,14,9184,"0,9984756097560976",51,51
50,"PALM BEACH",7004,"PALM BEACH VIRTUAL FRANCH",11234,0,11234,1,62,62
50,"PALM BEACH",7079,"K-8 FLVA VIRTUAL SCHOOL C",*,*,*,*,*,*
50,"PALM BEACH",9034,"EXCEPTIONAL PROG PRE-K",17177,504,17681,"0,9714948249533397",95,98
50,"PALM BEACH",N998,"HOME EDUC PROGRAM STUDENT",719762,83,719845,"0,9998846974001347",3999,3999
50,,N999,"OUT OF STATE/NON-PUBLIC S",38885,0,38885,1,216,216
51,PASCO,21,"RODNEY B. COX ELEMENTARY",83162,5235,88397,"0,9407785332081405",462,491
51,PASCO,31,"PASCO HIGH SCHOOL",267658,15173,282831,"0,9463531225360727",1487,1571
51,PASCO,32,"TRINITY ELEMENTARY SCHOOL",101690,4000,105690,"0,9621534676885231",565,587
51,PASCO,57,"SEVEN SPRINGS MIDDLE SCHO",251449,9559,261008,"0,9633766014834795",1397,1450
51,PASCO,59,"DENHAM OAKS ELEMENTARY SC",123004,5541,128545,"0,9568944727527325",683,714
51,PASCO,60,"CHESTER W. TAYLOR, JR. EL",94514,5526,100040,"0,9447620951619352",525,556
51,PASCO,61,"PASCO ELEMENTARY SCHOOL",115827,6363,122190,"0,947925362140928",643,679
51,PASCO,63,"WESLEY CHAPEL HIGH SCHOOL",266775,13078,279853,"0,9532683230124387",1482,1555
51,PASCO,65,"JAMES M. MARLOWE ELEM. SC",73169,4354,77523,"0,9438360228577325",406,431
51,PASCO,69,"CHASCO MIDDLE SCHOOL",116527,8452,124979,"0,9323726386032853",647,694
51,PASCO,70,"CHASCO ELEMENTARY SCHOOL",119533,6531,126064,"0,94819298134281",664,700
51,PASCO,71,"PASCO MIDDLE SCHOOL",153218,9933,163151,"0,939117749814589",851,906
51,PASCO,72,"SUNRAY ELEMENTARY SCHOOL",87661,5515,93176,"0,940810938439083",487,518
51,PASCO,73,"JAMES W. MITCHELL HIGH SC",312964,24739,337703,"0,9267433217945946",1739,1876
51,PASCO,74,"CENTENNIAL MIDDLE SCHOOL",95996,5877,101873,"0,9423105238875855",533,566
51,PASCO,81,"MOORE-MICKENS EDUCATION C",17256,3693,20949,"0,8237147357869111",96,116
51,PASCO,82,"OAKSTEAD ELEMENTARY SCHOO",200487,9036,209523,"0,9568734697384058",1114,1164
51,PASCO,83,"GULF HIGHLANDS ELEMENTARY",98127,7040,105167,"0,9330588492587979",545,584
51,PASCO,84,"DOUBLE BRANCH ELEMENTARY",151046,7056,158102,"0,9553705835473302",839,878
51,PASCO,85,"TRINITY OAKS ELEMENTARY S",125273,4975,130248,"0,9618036361402862",696,724
51,PASCO,86,"DR. JOHN LONG MIDDLE SCHO",293708,11286,304994,"0,9629959933638039",1632,1694
51,PASCO,89,"PAUL R. SMITH MIDDLE SCHO",172896,8676,181572,"0,9522173022272157",961,1009
51,PASCO,90,"WIREGRASS RANCH HIGH SCHO",394782,20427,415209,"0,9508030895284062",2193,2307
51,PASCO,91,"WEST ZEPHYRHILLS ELEM. SC",142555,9726,152281,"0,9361312310793861",792,846
51,PASCO,92,"NEW RIVER ELEMENTARY SCHO",116161,5725,121886,"0,9530298803800272",645,677
51,PASCO,93,"GULF TRACE ELEMENTARY SCH",118599,7906,126505,"0,9375044464645667",659,703
51,PASCO,100,"CHARLES S. RUSHE MIDDLE S",228184,11045,239229,"0,9538308482667235",1268,1329
51,PASCO,101,"SUNLAKE HIGH SCHOOL",292856,17994,310850,"0,9421135595946598",1627,1727
51,PASCO,102,"RAYMOND B. STEWART MIDDLE",162239,12300,174539,"0,9295286440279823",901,970
51,PASCO,103,"CREWS LAKE K-8 SCHOOL",201035,15730,216765,"0,9274329342836712",1117,1204
51,PASCO,110,"VETERANS ELEMENTARY SCHOO",144013,6260,150273,"0,9583424833469751",800,835
51,PASCO,112,"WATERGRASS ELEMENTARY SCH",135437,7490,142927,"0,9475956257390136",752,794
51,PASCO,113,"ANCLOTE HIGH SCHOOL",224904,17200,242104,"0,9289561510755708",1249,1345
51,PASCO,114,"FIVAY HIGH SCHOOL",215187,14894,230081,"0,9352662757898306",1195,1278
51,PASCO,117,"ODESSA ELEMENTARY SCHOOL",146538,5390,151928,"0,9645226686325101",814,844
